指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801031,2018-09-30 00:00:00,CNSESH,0.7472,0.7115,6.2185,0.0,0.2538,0.1201,0.182,0.0593,0.2254,0.1487,0.1416,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5799,1.5519
801031,2018-03-31 00:00:00,CNSESZ,0.1109,0.0786,1.3074,0.0,0.1799,0.0848,0.122,0.0184,0.0385,0.0267,0.0189,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0471,2.3845
801031,2017-12-31 00:00:00,CNSESZ,0.4048,0.3006,6.3583,0.0233,0.1651,0.0636,0.0886,0.0667,0.142,0.102,0.0757,0.0561,0.9439,None,None,None,None,None,None,None,None,None,0.1436,0.0,0.9408,2.3012
801031,2017-06-30 00:00:00,CNSESH,0.4573,0.4463,3.643,0.0,0.2761,0.1255,0.1985,0.052,0.1954,0.1236,0.1206,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8217,1.7029
801031,2018-06-30 00:00:00,CNSESZ,0.2234,0.184,2.9206,0.0,0.1731,0.0765,0.103,0.0343,0.0731,0.0543,0.0447,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0238,2.288
801031,2018-12-31 00:00:00,CNSESZ,0.2974,0.2398,7.2692,0.0,0.1549,0.0409,0.0653,0.0441,0.1086,0.068,0.0548,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0685,2.2866
801031,2019-03-31 00:00:00,CNSESZ,0.0831,0.076,1.6217,0.0,0.1575,0.0512,0.08,0.0127,0.0287,0.0184,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1557,2.2934
801031,2019-06-30 00:00:00,CNSESZ,0.2019,0.1834,3.5057,0.0,0.1536,0.0576,0.0822,0.0284,0.0647,0.0453,0.0411,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1471,2.2155
801031,2017-03-31 00:00:00,CNSESZ,0.0697,0.0651,1.0901,0.0,0.2051,0.064,0.0882,0.013,0.0248,0.018,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7499,2.6392
801031,2019-09-30 00:00:00,CNSESZ,0.3057,0.2815,5.1728,0.0,0.1552,0.0591,0.0829,0.0406,0.0979,0.0698,0.0643,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.197,2.0787
801031,2017-09-30 00:00:00,CNSESZ,0.2485,0.2222,3.6993,0.0,0.1917,0.0671,0.0914,0.0442,0.0859,0.0631,0.0564,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7878,2.3398
801031,2019-12-31 00:00:00,CNSESZ,0.2344,0.1876,7.106,0.0033,0.1561,0.0329,0.0544,0.0358,0.0895,0.0543,0.0434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0857,2.0893
801031,2020-03-31 00:00:00,CNSESH,0.0824,0.0661,1.8048,0.0,0.1725,0.0457,0.0853,0.0078,0.0262,0.014,0.0112,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2267,1.494
801031,2020-09-30 00:00:00,CNSESZ,0.3739,0.3299,5.0785,0.0,0.1795,0.0736,0.1012,0.0452,0.1126,0.0819,0.0722,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3366,2.0953
801031,2020-06-30 00:00:00,CNSESZ,0.2143,0.1901,3.0295,0.0,0.1785,0.0707,0.0965,0.0273,0.0656,0.048,0.0426,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2036,2.1448
801031,2020-12-31 00:00:00,CNSESZ,0.4281,0.3607,7.6339,0.0251,0.1714,0.056,0.0795,0.0529,0.1325,0.0934,0.0786,0.0162,0.9838,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3609,2.1281
801031,2021-03-31 00:00:00,CNSESZ,0.1679,0.1521,1.9709,0.0,0.1811,0.0852,0.1142,0.0187,0.0478,0.0357,0.0323,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.514,2.2119
801031,2021-06-30 00:00:00,CNSESZ,0.4084,0.3704,4.2692,0.0,0.1907,0.0956,0.1272,0.0442,0.1158,0.0871,0.0789,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5348,2.258
801031,2021-09-30 00:00:00,CNSESZ,0.5993,0.542,6.175,0.0,0.1933,0.097,0.1282,0.0663,0.1766,0.1336,0.1208,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5957,2.0945
801031,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
