指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801032,2018-09-30 00:00:00,CNSESZ,0.2393,0.2257,6.115,0.0,0.0833,0.0391,0.0686,0.0439,0.1658,0.0945,0.0891,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8131,0.9467
801032,2018-03-31 00:00:00,CNSESZ,0.1009,0.0978,2.367,0.0,0.0751,0.0426,0.0583,0.0133,0.0438,0.032,0.031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0244,1.0814
801032,2017-06-30 00:00:00,CNSESZ,0.175,0.1579,4.4826,0.0,0.0725,0.039,0.0547,0.0326,0.0897,0.064,0.0577,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4318,0.0,0.7847,1.0944
801032,2017-03-31 00:00:00,CNSESZ,0.1034,0.0879,2.1275,0.0,0.0855,0.0486,0.0676,0.0174,0.0475,0.0341,0.029,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8502,1.3148
801032,2018-12-31 00:00:00,CNSESZ,0.1995,0.1659,8.4418,0.0089,0.0717,0.0236,0.0456,0.0415,0.153,0.0792,0.0659,0.1572,0.8428,None,None,None,None,None,None,None,None,None,0.11,0.0,0.7517,1.0286
801032,2019-06-30 00:00:00,CNSESZ,0.0824,0.0725,1.6781,0.0,0.1404,0.0491,0.0928,0.0247,0.064,0.0339,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4618,0.7698
801032,2019-03-31 00:00:00,CNSESZ,0.0579,0.0549,0.804,0.0,0.1436,0.0721,0.1245,0.0155,0.0415,0.024,0.0227,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4897,0.7684
801032,2019-09-30 00:00:00,CNSESZ,0.1153,0.094,2.5401,0.0,0.1389,0.0454,0.0876,0.0333,0.0904,0.0469,0.0382,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4864,0.77
801032,2017-12-31 00:00:00,CNSESZ,0.3249,0.2783,9.4691,0.0322,0.0689,0.0343,0.0496,0.0532,0.1535,0.106,0.0908,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0887,0.0,0.9114,1.0654
801032,2017-09-30 00:00:00,CNSESH,0.4259,0.4047,8.6198,0.0,0.1106,0.0494,0.073,0.0592,0.163,0.1103,0.1048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5078,1.488
801032,2018-06-30 00:00:00,CNSESZ,0.161,0.1499,4.5366,0.0,0.0738,0.0355,0.0589,0.0276,0.0919,0.0553,0.0515,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8842,1.0662
801032,2019-12-31 00:00:00,CNSESZ,0.2305,0.0692,3.3029,0.0051,0.1642,0.0698,0.115,0.0646,0.1805,0.1095,0.0329,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8015,0.0,0.515,0.6169
801032,2020-03-31 00:00:00,CNSESH,-0.0147,-0.032,2.0408,0.0,0.0951,-0.0072,0.0059,0.0018,0.0024,-0.003,-0.0065,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0708,1.7212
801032,2020-09-30 00:00:00,CNSESZ,0.0636,0.06,2.0842,0.0,0.1676,0.0305,0.0777,0.0286,0.0757,0.0297,0.028,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5243,0.7665
801032,2020-06-30 00:00:00,CNSESZ,0.0415,0.0249,1.3246,0.0,0.1647,0.0313,0.0769,0.0191,0.0486,0.0198,0.0118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2915,0.0,0.5035,0.706
801032,2020-12-31 00:00:00,CNSESZ,0.102,0.1003,2.9249,0.0048,0.1719,0.0349,0.0914,0.0405,0.1149,0.0438,0.0431,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3384,0.0,0.5608,0.7915
801032,2021-03-31 00:00:00,CNSESZ,0.1845,0.1781,1.0343,0.0,0.2789,0.1783,0.2377,0.0362,0.1001,0.075,0.0725,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7353,0.7882
801032,2021-06-30 00:00:00,CNSESZ,0.356,0.0754,2.171,0.0,0.2911,0.1639,0.2247,0.0705,0.1931,0.1409,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8196,0.8306
801032,2021-09-30 00:00:00,CNSESH,0.8367,0.7867,10.1834,0.0,0.1632,0.0821,0.1126,0.0729,0.2016,0.1471,0.1383,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9043,2.0706
801032,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
