指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801033,2018-09-30 00:00:00,CNSESZ,0.3795,0.2846,6.0927,0.0,0.1699,0.0622,0.1036,0.0478,0.1612,0.0968,0.0726,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9959,1.7268
801033,2017-09-30 00:00:00,CNSESH,0.2124,0.2073,2.0954,0.0,0.2315,0.1013,0.1486,0.0607,0.1371,0.0935,0.0912,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5263,0.9008
801033,2018-03-31 00:00:00,CNSESZ,0.0719,0.0635,1.5825,0.0,0.1848,0.0454,0.0934,0.011,0.0401,0.0195,0.0172,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7896,1.6804
801033,2017-03-31 00:00:00,CNSESZ,0.1303,0.1241,1.4069,0.0,0.2447,0.0926,0.1381,0.0167,0.0564,0.0378,0.036,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8766,1.5395
801033,2018-06-30 00:00:00,CNSESZ,0.2715,0.183,3.8924,0.0,0.1751,0.0697,0.1135,0.034,0.117,0.0719,0.0484,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9195,1.7113
801033,2017-06-30 00:00:00,CNSESH,0.1521,0.1426,1.5722,0.0,0.2295,0.0967,0.1434,0.0386,0.09,0.0607,0.0569,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5855,1.218
801033,2018-12-31 00:00:00,CNSESZ,0.4631,0.3153,8.718,0.0206,0.157,0.0531,0.0909,0.0627,0.2073,0.1211,0.0824,0.1631,0.8369,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0443,1.7303
801033,2019-03-31 00:00:00,CNSESZ,0.0992,0.087,1.9341,0.0,0.1594,0.0513,0.09,0.0138,0.0394,0.0224,0.0196,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.095,2.2579
801033,2019-06-30 00:00:00,CNSESZ,0.1975,0.1771,4.1202,0.0,0.1511,0.0479,0.0844,0.0271,0.0786,0.0446,0.04,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6917,0.0,1.0528,2.231
801033,2019-09-30 00:00:00,CNSESZ,0.2822,0.2384,6.4374,0.0,-0.0174,0.0438,0.0782,0.0391,0.1123,0.0629,0.0531,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1143,2.2291
801033,2017-12-31 00:00:00,CNSESZ,0.0741,0.0614,6.8216,0.0082,0.1726,0.0108,0.0583,0.0262,0.1107,0.0206,0.017,-0.4122,1.4122,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7192,1.6782
801033,2019-12-31 00:00:00,CNSESZ,0.3531,0.2508,8.1608,0.0466,0.146,0.0432,0.0713,0.0511,0.1328,0.0805,0.0572,0.095,0.905,None,None,None,None,None,None,None,None,None,1.1172,0.0,1.1234,2.1783
801033,2020-03-31 00:00:00,CNSESH,0.0561,0.0212,0.7147,0.0,0.2183,0.0786,0.1184,0.0126,0.0277,0.0184,0.0069,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0975,1.0736
801033,2020-12-31 00:00:00,CNSESZ,0.232,0.1966,7.9476,0.0429,0.1229,0.0292,0.0578,0.0366,0.1021,0.0515,0.0436,0.0028,0.9972,None,None,None,None,None,None,None,None,None,0.1043,0.0,1.1135,2.2745
801033,2020-09-30 00:00:00,CNSESZ,0.1537,0.1153,6.0569,0.0,0.1114,0.0253,0.0516,0.0257,0.0699,0.0343,0.0258,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1011,2.2329
801033,2020-06-30 00:00:00,CNSESZ,0.0692,0.0502,3.7581,0.0,0.1101,0.0184,0.0466,0.0143,0.0401,0.0158,0.0114,0.0,1.0,None,None,None,None,None,None,None,None,None,0.766,0.0,1.0474,2.1852
801033,2021-06-30 00:00:00,CNSESH,0.4018,0.3962,2.0464,0.0,0.3046,0.1963,0.2569,0.0734,0.1608,0.1229,0.1212,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0488,0.0,1.3569,1.0959
801033,2021-03-31 00:00:00,CNSESZ,0.2005,0.1633,2.2156,0.0,0.1771,0.0904,0.1293,0.0213,0.062,0.0433,0.0353,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2943,2.3729
801033,2021-09-30 00:00:00,CNSESH,0.5921,0.5878,3.1394,0.0,0.294,0.1886,0.2445,0.1083,0.2301,0.1774,0.1761,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0992,0.0,1.5238,1.148
801033,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
