指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801034,2018-09-30 00:00:00,CNSESZ,0.3337,0.2635,4.0697,0.0,0.2344,0.082,0.1237,0.0486,0.1169,0.0775,0.0611,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0273,0.0,1.3065,1.9921
801034,2018-03-31 00:00:00,CNSESZ,0.128,0.0957,1.2646,0.0,0.2393,0.1012,0.1521,0.0192,0.045,0.0299,0.0224,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0467,0.0,1.2787,2.0931
801034,2018-06-30 00:00:00,CNSESZ,0.2418,0.2011,2.6893,0.0,0.2376,0.0899,0.1347,0.0357,0.0861,0.0574,0.0477,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2057,0.0,1.249,2.0381
801034,2017-06-30 00:00:00,CNSESZ,0.1954,0.1749,2.5022,0.0,0.2107,0.078,0.1116,0.0324,0.0744,0.052,0.0466,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3833,0.0,1.1602,1.8943
801034,2017-03-31 00:00:00,CNSESZ,0.0876,0.0801,1.2118,0.0,0.2021,0.0723,0.107,0.0147,0.0335,0.0226,0.0207,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0495,0.0,1.1924,2.0477
801034,2018-12-31 00:00:00,CNSESZ,0.3469,0.2744,5.3895,0.0187,0.2354,0.0643,0.1032,0.0523,0.1279,0.0797,0.063,0.0177,0.9823,None,None,None,None,None,None,None,None,None,0.2817,0.0,1.3021,2.0419
801034,2017-09-30 00:00:00,CNSESH,0.5345,0.4803,7.5651,0.0,0.205,0.0706,0.1208,0.0542,0.1964,0.1148,0.1032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1386,0.0,2.0935,1.7912
801034,2019-06-30 00:00:00,CNSESZ,0.2398,0.2011,2.225,0.0,0.258,0.1077,0.1383,0.0376,0.0738,0.0575,0.0482,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3902,0.0,1.4731,1.6827
801034,2019-03-31 00:00:00,CNSESZ,0.0915,0.0758,1.0513,0.0,0.2469,0.087,0.1218,0.0145,0.0294,0.021,0.0174,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5917,1.7687
801034,2019-09-30 00:00:00,CNSESZ,0.3778,0.3047,3.802,0.0,0.2325,0.0993,0.1304,0.0588,0.1189,0.0906,0.0731,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2462,0.0,1.5348,1.6929
801034,2017-12-31 00:00:00,CNSESZ,0.2975,0.2353,5.3544,0.058,0.2273,0.0555,0.0912,0.0494,0.1158,0.0705,0.0557,0.0701,0.9299,None,None,None,None,None,None,None,None,None,0.401,0.0,1.1846,2.079
801034,2019-12-31 00:00:00,CNSESZ,0.4045,0.2808,5.1405,0.0031,0.2397,0.0786,0.1094,0.0629,0.1336,0.0961,0.0667,0.0117,0.9883,None,None,None,None,None,None,None,None,None,1.4192,0.0,1.5382,1.6524
801034,2020-03-31 00:00:00,CNSESH,0.1519,0.1211,1.9789,0.0,0.2121,0.0767,0.1151,0.0126,0.0355,0.0237,0.0189,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.0539,1.3916
801034,2020-09-30 00:00:00,CNSESZ,0.3725,0.3228,3.9565,0.0,0.2074,0.0941,0.1251,0.0528,0.11,0.0827,0.0717,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0963,0.0,1.6344,1.7788
801034,2020-06-30 00:00:00,CNSESZ,0.2162,0.1831,2.3108,0.0,0.2253,0.0935,0.1228,0.0332,0.0674,0.0513,0.0435,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9173,0.1423,1.5447,1.7437
801034,2020-12-31 00:00:00,CNSESZ,0.433,0.3701,5.0114,0.0059,0.2271,0.0864,0.1173,0.062,0.1303,0.0959,0.082,0.0267,0.9733,None,None,None,None,None,None,None,None,None,0.9568,0.0,1.6451,2.0469
801034,2021-03-31 00:00:00,CNSESH,0.3875,0.3581,2.9489,0.0,0.2505,0.1314,0.1724,0.0273,0.0734,0.0559,0.0516,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1819,0.0,4.6435,1.4835
801034,2021-09-30 00:00:00,CNSESH,1.2295,1.104,9.7095,0.0,0.2327,0.1266,0.1844,0.083,0.2494,0.1712,0.1537,0.0,1.0,None,None,None,None,None,None,None,None,None,0.258,0.0,5.0979,1.4506
801034,2021-06-30 00:00:00,CNSESH,0.8659,0.7401,6.2463,0.0,0.2411,0.1386,0.2107,0.0609,0.1908,0.1255,0.1073,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.7638,1.4148
801034,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
