指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801035,2018-09-30 00:00:00,CNSESZ,0.3141,0.2749,10.5436,0.0,0.0899,0.0297,0.0521,0.0422,0.1205,0.0688,0.0602,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7856,1.7288
801035,2017-09-30 00:00:00,CNSESH,0.3105,0.2985,13.2477,0.0,0.0943,0.0234,0.0401,0.0295,0.0988,0.0576,0.0554,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1449,0.8834
801035,2018-03-31 00:00:00,CNSESZ,0.098,0.0916,3.0571,0.0,0.0995,0.032,0.0555,0.0127,0.0386,0.0223,0.0208,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5671,1.7288
801035,2018-06-30 00:00:00,CNSESZ,0.2247,0.207,6.6239,0.0,0.099,0.0339,0.0585,0.0299,0.0868,0.0503,0.0463,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7088,1.7288
801035,2017-06-30 00:00:00,CNSESH,0.2168,0.2093,8.8305,0.0,0.0924,0.0245,0.0411,0.0203,0.0674,0.0402,0.0388,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1394,0.8837
801035,2017-03-31 00:00:00,CNSESZ,0.1119,0.1006,2.7131,0.0,0.1202,0.0412,0.0704,0.0149,0.0499,0.0292,0.0262,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2741,1.7133
801035,2018-12-31 00:00:00,CNSESZ,0.3491,0.2905,15.0489,0.0,0.0768,0.0232,0.0401,0.0485,0.1307,0.0755,0.0628,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8074,1.7361
801035,2019-03-31 00:00:00,CNSESZ,0.1178,0.0966,3.8781,0.0,0.0812,0.0303,0.0507,0.0149,0.0415,0.0248,0.0203,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.917,1.736
801035,2019-06-30 00:00:00,CNSESZ,0.2067,0.1693,7.6257,0.0,0.0795,0.0271,0.0461,0.0292,0.0734,0.0431,0.0353,0.0,1.0,None,None,None,None,None,None,None,None,None,0.44,0.0,1.9943,1.7208
801035,2019-09-30 00:00:00,CNSESZ,0.3167,0.2362,11.6162,0.0,0.0792,0.0272,0.047,0.0429,0.1124,0.0651,0.0486,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0061,1.7274
801035,2017-12-31 00:00:00,CNSESZ,0.4588,0.4027,12.3614,0.0019,0.1038,0.0371,0.0639,0.0617,0.184,0.1068,0.0938,0.0108,0.9892,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4969,1.7288
801035,2019-12-31 00:00:00,CNSESZ,0.2703,0.2069,15.2552,0.062,0.0745,0.0177,0.0354,0.0407,0.1105,0.0552,0.0423,0.0605,0.9395,None,None,None,None,None,None,None,None,None,1.4241,0.0,2.0359,1.6898
801035,2020-03-31 00:00:00,CNSESH,-0.1475,-0.1524,4.1435,0.0,0.0114,-0.0356,-0.0471,-0.0096,-0.0351,-0.0265,-0.0274,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0568,0.9077
801035,2020-12-31 00:00:00,CNSESZ,0.3062,0.2494,11.18,0.034,0.0934,0.0273,0.0476,0.0415,0.1044,0.06,0.0489,0.1408,0.8592,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1819,1.8207
801035,2020-09-30 00:00:00,CNSESZ,0.1608,0.1259,8.0956,0.0,0.0808,0.0198,0.0414,0.0256,0.0676,0.0324,0.0253,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0511,1.8207
801035,2020-06-30 00:00:00,CNSESZ,-0.0007,-0.037,5.2318,0.0,0.0609,-0.0001,0.0218,0.0073,0.0229,-0.0001,-0.0074,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9629,1.8488
801035,2021-03-31 00:00:00,CNSESH,0.1434,0.1415,4.3352,0.0,0.1181,0.0331,0.0588,0.0119,0.045,0.0253,0.0249,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3509,0.9132
801035,2021-06-30 00:00:00,CNSESZ,0.2775,0.262,6.0526,0.0,0.115,0.0458,0.0717,0.0294,0.0829,0.0529,0.05,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3987,1.7957
801035,2021-09-30 00:00:00,CNSESZ,0.2878,0.2671,8.8644,0.0,0.098,0.0324,0.0529,0.0328,0.0897,0.055,0.051,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3533,1.7846
801035,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
