指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801039,2020-12-31 00:00:00,CNSESZ,1.801,1.6743,11.1336,0.0,0.3782,0.1617,0.1911,0.105,0.1712,0.1449,0.1347,0.0,1.0,None,None,None,None,None,None,None,None,None,12.86,0.0,9.2443,2.5849
801039,2021-03-31 00:00:00,CNSESZ,None,None,None,None,0.178,0.196,0.2246,0.0734,0.145,0.1265,0.1187,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2020-06-30 00:00:00,CNSESZ,None,None,None,None,0.4248,0.2615,0.313,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2019-09-30 00:00:00,CNSESZ,None,None,None,None,0.0,0.2702,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2021-06-30 00:00:00,CNSESH,1.1836,1.1745,5.1515,0.0,0.3443,0.2297,0.298,0.0866,0.1987,0.1532,0.152,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.8167,3.2548
801039,2020-09-30 00:00:00,CNSESZ,None,None,None,None,0.3105,0.1619,0.1324,0.3949,0.5227,0.6387,0.189,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2019-12-31 00:00:00,CNSESZ,1.5635,1.451,10.1299,0.0,0.4044,0.1543,0.1734,0.1112,0.165,0.1468,0.1362,0.0,1.0,None,None,None,None,None,None,None,None,None,11.095,0.0,7.4685,2.5849
801039,2019-03-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2021-09-30 00:00:00,CNSESH,2.3559,2.3351,8.9714,0.0,0.3775,0.2626,0.3364,0.1652,0.3562,0.278,0.2756,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.9528,3.3252
801039,2020-03-31 00:00:00,CNSESH,0.1633,0.1577,1.6284,0.0,0.2358,0.1003,0.1407,0.0153,0.0342,0.0243,0.0235,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7853,1.8463
801039,2019-06-30 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801039,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
