指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801043,2020-12-31 00:00:00,CNSESZ,0.1811,0.1805,1.8374,0.0112,0.341,0.0986,0.1782,0.0608,0.1706,0.0944,0.094,0.0,1.0,None,None,None,None,None,None,None,None,None,0.435,0.0,-0.1465,0.9754
801043,2021-03-31 00:00:00,CNSESH,0.142,0.1302,1.1777,0.0,0.3214,0.1206,0.2038,0.0156,0.0522,0.0309,0.0283,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2956,1.0874
801043,2020-06-30 00:00:00,CNSESZ,0.0526,0.0533,0.8094,0.0,0.3048,0.065,0.1032,0.0151,0.0482,0.0304,0.0308,0.0,1.0,None,None,None,None,None,None,None,None,None,0.34,0.0,-0.2631,0.9756
801043,2019-09-30 00:00:00,CNSESZ,0.2024,0.2012,1.5756,0.0,0.323,0.1284,0.1635,0.0691,0.1489,0.117,0.1163,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3767,1.1082
801043,2020-09-30 00:00:00,CNSESZ,0.1354,0.1025,1.4875,0.0,0.3253,0.091,0.1451,0.0444,0.1127,0.0707,0.0535,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.2649,1.0956
801043,2021-06-30 00:00:00,CNSESZ,0.2368,0.236,1.2845,0.0,0.4015,0.1844,0.3034,0.0748,0.1892,0.115,0.1145,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0836,1.0974
801043,2019-12-31 00:00:00,CNSESZ,0.2295,0.229,2.0546,0.0058,0.34,0.1117,0.1573,0.0804,0.1878,0.1333,0.133,0.0,1.0,None,None,None,None,None,None,None,None,None,0.32,0.0,-0.3156,0.9752
801043,2019-03-31 00:00:00,CNSESZ,0.0902,0.0902,0.5641,0.0,0.3436,0.1599,0.1964,0.0328,0.0696,0.0567,0.0566,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.4882,1.0954
801043,2021-09-30 00:00:00,CNSESZ,0.3448,0.3439,1.9443,0.0,0.3919,0.1773,0.2782,0.1187,0.2706,0.1725,0.172,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1327,1.0974
801043,2020-03-31 00:00:00,CNSESH,0.0324,0.048,0.9801,0.0,0.2509,0.033,0.1018,0.0057,0.0207,0.0067,0.0099,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.316,1.4358
801043,2019-06-30 00:00:00,CNSESZ,0.1535,0.1525,1.0696,0.0,0.3233,0.1435,0.1805,0.0551,0.1173,0.0932,0.0927,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.4256,1.0954
801043,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
