指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801050,2018-09-30 00:00:00,CNSESZ,0.1867,0.159,5.2523,0.0,0.1117,0.0355,0.0716,0.0403,0.124,0.0616,0.0524,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8037,1.2795
801050,2017-09-30 00:00:00,CNSESH,0.2356,0.2248,7.7371,0.0,0.0978,0.0304,0.062,0.0372,0.1244,0.0611,0.0583,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2175,0.0,1.0522,1.8672
801050,2018-03-31 00:00:00,CNSESZ,0.0648,0.0578,1.6761,0.0,0.1143,0.0386,0.0745,0.0132,0.0413,0.0214,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7779,1.3351
801050,2018-12-31 00:00:00,CNSESZ,0.113,0.0501,7.0269,0.0059,0.1084,0.016,0.0521,0.0348,0.1204,0.0371,0.0164,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1482,0.0,0.7138,1.3219
801050,2019-03-31 00:00:00,CNSESZ,0.0438,0.0348,1.8021,0.0,0.0969,0.0243,0.0575,0.0105,0.0319,0.0135,0.0107,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7606,1.4357
801050,2019-06-30 00:00:00,CNSESZ,0.0985,0.0679,3.8584,0.0,0.0969,0.0255,0.0586,0.0226,0.0698,0.0304,0.0209,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4793,0.0,0.7723,1.4313
801050,2017-03-31 00:00:00,CNSESZ,0.0558,0.051,1.6244,0.0,0.1087,0.0343,0.0659,0.0119,0.0383,0.0199,0.0182,0.0,1.0,None,None,None,None,None,None,None,None,None,0.098,0.0,0.608,1.3217
801050,2019-09-30 00:00:00,CNSESZ,0.1511,0.0748,6.0975,0.0,0.093,0.0247,0.0577,0.0336,0.1059,0.0454,0.0225,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7949,1.4221
801050,2017-06-30 00:00:00,CNSESH,0.1351,0.1128,4.9155,0.0,0.0915,0.0274,0.0586,0.0224,0.077,0.036,0.0301,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1818,0.0,0.9774,1.6892
801050,2017-12-31 00:00:00,CNSESH,0.3204,0.2975,10.171,0.0107,0.1039,0.0315,0.0631,0.0475,0.1595,0.0796,0.0739,0.0239,0.9761,None,None,None,None,None,None,None,None,None,0.1877,0.0,1.1139,1.9004
801050,2018-06-30 00:00:00,CNSESZ,0.1375,0.1149,3.5161,0.0,0.1142,0.0391,0.0757,0.0289,0.0895,0.0462,0.0386,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0398,0.0,0.7702,1.2514
801050,2020-03-31 00:00:00,CNSESH,0.0357,0.0197,2.6748,0.0,0.0592,0.0133,0.037,0.0069,0.0231,0.0083,0.0046,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1209,1.8855
801050,2019-12-31 00:00:00,CNSESZ,-0.0866,-0.1579,7.8477,0.0189,0.0961,-0.011,0.0243,0.0092,0.0589,-0.0266,-0.0486,0.0426,0.9574,None,None,None,None,None,None,None,None,None,1.1306,0.0,0.5935,1.4811
801050,2020-06-30 00:00:00,CNSESZ,0.0472,0.0436,3.9098,0.0,0.0835,0.012,0.0428,0.0151,0.0533,0.015,0.0138,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4241,0.0,0.5833,1.5016
801050,2020-09-30 00:00:00,CNSESZ,0.1087,0.0858,6.2789,0.0,0.0884,0.0173,0.0467,0.026,0.0924,0.0342,0.027,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3093,0.0,0.6033,1.5501
801050,2020-12-31 00:00:00,CNSESZ,0.2643,0.0666,7.9658,0.0312,0.0922,0.0331,0.0618,0.0498,0.1571,0.0843,0.0212,0.0557,0.9443,None,None,None,None,None,None,None,None,None,0.6997,0.0,0.722,1.5682
801050,2021-06-30 00:00:00,CNSESH,0.2805,0.2882,8.3301,0.0,0.096,0.0336,0.0632,0.0287,0.1131,0.0602,0.0619,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4177,2.0715
801050,2021-03-31 00:00:00,CNSESZ,0.094,0.0845,2.4071,0.0,0.0984,0.039,0.0681,0.0152,0.0514,0.0295,0.0265,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2742,0.0,0.8007,1.5989
801050,2021-09-30 00:00:00,CNSESH,0.4531,0.4434,12.5967,0.0,0.0945,0.0359,0.0649,0.0451,0.1731,0.0958,0.0938,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5748,2.0871
801050,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
