指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801054,2018-09-30 00:00:00,CNSESZ,0.4927,0.4654,6.2627,0.0,0.1765,0.0786,0.137,0.0673,0.2038,0.1169,0.1104,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2298,2.2681
801054,2017-12-31 00:00:00,CNSESZ,0.6189,0.5949,8.1636,0.0232,0.1801,0.0758,0.1315,0.0806,0.2632,0.1517,0.1458,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9278,2.6734
801054,2018-03-31 00:00:00,CNSESZ,0.1904,0.182,2.0939,0.0,0.2002,0.0909,0.1574,0.0244,0.0786,0.0454,0.0434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0968,2.6496
801054,2017-03-31 00:00:00,CNSESZ,0.1055,0.1025,1.8152,0.0,0.161,0.0581,0.1098,0.0164,0.0566,0.0299,0.0291,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5079,2.239
801054,2017-06-30 00:00:00,CNSESH,0.1526,0.1607,3.2269,0.0,0.1703,0.0473,0.1167,0.0269,0.0952,0.0386,0.0406,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8647,2.1827
801054,2018-06-30 00:00:00,CNSESZ,0.3869,0.3646,4.3772,0.0,0.1896,0.0884,0.1493,0.0503,0.1559,0.0922,0.0869,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1826,2.5002
801054,2018-12-31 00:00:00,CNSESZ,0.5638,0.502,8.0159,0.0,0.1752,0.0703,0.1304,0.0693,0.2334,0.1259,0.1121,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2744,2.4987
801054,2019-03-31 00:00:00,CNSESZ,0.0622,0.055,1.832,0.0,0.1296,0.0339,0.0699,0.0124,0.0352,0.0171,0.0151,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.36,2.3441
801054,2019-06-30 00:00:00,CNSESZ,0.1579,0.1249,4.1863,0.0,0.1205,0.0377,0.0688,0.0266,0.0768,0.042,0.0332,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.413,2.3407
801054,2019-09-30 00:00:00,CNSESZ,0.2223,0.1154,6.4681,0.0,0.1149,0.0343,0.0649,0.0379,0.1106,0.0585,0.0303,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4577,2.3411
801054,2017-09-30 00:00:00,CNSESH,0.268,0.2748,4.8929,0.0,0.1702,0.0547,0.1212,0.042,0.1369,0.0618,0.0634,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9386,3.0353
801054,2020-03-31 00:00:00,CNSESH,0.0559,0.0383,2.5475,0.0,0.0143,0.0219,0.0378,0.0074,0.0183,0.0106,0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1542,2.9178
801054,2019-12-31 00:00:00,CNSESZ,0.2775,0.1761,7.9563,0.0,0.1252,0.0348,0.066,0.0487,0.1338,0.0706,0.0448,0.0,1.0,None,None,None,None,None,None,None,None,None,0.835,0.0,0.7056,2.212
801054,2020-06-30 00:00:00,CNSESZ,0.1078,0.072,3.8565,0.0,0.1079,0.0279,0.0551,0.02,0.0556,0.0281,0.0188,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4092,0.0,0.756,2.2669
801054,2020-12-31 00:00:00,CNSESZ,0.2699,0.1305,8.0067,0.0202,0.1208,0.0337,0.0603,0.0461,0.1185,0.0662,0.032,0.1292,0.8708,None,None,None,None,None,None,None,None,None,0.4721,0.0,0.8476,2.3879
801054,2020-09-30 00:00:00,CNSESZ,0.187,0.1433,6.1772,0.0,0.1082,0.0302,0.0566,0.0331,0.0892,0.0477,0.0365,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7988,2.2738
801054,2021-06-30 00:00:00,CNSESZ,0.3032,0.2848,5.2108,0.0,0.1323,0.0581,0.0836,0.039,0.1006,0.07,0.0657,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1051,2.403
801054,2021-03-31 00:00:00,CNSESZ,0.1253,0.1155,2.4232,0.0,0.1245,0.0517,0.0763,0.0167,0.0451,0.0305,0.0281,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8492,0.0,0.966,2.394
801054,2021-09-30 00:00:00,CNSESZ,0.5116,0.4922,7.7332,0.0,0.1421,0.0661,0.0918,0.0631,0.1597,0.115,0.1106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2512,2.4504
801054,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
