指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801056,2020-06-30 00:00:00,CNSESZ,-0.1245,-0.1254,1.5508,0.0,0.2314,-0.0803,0.1681,0.008,0.0509,-0.0243,-0.0244,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3584,3.2899
801056,2021-03-31 00:00:00,CNSESZ,0.1605,0.1633,1.1123,0.0,0.2745,0.1443,0.2797,0.0155,0.0544,0.028,0.0285,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4839,4.2089
801056,2019-09-30 00:00:00,CNSESZ,0.1101,0.1406,2.885,0.0,0.308,0.0381,0.2469,0.039,0.1222,0.0188,0.0241,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2763,2.7783
801056,2020-09-30 00:00:00,CNSESZ,-0.0385,-0.1142,2.3689,0.0,0.2354,-0.0162,0.1822,0.0162,0.0778,-0.0069,-0.0206,0.0,1.0,None,None,None,None,None,None,None,None,None,3.2257,0.0,0.5782,4.0196
801056,2021-06-30 00:00:00,CNSESZ,0.4875,0.3456,2.1926,0.0,0.3707,0.2223,0.387,0.0394,0.1393,0.08,0.0567,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8549,5.5991
801056,2019-12-31 00:00:00,CNSESZ,-1.2727,-1.372,3.7084,0.0,0.2893,-0.3432,-0.1215,-0.0492,-0.0827,-0.2337,-0.2519,0.0,1.0,None,None,None,None,None,None,None,None,None,2.31,0.0,0.7275,3.2772
801056,2019-03-31 00:00:00,CNSESZ,0.079,0.0445,0.957,0.0,0.3198,0.0826,0.2986,0.0167,0.0506,0.014,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.47,2.9716
801056,2021-09-30 00:00:00,CNSESH,0.9737,0.8191,15.1685,0.0,0.1189,0.0641,0.1094,0.0707,0.266,0.1559,0.1312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4791,4.224
801056,2020-03-31 00:00:00,CNSESH,0.0469,0.0256,3.8992,0.0,0.0515,0.012,0.0259,0.0079,0.021,0.0097,0.0053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5989,2.3566
801056,2019-06-30 00:00:00,CNSESZ,0.1099,0.1086,1.9172,0.0,0.3223,0.0573,0.2586,0.0278,0.0879,0.0195,0.0192,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2641,2.9247
801056,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801056,2020-12-31 00:00:00,CNSESZ,0.008,-0.2164,3.2389,0.0,0.2383,0.0024,0.1792,0.0212,0.1072,0.0014,-0.0399,0.0,1.0,None,None,None,None,None,None,None,None,None,3.3271,0.0,0.6181,4.1043
