指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801060,2017-09-30 00:00:00,CNSESZ,0.2738,0.2521,3.8304,0.0,0.2057,0.0715,0.1097,0.0402,0.1213,0.079,0.0727,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.396,1.1809
801060,2018-03-31 00:00:00,CNSESZ,0.0588,0.0523,1.1014,0.0,0.2042,0.0533,0.102,0.0101,0.0301,0.0157,0.014,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.543,1.2471
801060,2018-09-30 00:00:00,CNSESZ,0.3387,0.3067,4.2677,0.0,0.2153,0.0793,0.124,0.0435,0.1416,0.0906,0.082,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6606,1.1233
801060,2017-03-31 00:00:00,CNSESZ,0.0355,0.0287,0.9818,0.0,0.1827,0.0361,0.0663,0.0069,0.0185,0.0101,0.0081,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3506,1.2852
801060,2018-06-30 00:00:00,CNSESZ,0.2053,0.1908,2.5901,0.0,0.2148,0.0792,0.1217,0.028,0.0872,0.0568,0.0528,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5454,1.1426
801060,2018-12-31 00:00:00,CNSESZ,0.4507,0.3684,6.123,0.007,0.2146,0.0736,0.1192,0.0567,0.1868,0.1153,0.0942,0.0132,0.9868,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7641,1.1106
801060,2019-03-31 00:00:00,CNSESZ,0.0697,0.0561,1.2053,0.0,0.2028,0.0578,0.104,0.0102,0.0316,0.0176,0.0141,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8277,1.0993
801060,2019-09-30 00:00:00,CNSESZ,0.321,0.3132,4.5228,0.0,0.2184,0.0709,0.125,0.038,0.1392,0.079,0.077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9224,1.0678
801060,2019-06-30 00:00:00,CNSESZ,0.1923,0.1929,2.8431,0.0,0.2189,0.0676,0.1258,0.0247,0.0907,0.0487,0.0489,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8075,1.0739
801060,2017-06-30 00:00:00,CNSESH,0.3308,0.3064,9.4453,0.0,0.1091,0.035,0.0632,0.0151,0.106,0.0587,0.0543,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.845,1.3988
801060,2017-12-31 00:00:00,CNSESZ,0.4121,0.363,5.653,0.0123,0.2097,0.0729,0.1135,0.0572,0.1754,0.1127,0.0992,0.0018,0.9982,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5,1.2263
801060,2019-12-31 00:00:00,CNSESZ,0.3258,0.3252,6.5526,0.0585,0.2125,0.0497,0.0979,0.0401,0.1549,0.0786,0.0785,0.0276,0.9724,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8927,1.0564
801060,2020-03-31 00:00:00,CNSESH,0.13,0.1236,4.4669,0.0,0.1077,0.0291,0.0558,0.0049,0.0339,0.0177,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2164,0.0,4.2236,1.3527
801060,2020-09-30 00:00:00,CNSESZ,0.3155,0.2858,4.453,0.0,0.2137,0.0708,0.1181,0.0347,0.1232,0.0739,0.0669,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0379,1.0802
801060,2020-06-30 00:00:00,CNSESZ,0.1716,0.152,2.6326,0.0,0.2139,0.0651,0.1125,0.02,0.0708,0.041,0.0363,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9348,1.0876
801060,2020-12-31 00:00:00,CNSESZ,0.4046,0.3448,6.5826,0.0671,0.2046,0.0614,0.106,0.0448,0.1643,0.0952,0.0812,0.0572,0.9428,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0601,1.0758
801060,2021-06-30 00:00:00,CNSESZ,0.2253,0.1992,3.2099,0.0,0.1953,0.0701,0.1113,0.0231,0.0818,0.0515,0.0456,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1332,1.2061
801060,2021-03-31 00:00:00,CNSESZ,0.0667,0.0572,1.2776,0.0,0.1897,0.0522,0.0916,0.0077,0.027,0.0154,0.0132,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1098,1.1875
801060,2021-09-30 00:00:00,CNSESZ,0.4144,0.2779,5.9112,0.0,0.1996,0.0701,0.1184,0.0405,0.1548,0.0916,0.0614,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.418,1.4497
801060,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
