指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801061,2018-09-30 00:00:00,CNSESZ,0.4356,0.3899,4.428,0.0,0.2591,0.0983,0.156,0.0587,0.1763,0.1111,0.0995,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7046,1.316
801061,2018-03-31 00:00:00,CNSESZ,0.0686,0.0607,1.0974,0.0,0.2474,0.0625,0.1121,0.0115,0.0316,0.0176,0.0155,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5164,1.4781
801061,2017-06-30 00:00:00,CNSESH,0.3063,0.2486,2.8707,0.0,0.2566,0.1067,0.1681,0.0296,0.0932,0.0591,0.048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8143,1.3444
801061,2017-03-31 00:00:00,CNSESZ,0.0283,0.0188,1.0042,0.0,0.2148,0.0282,0.0584,0.0067,0.0156,0.0075,0.005,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3307,1.5322
801061,2018-12-31 00:00:00,CNSESZ,0.5612,0.5008,6.31,0.0136,0.256,0.0889,0.1439,0.0748,0.2201,0.136,0.1213,0.0175,0.9825,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8395,1.2789
801061,2019-03-31 00:00:00,CNSESZ,0.1002,0.0787,1.2291,0.0,0.2536,0.0815,0.1327,0.0141,0.0388,0.0238,0.0187,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9382,1.2531
801061,2019-06-30 00:00:00,CNSESZ,0.2888,0.2994,3.057,0.0,0.269,0.0944,0.1702,0.0375,0.125,0.0693,0.0719,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9222,1.2059
801061,2019-09-30 00:00:00,CNSESZ,0.4674,0.4736,4.8173,0.0,0.2699,0.097,0.1673,0.0563,0.1866,0.1082,0.1096,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0745,1.1908
801061,2017-12-31 00:00:00,CNSESZ,0.4315,0.3842,5.5987,0.0181,0.244,0.077,0.1237,0.0653,0.1802,0.1122,0.1,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4787,1.4424
801061,2017-09-30 00:00:00,CNSESZ,0.3044,0.2708,3.8848,0.0,0.239,0.0783,0.1216,0.0474,0.1293,0.0833,0.0741,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3874,1.378
801061,2018-06-30 00:00:00,CNSESZ,0.2547,0.2363,2.6504,0.0,0.2601,0.0961,0.1463,0.0366,0.1023,0.0672,0.0623,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5589,1.3548
801061,2020-03-31 00:00:00,CNSESH,0.1455,0.1305,1.423,0.0,0.2772,0.1022,0.165,0.011,0.0306,0.0189,0.017,0.0,1.0,None,None,None,None,None,None,None,None,None,0.164,0.0,5.1057,1.3383
801061,2019-12-31 00:00:00,CNSESZ,0.5043,0.5124,6.8373,0.1061,0.2632,0.0737,0.1361,0.0619,0.2109,0.1142,0.116,0.0368,0.9632,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0821,1.1684
801061,2020-06-30 00:00:00,CNSESZ,0.2582,0.2387,2.8438,0.0,0.2669,0.0908,0.1464,0.0303,0.0934,0.0579,0.0535,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1388,1.2011
801061,2020-09-30 00:00:00,CNSESZ,0.4627,0.425,4.7071,0.0,0.2671,0.0983,0.1543,0.0521,0.1591,0.1013,0.0931,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2756,1.1921
801061,2020-12-31 00:00:00,CNSESZ,0.6101,0.5358,6.6961,0.1205,0.26,0.0911,0.1476,0.0701,0.2182,0.1346,0.1183,0.0805,0.9195,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3417,1.1563
801061,2021-06-30 00:00:00,CNSESH,0.6714,0.6211,5.4075,0.0,0.2468,0.1241,0.1807,0.0386,0.1146,0.0787,0.0728,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.9082,1.3416
801061,2021-03-31 00:00:00,CNSESZ,0.0983,0.0842,1.3136,0.0,0.2435,0.0748,0.1179,0.0112,0.0329,0.0209,0.0179,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4314,1.356
801061,2021-09-30 00:00:00,CNSESH,1.0178,0.9519,8.2769,0.0,0.2455,0.1229,0.1778,0.0564,0.1658,0.1146,0.1072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.2367,1.3857
801061,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
