指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801062,2017-09-30 00:00:00,CNSESH,0.4953,0.4723,16.5983,0.0,0.0984,0.0298,0.0543,0.0198,0.1529,0.0839,0.08,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1566,0.0,2.9661,1.4064
801062,2018-09-30 00:00:00,CNSESZ,0.2351,0.2177,4.096,0.0,0.1646,0.0574,0.087,0.0296,0.1006,0.0663,0.0614,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6134,0.9169
801062,2017-12-31 00:00:00,CNSESH,0.7265,0.6538,24.2023,0.0022,0.1039,0.03,0.0546,0.0286,0.2163,0.1188,0.1069,0.0096,0.9904,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1569,1.4088
801062,2018-03-31 00:00:00,CNSESZ,0.0484,0.0433,1.1057,0.0,0.1588,0.0437,0.0914,0.0088,0.0284,0.0136,0.0122,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5711,1.0026
801062,2018-12-31 00:00:00,CNSESZ,0.3327,0.227,5.9233,0.0,0.1676,0.0561,0.0911,0.0408,0.147,0.0905,0.0617,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6834,0.9308
801062,2019-06-30 00:00:00,CNSESZ,0.0883,0.0781,2.6126,0.0,0.1558,0.0338,0.0699,0.0136,0.0492,0.0238,0.021,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6841,0.9317
801062,2019-03-31 00:00:00,CNSESZ,0.0371,0.0321,1.18,0.0,0.1462,0.0315,0.0721,0.0069,0.0229,0.01,0.0086,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7097,0.9352
801062,2017-03-31 00:00:00,CNSESZ,0.0427,0.0386,0.9593,0.0,0.1488,0.0445,0.0746,0.0071,0.0218,0.013,0.0117,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3708,1.0361
801062,2019-09-30 00:00:00,CNSESZ,0.1623,0.1392,4.2036,0.0,0.1544,0.0386,0.0725,0.0217,0.0805,0.0428,0.0367,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7575,0.9344
801062,2017-06-30 00:00:00,CNSESZ,0.1465,0.141,2.3237,0.0,0.1693,0.063,0.0961,0.0214,0.071,0.0466,0.0448,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3242,0.9487
801062,2018-06-30 00:00:00,CNSESZ,0.1537,0.1432,2.527,0.0,0.1651,0.0608,0.0947,0.0204,0.0698,0.0448,0.0417,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5313,0.9205
801062,2019-12-31 00:00:00,CNSESZ,0.1322,0.1223,6.244,0.0069,0.1522,0.0211,0.0525,0.0213,0.0853,0.0344,0.0318,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6873,0.9349
801062,2020-03-31 00:00:00,CNSESH,0.1268,0.1222,5.0781,0.0,0.0982,0.0249,0.0496,0.0044,0.0346,0.0174,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2562,0.0,4.0465,1.3555
801062,2020-09-30 00:00:00,CNSESZ,0.1503,0.1296,4.1678,0.0,0.1461,0.036,0.0723,0.0195,0.0766,0.0381,0.0329,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7713,0.9546
801062,2020-06-30 00:00:00,CNSESZ,0.0765,0.0569,2.4009,0.0,0.145,0.0319,0.0684,0.011,0.0424,0.0197,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.711,0.9631
801062,2020-12-31 00:00:00,CNSESZ,0.171,0.1278,6.4535,0.0064,0.1393,0.0265,0.0569,0.0239,0.0936,0.0436,0.0325,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7402,0.9842
801062,2021-03-31 00:00:00,CNSESZ,0.0311,0.0269,1.237,0.0,0.1253,0.0252,0.0602,0.0047,0.019,0.0079,0.0068,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7479,0.9979
801062,2021-06-30 00:00:00,CNSESH,0.4621,0.4285,17.401,0.0,0.0976,0.0265,0.0498,0.0121,0.1051,0.056,0.0519,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3958,0.0,4.6814,1.3745
801062,2021-09-30 00:00:00,CNSESH,0.6874,0.6286,25.8241,0.0,0.0984,0.0266,0.0494,0.0178,0.1513,0.0814,0.0744,0.0,1.0,None,None,None,None,None,None,None,None,None,0.262,0.0,4.874,1.4155
801062,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
