指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801070,2018-09-30 00:00:00,CNSESZ,0.1487,0.1158,2.8487,0.0,0.2323,0.0522,0.0931,0.0178,0.0716,0.0401,0.0312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9961,1.6305
801070,2018-03-31 00:00:00,CNSESZ,0.047,0.037,0.8651,0.0,0.2315,0.0544,0.1063,0.0066,0.0248,0.0127,0.01,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0161,1.7248
801070,2017-12-31 00:00:00,CNSESZ,0.2285,0.1103,3.6784,0.0129,0.2406,0.0621,0.1051,0.0287,0.1062,0.0627,0.0303,0.0218,0.9782,None,None,None,None,None,None,None,None,None,0.0511,0.0,0.9699,1.715
801070,2017-06-30 00:00:00,CNSESH,0.1137,0.0912,2.2553,0.0,0.2001,0.0504,0.0818,0.0172,0.0574,0.0353,0.0283,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0377,0.0,0.7401,1.4273
801070,2018-06-30 00:00:00,CNSESZ,0.1026,0.0812,1.9274,0.0,0.229,0.0532,0.0958,0.0128,0.0507,0.0282,0.0223,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0469,0.0,0.9745,1.6693
801070,2018-12-31 00:00:00,CNSESZ,0.032,-0.0163,3.9373,0.0035,0.2289,0.0081,0.0525,0.0096,0.0562,0.0087,-0.0044,-0.1078,1.1078,None,None,None,None,None,None,None,None,None,0.0421,0.0,0.8498,1.6464
801070,2019-03-31 00:00:00,CNSESZ,0.0476,0.0335,0.8708,0.0,0.2276,0.0547,0.1051,0.0063,0.0245,0.0127,0.009,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9012,1.6788
801070,2019-06-30 00:00:00,CNSESZ,0.1073,0.0911,1.9012,0.0,0.2321,0.0564,0.104,0.013,0.0538,0.0292,0.0247,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0344,0.0,0.8802,1.6625
801070,2017-03-31 00:00:00,CNSESZ,0.0355,0.028,0.7522,0.0,0.233,0.0471,0.0805,0.0062,0.0181,0.0106,0.0084,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9374,1.7194
801070,2019-09-30 00:00:00,CNSESZ,0.1537,0.1083,2.88,0.0,0.2324,0.0533,0.0994,0.0185,0.0773,0.0415,0.0292,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0221,0.0,0.9237,1.6447
801070,2017-09-30 00:00:00,CNSESZ,0.1779,0.104,2.5658,0.0,0.2394,0.0693,0.1117,0.0275,0.0863,0.0535,0.0313,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9444,1.6582
801070,2020-03-31 00:00:00,CNSESH,0.0662,0.0606,1.2452,0.0,0.2099,0.0532,0.0947,0.0084,0.0296,0.0166,0.0152,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0727,0.0,1.3004,1.6369
801070,2019-12-31 00:00:00,CNSESZ,0.0084,-0.032,4.0742,0.0179,0.2265,0.002,0.0563,0.0082,0.0645,0.0023,-0.009,-0.0308,1.0308,None,None,None,None,None,None,None,None,None,0.0364,0.0,0.7405,1.6365
801070,2020-06-30 00:00:00,CNSESZ,0.1233,0.0959,1.9532,0.0,0.2206,0.0631,0.1078,0.0142,0.0594,0.0347,0.027,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0375,0.0,0.7908,1.583
801070,2020-09-30 00:00:00,CNSESZ,0.2103,0.158,3.1576,0.0,0.221,0.0666,0.1139,0.0239,0.0985,0.0576,0.0432,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9,1.6311
801070,2020-12-31 00:00:00,CNSESZ,0.1707,0.0773,4.4849,0.0378,0.2097,0.038,0.0838,0.0229,0.1054,0.0478,0.0216,0.046,0.954,None,None,None,None,None,None,None,None,None,0.0468,0.0,0.8211,1.6665
801070,2021-06-30 00:00:00,CNSESH,0.261,0.2266,4.1549,0.0,0.182,0.0628,0.0963,0.0248,0.0927,0.0604,0.0524,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0029,0.0,1.6275,1.6627
801070,2021-03-31 00:00:00,CNSESZ,0.0709,0.057,1.1305,0.0,0.1953,0.0627,0.0981,0.0076,0.0306,0.0196,0.0157,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8847,1.695
801070,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801070,2021-09-30 00:00:00,CNSESH,0.396,0.3455,6.3295,0.0,0.1768,0.0625,0.0955,0.0361,0.1359,0.089,0.0776,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.739,1.7066
