指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801071,2018-09-30 00:00:00,CNSESZ,0.1377,0.1077,2.6252,0.0,0.2342,0.0524,0.086,0.0266,0.0672,0.041,0.032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8506,1.5415
801071,2017-09-30 00:00:00,CNSESZ,0.1712,0.1333,2.5448,0.0,0.225,0.0672,0.0924,0.0352,0.0763,0.0555,0.0432,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7517,1.4866
801071,2017-03-31 00:00:00,CNSESZ,0.0175,0.0099,0.6977,0.0,0.2081,0.0251,0.0285,0.0057,0.0066,0.0058,0.0033,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7269,1.5248
801071,2018-03-31 00:00:00,CNSESZ,0.0351,0.0259,0.7337,0.0,0.2412,0.0479,0.0973,0.009,0.0217,0.0107,0.0078,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8324,1.5919
801071,2018-06-30 00:00:00,CNSESZ,0.1006,0.0819,1.7293,0.0,0.2354,0.0582,0.0939,0.0198,0.0497,0.0308,0.025,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0194,0.0,0.8201,1.5545
801071,2017-06-30 00:00:00,CNSESH,0.1249,0.1018,2.2096,0.0,0.2138,0.0565,0.0847,0.0161,0.0547,0.0365,0.0297,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8553,1.6057
801071,2018-12-31 00:00:00,CNSESZ,-0.0394,-0.0831,3.7233,0.0011,0.2272,-0.0106,0.0243,0.0071,0.0271,-0.0118,-0.0249,-0.0169,1.0169,None,None,None,None,None,None,None,None,None,-0.0148,0.0,0.6392,1.6003
801071,2019-03-31 00:00:00,CNSESZ,0.0313,0.016,0.7524,0.0,0.2267,0.0416,0.0839,0.008,0.0187,0.0092,0.0047,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6705,1.6156
801071,2019-06-30 00:00:00,CNSESZ,0.0853,0.0583,1.7083,0.0,0.2247,0.0499,0.0876,0.0176,0.0444,0.0253,0.0173,0.0,1.0,None,None,None,None,None,None,None,None,None,-0.0157,0.0,0.6689,1.6333
801071,2019-09-30 00:00:00,CNSESZ,0.1252,0.0924,2.6572,0.0,0.2233,0.0471,0.0831,0.025,0.065,0.0368,0.0272,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0566,0.0,0.6981,1.6341
801071,2017-12-31 00:00:00,CNSESZ,0.2349,0.1569,3.6882,0.0094,0.2271,0.0636,0.0894,0.0455,0.1025,0.0729,0.0487,0.0094,0.9906,None,None,None,None,None,None,None,None,None,0.0243,0.0,0.7953,1.589
801071,2020-03-31 00:00:00,CNSESH,0.0468,0.0409,0.9724,0.0,0.225,0.0481,0.0829,0.0055,0.019,0.011,0.0096,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1672,0.0,1.3316,1.8351
801071,2019-12-31 00:00:00,CNSESZ,-0.0105,-0.0441,3.8508,0.0076,0.2186,-0.0027,0.0362,0.0124,0.0422,-0.0031,-0.0133,-0.0319,1.0319,None,None,None,None,None,None,None,None,None,-0.0164,0.0,0.5422,1.6586
801071,2020-06-30 00:00:00,CNSESZ,0.0936,0.0598,1.6975,0.0,0.221,0.0551,0.0916,0.0176,0.0472,0.0284,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,-0.0171,0.0,0.5661,1.6117
801071,2020-09-30 00:00:00,CNSESZ,0.1737,0.1182,2.8225,0.0,0.2227,0.0615,0.0978,0.0314,0.0825,0.0518,0.0353,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6529,1.6191
801071,2020-12-31 00:00:00,CNSESZ,0.1036,0.0524,4.0886,0.0082,0.2095,0.0253,0.061,0.0263,0.0763,0.0317,0.016,0.0142,0.9858,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5638,1.6688
801071,2021-06-30 00:00:00,CNSESZ,0.1275,0.088,1.971,0.0,0.2182,0.0646,0.0997,0.0218,0.0593,0.0384,0.0265,0.0,1.0,None,None,None,None,None,None,None,None,None,-0.0196,0.0,0.6671,1.6367
801071,2021-03-31 00:00:00,CNSESZ,0.0723,0.0491,0.8592,0.0,0.2185,0.0841,0.1211,0.0117,0.0313,0.0217,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.635,1.6828
801071,2021-09-30 00:00:00,CNSESZ,0.2008,0.1558,3.1502,0.0,0.2147,0.0637,0.096,0.0328,0.0888,0.0589,0.0457,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7335,1.6775
801071,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
