指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801074,2018-09-30 00:00:00,CNSESH,0.2246,0.2088,3.4306,0.0,0.2394,0.0654,0.1051,0.0314,0.1114,0.0694,0.0645,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0685,1.1561
801074,2018-03-31 00:00:00,CNSESZ,0.0533,0.0428,0.8453,0.0,0.2363,0.0631,0.1007,0.0096,0.0228,0.0143,0.0114,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1981,1.5487
801074,2017-12-31 00:00:00,CNSESZ,0.228,0.0195,3.2857,0.0064,0.2481,0.0694,0.1034,0.0408,0.0923,0.0619,0.0053,0.0271,0.9729,None,None,None,None,None,None,None,None,None,0.6287,0.0,1.1793,1.5041
801074,2017-03-31 00:00:00,CNSESZ,0.0342,0.0256,0.7061,0.0,0.2286,0.0485,0.0759,0.0069,0.0146,0.0093,0.007,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1386,0.0,1.1252,1.4856
801074,2017-06-30 00:00:00,CNSESH,0.1091,0.0906,2.0198,0.0,0.2289,0.054,0.0944,0.0183,0.06,0.0343,0.0285,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4921,0.0,0.899,1.1375
801074,2018-06-30 00:00:00,CNSESZ,0.1385,0.1155,1.9119,0.0,0.2372,0.0724,0.1044,0.0225,0.0548,0.038,0.0317,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6155,0.0,1.1677,1.5047
801074,2018-12-31 00:00:00,CNSESZ,0.1287,0.0891,3.7473,0.0114,0.242,0.0343,0.0666,0.0243,0.067,0.0345,0.0239,0.0439,0.9561,None,None,None,None,None,None,None,None,None,0.56,0.0,1.0989,1.499
801074,2019-03-31 00:00:00,CNSESZ,0.0405,0.0277,0.7325,0.0,0.221,0.0553,0.0882,0.0083,0.0185,0.0116,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0451,0.0,0.6981,1.5931
801074,2019-06-30 00:00:00,CNSESZ,0.1083,0.0894,1.606,0.0,0.2346,0.0674,0.097,0.0191,0.0445,0.0309,0.0255,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4668,0.0,0.7319,1.5581
801074,2019-09-30 00:00:00,CNSESZ,0.1894,0.1401,2.6028,0.0,0.2311,0.0727,0.0987,0.0312,0.0727,0.0536,0.0396,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7744,1.563
801074,2017-09-30 00:00:00,CNSESZ,0.1663,-0.0212,2.3447,0.0,0.2356,0.0709,0.102,0.0317,0.0666,0.0462,-0.0059,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0318,0.0,1.1219,1.4343
801074,2019-12-31 00:00:00,CNSESZ,0.149,0.1275,3.6132,0.0013,0.2477,0.0412,0.0672,0.028,0.07,0.0429,0.0367,0.0008,0.9992,None,None,None,None,None,None,None,None,None,1.1446,0.0,0.8066,1.4989
801074,2020-06-30 00:00:00,CNSESZ,0.0906,0.0665,1.5408,0.0,0.236,0.0588,0.0836,0.016,0.0376,0.0264,0.0194,0.0,1.0,None,None,None,None,None,None,None,None,None,0.483,0.102,0.7675,1.5527
801074,2020-03-31 00:00:00,CNSESH,0.0177,0.0174,0.9498,0.0,0.2008,0.0186,0.0473,0.0037,0.0126,0.0049,0.0049,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8755,1.3456
801074,2020-09-30 00:00:00,CNSESZ,0.1618,0.1255,2.5736,0.0,0.2328,0.0629,0.0927,0.0285,0.068,0.0461,0.0358,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0962,0.0,0.8071,1.5645
801074,2020-12-31 00:00:00,CNSESZ,0.1784,0.0694,3.5922,0.0101,0.2332,0.0496,0.0753,0.0333,0.0765,0.0504,0.0196,0.0368,0.9632,None,None,None,None,None,None,None,None,None,0.2966,0.0,0.8328,1.5641
801074,2021-09-30 00:00:00,CNSESZ,0.216,0.1803,2.878,0.0,0.2451,0.075,0.1034,0.0337,0.0826,0.0599,0.05,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0955,0.0,0.9513,1.5964
801074,2021-03-31 00:00:00,CNSESZ,0.06,0.0512,0.8495,0.0,0.2396,0.0706,0.0982,0.0096,0.0236,0.017,0.0145,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0958,0.0,0.8603,1.589
801074,2021-06-30 00:00:00,CNSESZ,0.1569,0.1308,1.9074,0.0,0.2474,0.0822,0.1128,0.0247,0.06,0.0437,0.0364,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3443,0.0,0.9168,1.5753
801074,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
