指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801090,2018-09-30 00:00:00,CNSESZ,0.2656,0.183,6.4428,0.0,0.1749,0.0412,0.065,0.0249,0.0826,0.0523,0.036,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9501,1.9454
801090,2017-09-30 00:00:00,CNSESH,0.4268,0.3728,9.8419,0.0,0.1454,0.0433,0.0636,0.0305,0.1118,0.0761,0.0665,0.0,1.0,None,None,None,None,None,None,None,None,None,-0.0065,0.0,2.3247,2.0791
801090,2017-03-31 00:00:00,CNSESZ,0.132,0.1201,2.2668,0.0,0.1833,0.0582,0.0784,0.0121,0.0359,0.0266,0.0243,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1668,2.0108
801090,2018-03-31 00:00:00,CNSESZ,0.1068,0.0862,2.2073,0.0,0.1756,0.0483,0.0759,0.0104,0.0327,0.0208,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0885,2.0625
801090,2017-06-30 00:00:00,CNSESH,0.2853,0.2493,6.4583,0.0,0.1425,0.0441,0.0642,0.0208,0.0769,0.0528,0.0462,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1951,2.0011
801090,2018-12-31 00:00:00,CNSESZ,0.2884,0.1007,8.8146,0.0235,0.1781,0.0327,0.0503,0.0281,0.0872,0.0567,0.0198,0.0336,0.9664,None,None,None,None,None,None,None,None,None,0.0276,0.0,1.9385,1.918
801090,2019-03-31 00:00:00,CNSESZ,0.0759,0.0512,2.1594,0.0,0.1759,0.0351,0.0671,0.0079,0.0278,0.0145,0.0098,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0211,1.9195
801090,2019-06-30 00:00:00,CNSESZ,0.1703,0.1085,4.2512,0.0,0.1831,0.04,0.0673,0.0162,0.0562,0.0334,0.0213,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9591,1.9124
801090,2019-09-30 00:00:00,CNSESZ,0.2322,0.1532,6.0681,0.0,0.1867,0.0382,0.0647,0.0229,0.0785,0.0464,0.0306,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9594,1.8393
801090,2017-12-31 00:00:00,CNSESZ,0.4844,0.3941,9.1907,0.038,0.1791,0.0527,0.0748,0.0452,0.1391,0.0979,0.0797,0.0024,0.9976,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0005,1.9858
801090,2018-06-30 00:00:00,CNSESZ,0.2081,0.1523,4.3977,0.0,0.1734,0.0473,0.0714,0.0192,0.063,0.0417,0.0305,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9456,1.9654
801090,2020-03-31 00:00:00,CNSESH,0.0287,-0.0042,1.8396,0.0,0.13,0.0156,0.0305,0.0027,0.0089,0.0045,-0.0006,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0636,0.0,2.5456,2.2741
801090,2019-12-31 00:00:00,CNSESZ,0.1708,0.0366,8.5791,0.0531,0.1888,0.0199,0.0448,0.0198,0.0775,0.0344,0.0073,0.083,0.917,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8576,1.8646
801090,2020-06-30 00:00:00,CNSESZ,0.2199,0.1169,4.6338,0.0,0.1753,0.0474,0.072,0.0193,0.0664,0.0437,0.0232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9401,1.9365
801090,2020-09-30 00:00:00,CNSESZ,0.3585,0.2349,7.2326,0.0,0.1794,0.0495,0.0754,0.0319,0.1089,0.0715,0.0469,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0046,1.9353
801090,2020-12-31 00:00:00,CNSESZ,0.3171,0.0763,9.8893,0.129,0.1706,0.032,0.0546,0.0315,0.1146,0.0672,0.0161,0.0347,0.9653,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8422,1.8338
801090,2021-06-30 00:00:00,CNSESH,0.2305,0.1813,5.7871,0.0,0.1307,0.0398,0.0566,0.0133,0.0507,0.0356,0.028,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.6463,2.391
801090,2021-03-31 00:00:00,CNSESZ,0.1219,0.103,2.9914,0.0,0.1503,0.0407,0.0589,0.0101,0.0351,0.0243,0.0205,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9544,2.148
801090,2021-09-30 00:00:00,CNSESH,0.331,0.2564,8.6549,0.0,0.1319,0.0382,0.0541,0.0188,0.0714,0.0504,0.039,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.6435,2.4129
801090,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
