指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801091,2018-09-30 00:00:00,CNSESZ,0.1106,0.0901,3.4135,0.0,0.1413,0.0324,0.0629,0.0156,0.0519,0.0267,0.0217,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4129,2.5166
801091,2017-09-30 00:00:00,CNSESZ,0.174,0.1583,3.3437,0.0,0.1455,0.052,0.0896,0.0291,0.0863,0.05,0.0455,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2777,2.6599
801091,2018-03-31 00:00:00,CNSESZ,0.0464,0.0409,1.0989,0.0,0.1291,0.0422,0.0803,0.0071,0.0206,0.0108,0.0095,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4148,2.6689
801091,2017-12-31 00:00:00,CNSESZ,0.2807,0.2621,4.9972,0.006,0.154,0.0561,0.0991,0.0388,0.1169,0.0662,0.0618,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3684,2.6658
801091,2017-03-31 00:00:00,CNSESZ,0.0371,0.0323,0.8901,0.0,0.1457,0.0416,0.0775,0.0067,0.0196,0.0105,0.0091,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1808,2.8466
801091,2017-06-30 00:00:00,CNSESZ,0.114,0.1039,2.0681,0.0,0.1504,0.0551,0.0919,0.0192,0.0567,0.034,0.031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2194,2.5072
801091,2018-06-30 00:00:00,CNSESZ,0.123,0.1068,2.2534,0.0,0.1382,0.0545,0.0843,0.0166,0.0473,0.0306,0.0266,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4254,2.5151
801091,2018-12-31 00:00:00,CNSESZ,0.1536,0.0961,4.9869,0.0,0.1483,0.0308,0.0599,0.0229,0.0712,0.0366,0.0229,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4398,2.4958
801091,2019-03-31 00:00:00,CNSESZ,0.0804,0.0415,1.0345,0.0,0.127,0.0777,0.1386,0.0106,0.0335,0.0188,0.0097,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5291,2.4969
801091,2019-06-30 00:00:00,CNSESZ,0.146,0.0996,2.1871,0.0,0.135,0.0667,0.1104,0.0182,0.0559,0.0338,0.0231,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5425,2.4249
801091,2019-09-30 00:00:00,CNSESZ,0.2222,0.1613,3.2415,0.0,0.1436,0.0685,0.1112,0.0259,0.0828,0.051,0.037,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6298,2.4179
801091,2020-03-31 00:00:00,CNSESH,0.0633,0.0105,0.9081,0.0,0.162,0.0697,0.0829,0.0056,0.016,0.0134,0.0022,0.0,1.0,None,None,None,None,None,None,None,None,None,0.127,0.0,1.4682,2.3202
801091,2019-12-31 00:00:00,CNSESZ,0.2028,0.1265,4.9512,0.0646,0.142,0.0409,0.0765,0.0267,0.0871,0.0466,0.0291,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5902,2.4048
801091,2020-06-30 00:00:00,CNSESZ,0.151,0.1344,2.1661,0.0,0.1581,0.0697,0.1092,0.0171,0.0529,0.0337,0.03,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.685,2.4131
801091,2020-09-30 00:00:00,CNSESZ,0.2415,0.2156,3.5221,0.0,0.1596,0.0685,0.1114,0.0269,0.0861,0.0529,0.0473,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.755,2.5277
801091,2020-12-31 00:00:00,CNSESZ,0.3134,0.252,4.8109,0.051,0.1619,0.0651,0.1066,0.0364,0.1168,0.0713,0.0573,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7756,2.3535
801091,2021-03-31 00:00:00,CNSESZ,0.0711,0.0638,1.2094,0.0,0.1453,0.0588,0.0835,0.0078,0.0227,0.0159,0.0143,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8471,2.354
801091,2021-06-30 00:00:00,CNSESZ,0.1829,0.1514,2.6355,0.0,0.1468,0.0694,0.0998,0.0192,0.0585,0.0406,0.0336,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8648,2.3676
801091,2021-09-30 00:00:00,CNSESZ,0.2307,0.193,3.9991,0.0,0.1284,0.0577,0.0812,0.0245,0.0698,0.0496,0.0415,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9089,2.4274
801091,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
