指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801111,2018-09-30 00:00:00,CNSESZ,1.3886,1.3474,14.2565,0.0,0.2746,0.0974,0.1134,0.0687,0.239,0.2052,0.1991,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.9195,1.2473
801111,2017-09-30 00:00:00,CNSESH,0.6512,0.5248,13.2226,0.0,0.2794,0.0492,0.0725,0.0489,0.2114,0.1435,0.1156,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5127,1.0117
801111,2018-03-31 00:00:00,CNSESZ,0.4117,0.3434,4.6185,0.0,0.267,0.0891,0.1107,0.0228,0.0779,0.0627,0.0523,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.4952,1.2768
801111,2017-03-31 00:00:00,CNSESZ,0.3459,0.3226,4.105,0.0,0.2717,0.0842,0.0984,0.0203,0.0677,0.058,0.0541,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.872,1.3202
801111,2018-12-31 00:00:00,CNSESZ,1.479,1.4022,18.4864,0.1349,0.2772,0.08,0.0956,0.0726,0.2549,0.2132,0.2021,0.1131,0.8869,None,None,None,None,None,None,None,None,None,0.1548,0.0,4.96,1.2932
801111,2019-03-31 00:00:00,CNSESZ,0.768,0.7265,8.0907,0.0,0.2803,0.0949,0.112,0.0216,0.0802,0.068,0.0643,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,9.5196,1.3512
801111,2019-06-30 00:00:00,CNSESZ,1.8392,1.7701,17.22,0.0,0.288,0.1068,0.1211,0.0489,0.1836,0.1619,0.1558,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,9.2942,1.5197
801111,2019-09-30 00:00:00,CNSESZ,2.7421,2.6441,25.6105,0.0,0.284,0.107,0.1205,0.0701,0.254,0.2256,0.2175,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,10.1865,1.5531
801111,2017-12-31 00:00:00,CNSESZ,1.5336,1.3811,16.696,0.0144,0.2712,0.0918,0.1134,0.0926,0.3079,0.2492,0.2244,0.0013,0.9987,None,None,None,None,None,None,None,None,None,0.0924,0.0,4.0826,1.2705
801111,2017-06-30 00:00:00,CNSESH,0.4988,0.4232,8.6806,0.0,0.2831,0.0574,0.083,0.0365,0.1589,0.1099,0.0932,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3795,1.0395
801111,2018-06-30 00:00:00,CNSESZ,0.9461,0.9031,9.7184,0.0,0.2722,0.0973,0.1147,0.0487,0.1714,0.1454,0.1388,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1209,0.0,4.6204,1.2906
801111,2019-12-31 00:00:00,CNSESZ,3.0833,2.9182,32.6333,0.4738,0.2742,0.0944,0.106,0.0769,0.2734,0.2435,0.2305,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,10.4224,1.5834
801111,2020-03-31 00:00:00,CNSESH,0.1129,0.0975,5.2326,0.0,0.2673,0.0215,0.0383,0.0064,0.0329,0.0185,0.016,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.9725,0.967
801111,2020-12-31 00:00:00,CNSESZ,3.0447,2.7337,31.7192,1.4868,0.2511,0.0959,0.1074,0.068,0.2359,0.2108,0.1893,0.2963,0.7037,None,None,None,None,None,None,None,None,None,0.0,0.0,11.8192,1.7979
801111,2020-09-30 00:00:00,CNSESZ,2.2249,2.0502,23.8858,0.0,0.2437,0.0931,0.1058,0.0512,0.1818,0.1601,0.1475,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,11.4675,1.7151
801111,2020-06-30 00:00:00,CNSESZ,1.2495,1.1852,14.5329,0.0,0.2389,0.0859,0.0961,0.0287,0.106,0.0948,0.0899,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,10.5015,1.6552
801111,2021-06-30 00:00:00,CNSESZ,1.5219,1.4417,18.8274,0.0,0.2284,0.0808,0.0868,0.0299,0.1169,0.1087,0.103,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,11.6162,1.8644
801111,2021-03-31 00:00:00,CNSESZ,0.6127,0.6069,8.2145,0.0,0.2284,0.0745,0.076,0.0122,0.0428,0.042,0.0416,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,12.4194,1.8474
801111,2021-09-30 00:00:00,CNSESZ,2.4449,2.3147,28.5698,0.0,0.2325,0.0855,0.0926,0.0492,0.1846,0.1705,0.1614,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,12.5851,1.6148
801111,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
