指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801120,2018-09-30 00:00:00,CNSESZ,0.8556,0.7994,5.1663,0.0,0.3958,0.1656,0.2166,0.0966,0.1883,0.144,0.1345,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4586,1.3287
801120,2017-12-31 00:00:00,CNSESZ,0.8556,0.787,6.2584,0.1146,0.3719,0.1367,0.1813,0.0974,0.1981,0.1494,0.1374,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4751,0.0,3.2026,1.2604
801120,2018-03-31 00:00:00,CNSESZ,0.4111,0.3927,2.0964,0.0,0.4144,0.1961,0.2617,0.0451,0.0882,0.0661,0.0631,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6586,1.3882
801120,2018-06-30 00:00:00,CNSESZ,0.6144,0.5842,3.5371,0.0,0.4033,0.1736,0.2287,0.0699,0.1388,0.1053,0.1002,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2788,0.0,3.2638,1.3466
801120,2017-06-30 00:00:00,CNSESH,0.6639,0.6154,4.1677,0.0,0.429,0.1593,0.2194,0.0695,0.158,0.1147,0.1063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3348,0.0,3.4448,1.1702
801120,2017-03-31 00:00:00,CNSESZ,0.332,0.3206,1.8708,0.0,0.403,0.1775,0.2349,0.0384,0.0742,0.0561,0.0541,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.3853,1.2366
801120,2018-12-31 00:00:00,CNSESZ,1.0456,0.9827,6.7779,0.0016,0.3919,0.1542,0.2041,0.1094,0.225,0.17,0.1598,0.0036,0.9964,None,None,None,None,None,None,None,None,None,0.5526,0.0,3.4957,1.3226
801120,2019-03-31 00:00:00,CNSESZ,0.4927,0.4794,2.3692,0.0,0.4325,0.2079,0.2785,0.0497,0.0993,0.0741,0.0721,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.0663,1.2502
801120,2019-06-30 00:00:00,CNSESZ,0.7551,0.7255,4.171,0.0,0.4051,0.181,0.2387,0.078,0.1565,0.1187,0.114,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6703,0.0,3.7615,1.2524
801120,2019-09-30 00:00:00,CNSESZ,1.0531,1.0038,6.2829,0.0,0.3876,0.1676,0.2179,0.1045,0.2051,0.1577,0.1503,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0966,0.0,4.0758,1.3116
801120,2017-09-30 00:00:00,CNSESH,1.0804,1.0073,6.4557,0.0,0.437,0.1673,0.23,0.109,0.2458,0.1788,0.1667,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0691,0.0,3.8595,1.1635
801120,2020-03-31 00:00:00,CNSESH,0.4845,0.4774,2.3798,0.0,0.4831,0.2035,0.2855,0.0401,0.0875,0.0623,0.0614,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.4188,1.1513
801120,2019-12-31 00:00:00,CNSESZ,1.2144,1.1352,8.197,0.4327,0.3786,0.1481,0.194,0.114,0.2381,0.1817,0.1699,0.0159,0.9841,None,None,None,None,None,None,None,None,None,0.9196,0.0,4.0464,1.2798
801120,2020-06-30 00:00:00,CNSESZ,0.8782,0.7612,4.6523,0.0,0.3664,0.1887,0.2489,0.0831,0.1661,0.1259,0.1091,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3852,0.0,4.3207,1.2973
801120,2020-09-30 00:00:00,CNSESZ,1.2207,1.0663,6.8634,0.0,0.3633,0.1778,0.2318,0.1115,0.2178,0.1671,0.1459,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.6,1.4878
801120,2020-12-31 00:00:00,CNSESZ,1.4791,1.3005,8.9374,0.5582,0.3479,0.1655,0.216,0.1246,0.2557,0.1958,0.1722,0.0214,0.9786,None,None,None,None,None,None,None,None,None,0.37,0.0,4.65,1.5599
801120,2021-06-30 00:00:00,CNSESZ,0.8792,0.8335,4.7113,0.0,0.3873,0.1866,0.243,0.0762,0.1531,0.1176,0.1115,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.5221,1.7855
801120,2021-03-31 00:00:00,CNSESZ,0.5876,0.5693,2.8603,0.0,0.4042,0.2054,0.2714,0.0494,0.0978,0.074,0.0717,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.1842,1.5524
801120,2021-09-30 00:00:00,CNSESH,1.5093,1.4622,7.8827,0.0,0.4325,0.1914,0.2573,0.1171,0.2541,0.189,0.1831,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.6143,1.3318
801120,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
