指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801121,2018-09-30 00:00:00,CNSESZ,0.3733,0.3304,5.1862,0.0,0.2279,0.0719,0.1013,0.0706,0.1537,0.1092,0.0966,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1038,1.1513
801121,2017-09-30 00:00:00,CNSESZ,0.3771,0.3298,4.9207,0.0,0.2199,0.0766,0.1019,0.0741,0.1537,0.1155,0.1011,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0172,1.1147
801121,2018-03-31 00:00:00,CNSESZ,0.1185,0.1055,1.7862,0.0,0.2236,0.0663,0.0922,0.022,0.0466,0.0336,0.0299,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2126,1.1524
801121,2017-12-31 00:00:00,CNSESZ,0.4682,0.398,6.8226,0.3185,0.2131,0.0686,0.0917,0.0883,0.1831,0.137,0.1164,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0952,1.1506
801121,2017-03-31 00:00:00,CNSESZ,0.1155,0.1037,1.8,0.0,0.2069,0.0642,0.0856,0.0214,0.0421,0.0316,0.0283,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1995,1.2208
801121,2017-06-30 00:00:00,CNSESH,0.2058,0.1945,8.673,0.0,0.1411,0.0237,0.0512,0.0301,0.1149,0.0531,0.0502,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7638,1.6388
801121,2018-06-30 00:00:00,CNSESZ,0.2383,0.2061,3.3936,0.0,0.2324,0.0702,0.1006,0.0471,0.1044,0.0728,0.063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9803,1.1465
801121,2018-12-31 00:00:00,CNSESZ,0.4438,0.3725,7.0206,0.0055,0.2244,0.0632,0.0923,0.0828,0.191,0.1308,0.1098,-0.4852,1.4852,None,None,None,None,None,None,None,None,None,0.0,0.0,0.903,1.1525
801121,2019-03-31 00:00:00,CNSESZ,0.1286,0.1146,1.8141,0.0,0.2346,0.0708,0.1002,0.0235,0.0518,0.0366,0.0326,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0328,1.1396
801121,2019-06-30 00:00:00,CNSESZ,0.2337,0.2024,3.6269,0.0,0.2196,0.0644,0.0922,0.0442,0.1001,0.07,0.0606,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9337,1.1362
801121,2019-09-30 00:00:00,CNSESZ,0.408,0.361,5.7314,0.0,0.2177,0.0711,0.0996,0.074,0.1642,0.1173,0.1037,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1521,1.074
801121,2020-03-31 00:00:00,CNSESH,0.09,0.0841,4.5669,0.0,0.1868,0.0197,0.0421,0.0042,0.046,0.0215,0.0201,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.18,1.6734
801121,2019-12-31 00:00:00,CNSESZ,0.5103,0.3896,8.2315,0.3092,0.2155,0.062,0.0878,0.0898,0.2113,0.1492,0.1139,0.7633,0.2367,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2126,1.0732
801121,2020-06-30 00:00:00,CNSESZ,0.6501,0.3869,5.0445,0.0,0.2064,0.1288,0.1706,0.1025,0.2358,0.178,0.1059,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6314,1.079
801121,2020-09-30 00:00:00,CNSESZ,0.9625,0.5766,7.4704,0.0,0.2089,0.1288,0.1684,0.1434,0.3022,0.2312,0.1385,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9021,1.6934
801121,2020-12-31 00:00:00,CNSESZ,1.1495,0.8014,9.8827,0.5734,0.2016,0.1163,0.151,0.1656,0.3479,0.2679,0.1867,0.1179,0.8821,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8464,1.7784
801121,2021-06-30 00:00:00,CNSESH,0.2176,0.1928,9.02,0.0,0.1146,0.0241,0.0456,0.0155,0.096,0.0507,0.0449,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3335,1.6829
801121,2021-03-31 00:00:00,CNSESZ,0.2236,0.2002,2.4907,0.0,0.2016,0.0897,0.1154,0.0308,0.0639,0.0497,0.0445,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.07,1.7749
801121,2021-09-30 00:00:00,CNSESH,0.2445,0.2077,12.2662,0.0,0.1012,0.0199,0.0307,0.0209,0.0876,0.0567,0.0481,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.361,1.6829
801121,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
