指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801130,2018-09-30 00:00:00,CNSESZ,0.2142,0.1741,3.1869,0.0,0.2717,0.0672,0.1004,0.0433,0.0947,0.0634,0.0515,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0997,1.1088
801130,2017-09-30 00:00:00,CNSESH,0.3594,0.2892,3.8765,0.0,0.3174,0.0927,0.1193,0.0606,0.1209,0.094,0.0756,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1948,0.0,1.475,1.6934
801130,2018-03-31 00:00:00,CNSESZ,0.0675,0.0525,1.0556,0.0,0.2702,0.064,0.1013,0.0145,0.0302,0.0191,0.0148,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1613,1.2375
801130,2017-06-30 00:00:00,CNSESH,0.2727,0.2103,2.6478,0.0,0.3181,0.1029,0.1278,0.0463,0.0924,0.0745,0.0574,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5681,0.0,1.4384,1.6012
801130,2017-03-31 00:00:00,CNSESZ,0.0644,0.0521,0.9053,0.0,0.3058,0.0712,0.102,0.0134,0.0267,0.0186,0.015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.14,1.3421
801130,2018-12-31 00:00:00,CNSESZ,0.1514,0.0889,4.4224,0.0039,0.2812,0.0342,0.0669,0.037,0.0877,0.0449,0.0263,0.04,0.96,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0082,1.1235
801130,2019-03-31 00:00:00,CNSESZ,0.0609,0.037,1.1421,0.0,0.2531,0.0533,0.0895,0.0113,0.0274,0.0163,0.0099,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1225,1.3851
801130,2019-06-30 00:00:00,CNSESZ,0.1077,0.0702,2.2566,0.0,0.2674,0.0477,0.0876,0.0217,0.0546,0.0297,0.0194,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2743,0.0,1.0472,1.3749
801130,2019-09-30 00:00:00,CNSESZ,0.1979,0.1451,3.759,0.0,0.2393,0.0526,0.0882,0.0366,0.0918,0.0547,0.0401,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0481,1.3347
801130,2017-12-31 00:00:00,CNSESZ,0.2508,0.1542,4.2236,0.0088,0.2738,0.0594,0.0925,0.0534,0.1136,0.0729,0.0448,0.0211,0.9789,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0981,1.2135
801130,2018-06-30 00:00:00,CNSESZ,0.1373,0.1085,2.0886,0.0,0.2707,0.0657,0.0987,0.0293,0.062,0.0413,0.0326,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0294,1.1166
801130,2019-12-31 00:00:00,CNSESZ,0.0441,0.0314,4.691,0.0234,0.2716,0.0094,0.0518,0.0185,0.0734,0.0133,0.0095,0.0226,0.9774,None,None,None,None,None,None,None,None,None,0.7903,0.0,0.8361,1.316
801130,2020-03-31 00:00:00,CNSESH,0.0716,0.054,1.4658,0.0,0.2144,0.0489,0.0791,0.0103,0.0255,0.0157,0.0119,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1487,1.2616
801130,2020-09-30 00:00:00,CNSESZ,0.0843,0.0365,2.7923,0.0,0.2421,0.0301,0.0623,0.0202,0.052,0.0252,0.0109,0.0,1.0,None,None,None,None,None,None,None,None,None,0.04,0.0,0.7181,1.3253
801130,2020-06-30 00:00:00,CNSESZ,0.048,0.021,1.7006,0.0,0.2641,0.0282,0.0601,0.0122,0.0314,0.0147,0.0064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5689,0.0,0.7516,1.3135
801130,2020-12-31 00:00:00,CNSESZ,0.0598,-0.115,3.9139,0.0223,0.2392,0.0152,0.0445,0.0209,0.0511,0.0175,-0.0337,0.0932,0.9068,None,None,None,None,None,None,None,None,None,0.2451,0.0,0.6781,1.3645
801130,2021-06-30 00:00:00,CNSESH,0.234,0.1903,3.4334,0.0,0.2036,0.0681,0.0951,0.0334,0.0826,0.0592,0.0482,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7594,1.2908
801130,2021-03-31 00:00:00,CNSESZ,0.0746,0.059,0.965,0.0,0.2794,0.0773,0.1139,0.0146,0.0337,0.0229,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8166,1.4111
801130,2021-09-30 00:00:00,CNSESH,0.3425,0.2911,5.201,0.0,0.2025,0.0658,0.0906,0.048,0.1176,0.0854,0.0726,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0637,0.0,1.851,1.3109
801130,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
