指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801132,2018-09-30 00:00:00,CNSESZ,0.2034,0.1711,2.8156,0.0,0.3415,0.0722,0.1006,0.0461,0.0931,0.0668,0.0562,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9939,0.9528
801132,2017-09-30 00:00:00,CNSESZ,0.1689,0.1453,2.5356,0.0,0.3452,0.0666,0.0944,0.0404,0.0826,0.0583,0.0501,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9595,0.9894
801132,2018-03-31 00:00:00,CNSESZ,0.0716,0.0645,0.9662,0.0,0.3365,0.0741,0.101,0.0161,0.0312,0.0228,0.0206,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0202,1.0462
801132,2017-12-31 00:00:00,CNSESZ,0.1839,0.1351,3.7185,0.0004,0.3387,0.0494,0.0734,0.0432,0.0891,0.06,0.0441,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9516,1.0239
801132,2017-03-31 00:00:00,CNSESZ,0.0709,0.0608,0.8391,0.0,0.3893,0.0845,0.1122,0.0161,0.0296,0.0223,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0796,1.2031
801132,2017-06-30 00:00:00,CNSESZ,0.1084,0.0925,1.5328,0.0,0.3693,0.0707,0.0974,0.0273,0.0526,0.0382,0.0326,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9122,0.9972
801132,2018-06-30 00:00:00,CNSESZ,0.1309,0.1118,1.8574,0.0,0.3405,0.0705,0.0979,0.0314,0.0609,0.0438,0.0374,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9237,0.9644
801132,2018-12-31 00:00:00,CNSESZ,0.2341,0.1888,3.9928,0.0019,0.3522,0.0586,0.0823,0.0533,0.1069,0.0761,0.0614,0.0163,0.9837,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9947,0.9593
801132,2019-06-30 00:00:00,CNSESZ,0.137,0.1046,1.9303,0.0,0.3813,0.0709,0.097,0.0293,0.0595,0.0436,0.0332,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0951,0.0,1.0704,0.9646
801132,2019-03-31 00:00:00,CNSESZ,0.0818,0.0731,1.0018,0.0,0.3612,0.0816,0.1064,0.0169,0.033,0.0253,0.0226,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1349,0.9623
801132,2019-09-30 00:00:00,CNSESZ,0.2197,0.1807,3.0613,0.0,0.3721,0.0717,0.0963,0.0454,0.093,0.0693,0.057,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0906,0.9343
801132,2019-12-31 00:00:00,CNSESZ,0.1825,0.1479,4.1868,0.0076,0.3779,0.0436,0.0698,0.0385,0.0911,0.0569,0.0461,0.0172,0.9828,None,None,None,None,None,None,None,None,None,0.8645,0.0,1.0673,0.9364
801132,2020-06-30 00:00:00,CNSESZ,0.037,0.0136,1.4023,0.0,0.3865,0.0264,0.0434,0.0083,0.0196,0.0119,0.0044,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7721,0.0,0.9474,0.9203
801132,2020-03-31 00:00:00,CNSESH,0.0917,0.0632,0.9921,0.0,0.3864,0.0924,0.1345,0.0107,0.0254,0.0175,0.012,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5697,1.541
801132,2020-09-30 00:00:00,CNSESZ,0.0732,0.0337,2.2619,0.0,0.3684,0.0323,0.0503,0.0164,0.0365,0.0235,0.0108,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0775,0.0,0.9508,0.9238
801132,2020-12-31 00:00:00,CNSESZ,0.0204,-0.0283,3.3936,0.0124,0.3587,0.006,0.0207,0.0069,0.022,0.0063,-0.0088,0.0868,0.9132,None,None,None,None,None,None,None,None,None,0.2375,0.0,0.8858,1.0138
801132,2021-06-30 00:00:00,CNSESH,0.2582,0.1945,2.2077,0.0,0.4219,0.1169,0.1596,0.0291,0.0732,0.0536,0.0404,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.213,1.6424
801132,2021-03-31 00:00:00,CNSESZ,0.0663,0.0432,0.766,0.0,0.4147,0.0866,0.1223,0.0138,0.0299,0.0212,0.0138,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9532,1.0542
801132,2021-09-30 00:00:00,CNSESH,0.3951,0.3187,3.4734,0.0,0.4129,0.1137,0.1503,0.0439,0.1076,0.0814,0.0656,0.0,1.0,None,None,None,None,None,None,None,None,None,0.116,0.0,2.345,1.6507
801132,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
