指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801140,2018-09-30 00:00:00,CNSESZ,0.2812,0.2437,3.9563,0.0,0.2356,0.071,0.1136,0.0446,0.1154,0.0722,0.0625,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3195,1.4668
801140,2018-03-31 00:00:00,CNSESZ,0.0903,0.0787,1.3472,0.0,0.2332,0.067,0.1183,0.0148,0.0392,0.0222,0.0193,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3737,1.6476
801140,2017-06-30 00:00:00,CNSESH,0.2299,0.1972,2.9617,0.0,0.204,0.0776,0.1093,0.0441,0.1035,0.0735,0.063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4746,0.0,1.1248,1.3205
801140,2017-03-31 00:00:00,CNSESZ,0.0889,0.0789,1.2,0.0,0.2391,0.0741,0.1115,0.0144,0.0365,0.0242,0.0215,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2176,0.0,1.2085,1.571
801140,2018-12-31 00:00:00,CNSESZ,0.2116,0.1535,5.1924,0.0037,0.2364,0.0407,0.0814,0.0419,0.1075,0.0538,0.039,0.01,0.99,None,None,None,None,None,None,None,None,None,0.0357,0.0,1.2145,1.4438
801140,2019-03-31 00:00:00,CNSESZ,0.0691,0.0548,1.1319,0.0,0.2364,0.061,0.1047,0.0126,0.0304,0.0177,0.0141,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3659,1.2108
801140,2019-06-30 00:00:00,CNSESZ,0.163,0.1389,2.2219,0.0,0.2514,0.0733,0.1161,0.0285,0.07,0.0442,0.0377,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2083,0.0,1.2682,1.0964
801140,2019-09-30 00:00:00,CNSESZ,0.3048,0.2426,3.8044,0.0,0.2545,0.0801,0.1202,0.0484,0.1215,0.0809,0.0644,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.376,1.1134
801140,2017-09-30 00:00:00,CNSESZ,0.3065,0.2787,3.6072,0.0,0.2548,0.0849,0.133,0.0489,0.1305,0.0834,0.0758,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0828,0.0,1.2223,1.4786
801140,2017-12-31 00:00:00,CNSESZ,0.4021,0.3513,4.9587,0.0248,0.2529,0.081,0.1325,0.0636,0.1718,0.1051,0.0918,0.0108,0.9892,None,None,None,None,None,None,None,None,None,0.0574,0.0,1.2612,1.5635
801140,2018-06-30 00:00:00,CNSESZ,0.1855,0.1573,2.5857,0.0,0.2352,0.0717,0.1148,0.0302,0.0787,0.0491,0.0417,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0615,0.0,1.2377,1.4691
801140,2019-12-31 00:00:00,CNSESZ,0.3841,0.3064,4.9007,0.0278,0.2679,0.0783,0.1163,0.0619,0.1506,0.1015,0.0809,0.0258,0.9742,None,None,None,None,None,None,None,None,None,1.3747,0.1041,1.4569,1.1152
801140,2020-03-31 00:00:00,CNSESH,0.0721,0.0589,1.1999,0.0,0.2488,0.06,0.0883,0.0105,0.0243,0.0165,0.0135,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9337,1.657
801140,2020-09-30 00:00:00,CNSESZ,0.2548,0.1924,3.5488,0.0,0.2477,0.0718,0.1098,0.0417,0.1026,0.0671,0.0507,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5463,1.1323
801140,2020-06-30 00:00:00,CNSESZ,0.14,0.1041,2.1249,0.0,0.2483,0.0659,0.1029,0.0243,0.0586,0.0375,0.0279,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9776,0.0,1.4739,1.11
801140,2020-12-31 00:00:00,CNSESZ,0.3336,0.259,4.9807,0.0276,0.2323,0.0669,0.1046,0.0537,0.1293,0.0828,0.0643,0.0161,0.9839,None,None,None,None,None,None,None,None,None,0.5704,0.0,1.5862,1.2163
801140,2021-03-31 00:00:00,CNSESZ,0.1195,0.1103,1.4304,0.0,0.2246,0.0835,0.1189,0.0173,0.0429,0.0302,0.0278,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1357,0.0,1.6815,1.2398
801140,2021-09-30 00:00:00,CNSESH,0.5291,0.4745,5.6631,0.0,0.2415,0.0934,0.1243,0.0615,0.1432,0.1076,0.0965,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3675,1.7688
801140,2021-06-30 00:00:00,CNSESH,0.362,0.3206,3.6111,0.0,0.249,0.1002,0.1315,0.0437,0.1,0.0762,0.0674,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0595,0.0,2.2103,1.7861
801140,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
