指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801160,2018-09-30 00:00:00,CNSESZ,0.1852,0.1037,1.8711,0.0,0.2343,0.0989,0.206,0.0323,0.1193,0.0573,0.0321,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.848,1.2294
801160,2017-09-30 00:00:00,CNSESH,0.2447,0.2307,2.6102,0.0,0.2021,0.0937,0.2075,0.0342,0.1545,0.0698,0.0658,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2188,0.0,1.0634,1.0669
801160,2017-12-31 00:00:00,CNSESH,0.2868,0.2627,3.5546,0.001,0.1971,0.0807,0.1912,0.0421,0.1905,0.0804,0.0736,0.0064,0.9936,None,None,None,None,None,None,None,None,None,0.2018,0.0,1.0615,1.0924
801160,2018-03-31 00:00:00,CNSESZ,0.0593,0.0247,0.5988,0.0,0.2113,0.0991,0.2071,0.0106,0.0388,0.0185,0.0077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8102,1.2591
801160,2018-12-31 00:00:00,CNSESZ,0.1508,0.0514,2.6407,0.001,0.225,0.0571,0.161,0.0327,0.1307,0.0463,0.0158,0.0627,0.9373,None,None,None,None,None,None,None,None,None,0.2031,0.0,0.7859,1.2745
801160,2019-06-30 00:00:00,CNSESZ,0.1488,0.0636,1.4059,0.0,0.2419,0.1058,0.2434,0.0238,0.1028,0.0447,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8468,1.2248
801160,2019-03-31 00:00:00,CNSESZ,0.0766,0.0281,0.6934,0.0,0.231,0.1105,0.2486,0.0118,0.0516,0.0229,0.0084,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8468,1.2184
801160,2017-03-31 00:00:00,CNSESZ,0.0549,0.0251,0.5268,0.0,0.2221,0.1042,0.2108,0.0113,0.0391,0.0193,0.0088,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0557,0.0,0.691,1.2214
801160,2019-09-30 00:00:00,CNSESZ,0.211,0.1649,2.0168,0.0,0.2464,0.1046,0.2453,0.0356,0.1521,0.0648,0.0507,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1303,0.0,0.8536,1.2232
801160,2017-06-30 00:00:00,CNSESZ,0.1212,0.0661,1.1109,0.0,0.2331,0.1091,0.2163,0.024,0.0842,0.0425,0.0232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1352,0.0,0.6812,1.1603
801160,2018-06-30 00:00:00,CNSESZ,0.126,0.069,1.2297,0.0,0.2274,0.1025,0.2058,0.022,0.08,0.0398,0.0218,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0866,0.0,0.7995,1.2425
801160,2019-12-31 00:00:00,CNSESZ,0.2042,0.1309,2.7239,0.0287,0.2377,0.0749,0.2095,0.0394,0.1777,0.0636,0.0407,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1519,0.0,0.8162,1.234
801160,2020-03-31 00:00:00,CNSESH,0.0629,0.049,0.9144,0.0,0.2175,0.0688,0.1943,0.0101,0.0467,0.0165,0.0128,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1126,0.0,1.221,1.0059
801160,2020-09-30 00:00:00,CNSESZ,0.2598,0.2004,2.0004,0.0,0.278,0.1298,0.2769,0.0376,0.1585,0.0743,0.0573,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9842,1.2358
801160,2020-06-30 00:00:00,CNSESZ,0.166,0.12,1.3023,0.0,0.2396,0.1274,0.2735,0.0241,0.108,0.0503,0.0364,0.0,1.0,None,None,None,None,None,None,None,None,None,0.029,0.0,0.6906,1.1168
801160,2020-12-31 00:00:00,CNSESZ,0.2824,0.2091,2.8476,0.0395,0.2518,0.0991,0.2287,0.0424,0.1831,0.0793,0.0587,0.0,1.0,None,None,None,None,None,None,None,None,None,0.148,0.0,0.9923,1.2292
801160,2021-03-31 00:00:00,CNSESZ,0.077,0.0538,0.7673,0.0,0.2301,0.1004,0.222,0.011,0.0475,0.0214,0.015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0473,0.0,1.053,1.2318
801160,2021-06-30 00:00:00,CNSESH,0.1978,0.169,2.3335,0.0,0.1857,0.0847,0.184,0.0229,0.105,0.0483,0.0413,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1159,0.0,1.248,1.1321
801160,2021-09-30 00:00:00,CNSESH,0.2468,0.206,3.7238,0.0,0.1555,0.0662,0.153,0.0305,0.1342,0.0581,0.0485,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.287,1.1345
801160,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
