指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801180,2018-09-30 00:00:00,CNSESZ,0.4918,0.3945,4.2464,0.0,0.2732,0.1158,0.237,0.0195,0.1978,0.0966,0.0775,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8065,0.9949
801180,2017-12-31 00:00:00,CNSESZ,0.7981,0.6608,6.5796,0.0227,0.2447,0.1213,0.2201,0.0332,0.2875,0.1584,0.1311,0.0256,0.9744,None,None,None,None,None,None,None,None,None,0.26,0.0,2.6463,1.0964
801180,2018-03-31 00:00:00,CNSESZ,0.1401,0.1176,1.0648,0.0,0.2712,0.1316,0.2248,0.006,0.0462,0.027,0.0227,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8083,1.1074
801180,2017-03-31 00:00:00,CNSESZ,0.0851,0.0771,0.8658,0.0,0.2316,0.0983,0.1881,0.0049,0.0356,0.0186,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2968,0.9898
801180,2017-06-30 00:00:00,CNSESH,0.2829,0.231,2.8531,0.0,0.2202,0.0991,0.1844,0.0134,0.1078,0.058,0.0473,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4501,1.2937
801180,2018-06-30 00:00:00,CNSESZ,0.3418,0.2683,2.6647,0.0,0.273,0.1283,0.2528,0.0139,0.135,0.0685,0.0538,0.0,1.0,None,None,None,None,None,None,None,None,None,0.197,0.0,2.7087,1.0065
801180,2018-12-31 00:00:00,CNSESZ,0.8375,0.7376,7.5652,0.0,0.2778,0.1107,0.2244,0.0296,0.3062,0.151,0.133,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3083,0.0,3.0288,0.9512
801180,2019-03-31 00:00:00,CNSESZ,0.1384,0.1094,1.2136,0.0,0.2731,0.114,0.2426,0.0052,0.0519,0.0244,0.0193,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1166,1.0074
801180,2019-06-30 00:00:00,CNSESZ,0.3479,0.3118,3.2,0.0,0.2721,0.1087,0.2279,0.012,0.1318,0.0628,0.0563,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3191,0.0,2.9984,1.0118
801180,2019-09-30 00:00:00,CNSESZ,0.5124,0.4552,4.9852,0.0,0.2676,0.1027,0.2192,0.0172,0.1933,0.0906,0.0805,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1492,1.0081
801180,2017-09-30 00:00:00,CNSESH,0.393,0.3245,4.1107,0.0,0.2183,0.0956,0.1768,0.018,0.1435,0.0776,0.064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5312,1.2616
801180,2020-03-31 00:00:00,CNSESH,0.1221,0.1075,1.5185,0.0,0.236,0.0804,0.1906,0.0043,0.0453,0.0191,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8344,1.1954
801180,2019-12-31 00:00:00,CNSESZ,0.9047,0.7785,8.9111,0.1934,0.258,0.1015,0.2074,0.0273,0.3072,0.1503,0.1293,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3617,0.0,3.2978,1.0374
801180,2020-06-30 00:00:00,CNSESZ,0.2478,0.2344,3.256,0.0,0.2347,0.0761,0.1857,0.0083,0.0991,0.0406,0.0384,0.0,1.0,None,None,None,None,None,None,None,None,None,0.276,0.0,3.2531,1.1004
801180,2020-09-30 00:00:00,CNSESZ,0.3974,0.3715,5.3176,0.0,0.2262,0.0747,0.1781,0.0127,0.1519,0.0637,0.0595,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.3899,1.0975
801180,2020-12-31 00:00:00,CNSESZ,0.7712,0.6205,9.9059,0.23,0.2205,0.0778,0.1721,0.0208,0.2548,0.1153,0.0927,0.1423,0.8577,None,None,None,None,None,None,None,None,None,0.3167,0.0,3.5313,1.123
801180,2021-06-30 00:00:00,CNSESZ,0.2663,0.2348,4.1526,0.0,0.1925,0.0641,0.1503,0.0076,0.0929,0.0396,0.0349,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3131,0.0,3.4929,1.1316
801180,2021-03-31 00:00:00,CNSESZ,0.0678,0.0584,1.5554,0.0,0.2005,0.0436,0.1302,0.0027,0.03,0.01,0.0086,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5879,1.1289
801180,2021-09-30 00:00:00,CNSESH,0.2741,0.2105,7.5405,0.0,0.1561,0.0363,0.1078,0.0103,0.119,0.0401,0.0308,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.0023,1.1456
801180,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
