指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801181,2018-09-30 00:00:00,CNSESZ,0.4918,0.3945,4.2464,0.0,0.2732,0.1158,0.237,0.0195,0.1978,0.0966,0.0775,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8065,0.9949
801181,2017-09-30 00:00:00,CNSESH,0.4035,0.3306,4.3827,0.0,0.2134,0.092,0.1704,0.0175,0.1489,0.0804,0.0659,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5839,1.2271
801181,2018-03-31 00:00:00,CNSESH,0.1303,0.1208,1.4254,0.0,0.2256,0.0914,0.1715,0.0053,0.0447,0.0238,0.0221,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9256,1.1788
801181,2019-03-31 00:00:00,CNSESZ,0.1437,0.1133,1.2317,0.0,0.2752,0.1167,0.2487,0.0052,0.0532,0.0249,0.0196,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2272,0.965
801181,2018-12-31 00:00:00,CNSESZ,0.8375,0.7376,7.5652,0.0,0.2778,0.1107,0.2244,0.0296,0.3062,0.151,0.133,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3083,0.0,3.0288,0.9512
801181,2019-06-30 00:00:00,CNSESH,0.425,0.379,3.9653,0.0,0.2418,0.1071,0.2075,0.014,0.1428,0.0737,0.0657,0.0,1.0,None,None,None,None,None,None,None,None,None,0.102,0.0,3.3933,1.1247
801181,2019-09-30 00:00:00,CNSESZ,0.5325,0.4734,5.0944,0.0,0.2696,0.1045,0.2235,0.017,0.1983,0.0927,0.0824,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2558,0.9665
801181,2017-03-31 00:00:00,CNSESZ,0.0851,0.0771,0.8658,0.0,0.2316,0.0983,0.1881,0.0049,0.0356,0.0186,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2968,0.9898
801181,2017-12-31 00:00:00,CNSESH,0.6696,0.559,7.7381,0.0047,0.2057,0.0865,0.1649,0.0265,0.2402,0.126,0.1052,0.002,0.998,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7983,1.1987
801181,2017-06-30 00:00:00,CNSESH,0.2889,0.2326,3.0445,0.0,0.2152,0.0948,0.1773,0.0129,0.1114,0.0596,0.048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5019,1.2623
801181,2018-06-30 00:00:00,CNSESZ,0.3418,0.2683,2.6647,0.0,0.273,0.1283,0.2528,0.0139,0.135,0.0685,0.0538,0.0,1.0,None,None,None,None,None,None,None,None,None,0.197,0.0,2.7087,1.0065
801181,2019-12-31 00:00:00,CNSESZ,0.949,0.816,9.2186,0.2037,0.2591,0.1029,0.2104,0.0272,0.3165,0.1548,0.1331,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3455,0.0,3.4236,0.9756
801181,2020-03-31 00:00:00,CNSESH,0.122,0.1074,1.5175,0.0,0.236,0.0804,0.1907,0.0043,0.0453,0.0191,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8362,1.1943
801181,2020-12-31 00:00:00,CNSESZ,0.841,0.6571,10.2931,0.2439,0.2218,0.0817,0.1773,0.0212,0.2665,0.1228,0.0959,0.1085,0.8915,None,None,None,None,None,None,None,None,None,0.3645,0.0,3.7029,1.0686
801181,2020-09-30 00:00:00,CNSESZ,0.417,0.3905,5.4793,0.0,0.2281,0.0761,0.1817,0.0126,0.1564,0.0655,0.0613,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5243,1.0439
801181,2020-06-30 00:00:00,CNSESZ,0.2616,0.2479,3.356,0.0,0.2373,0.0779,0.1899,0.0083,0.1025,0.042,0.0398,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3177,0.0,3.3801,1.0449
801181,2021-03-31 00:00:00,CNSESH,0.0832,0.0747,2.0191,0.0,0.1709,0.0412,0.1168,0.0033,0.0344,0.0121,0.0109,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.124,1.1531
801181,2021-06-30 00:00:00,CNSESZ,0.2783,0.246,4.2806,0.0,0.1927,0.065,0.1526,0.0075,0.0948,0.0404,0.0357,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3603,0.0,3.6612,1.0791
801181,2021-09-30 00:00:00,CNSESH,0.2735,0.2099,7.5422,0.0,0.156,0.0362,0.1077,0.0102,0.119,0.04,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.0046,1.1453
801181,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
