指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801220,2018-09-30 00:00:00,CNSESZ,0.146,0.0985,2.3107,0.0,0.2341,0.0632,0.0829,0.0293,0.0548,0.0417,0.0281,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8809,1.6322
801220,2017-09-30 00:00:00,CNSESH,0.2179,0.151,5.4737,0.0,0.2678,0.0398,0.0704,0.0188,0.0906,0.0512,0.0355,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.674,1.5094
801220,2018-03-31 00:00:00,CNSESZ,0.0577,0.0295,0.6852,0.0,0.247,0.0842,0.1134,0.0112,0.0215,0.016,0.0082,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8845,1.7349
801220,2017-03-31 00:00:00,CNSESZ,0.0466,0.0347,0.6308,0.0,0.276,0.0738,0.0866,0.0093,0.0154,0.0131,0.0098,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9964,1.8808
801220,2019-03-31 00:00:00,CNSESZ,0.0381,0.0245,0.7081,0.0,0.236,0.0538,0.074,0.0078,0.0152,0.011,0.0071,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6617,1.6668
801220,2018-12-31 00:00:00,CNSESZ,-0.1014,-0.1716,3.3169,0.002,0.2407,-0.0305,-0.0154,-0.0117,-0.0153,-0.0302,-0.0511,-0.0904,1.0904,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6185,1.6254
801220,2019-06-30 00:00:00,CNSESZ,-0.0083,0.0579,1.4671,0.0,0.2344,-0.0056,0.0721,0.0009,0.0322,-0.0025,0.0176,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5609,1.583
801220,2019-09-30 00:00:00,CNSESZ,0.0403,0.0975,2.3117,0.0,0.232,0.0174,0.0726,0.0104,0.0504,0.0121,0.0292,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6013,1.599
801220,2017-12-31 00:00:00,CNSESZ,0.0715,0.0163,3.0341,0.0044,0.2553,0.0235,0.0316,0.0177,0.0275,0.0205,0.0046,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.836,1.6879
801220,2017-06-30 00:00:00,CNSESH,0.1604,0.1153,3.7066,0.0,0.2655,0.0432,0.0724,0.0135,0.0642,0.0383,0.0275,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1035,0.0,1.6461,1.5026
801220,2018-06-30 00:00:00,CNSESZ,0.1031,0.0639,1.484,0.0,0.2377,0.0694,0.0903,0.0206,0.0385,0.0296,0.0183,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.852,1.6442
801220,2020-03-31 00:00:00,CNSESH,0.0335,0.0339,1.4354,0.0,0.2856,0.0233,0.055,0.0027,0.0165,0.007,0.0071,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6598,1.9881
801220,2019-12-31 00:00:00,CNSESZ,-0.1004,-0.0207,3.4358,0.0146,0.2272,-0.0292,0.0109,-0.0126,0.0119,-0.032,-0.0066,0.0123,0.9877,None,None,None,None,None,None,None,None,None,0.0,0.0,0.443,1.6013
801220,2020-06-30 00:00:00,CNSESZ,0.0513,0.0354,1.2037,0.0,0.26,0.0426,0.0638,0.0113,0.0246,0.0164,0.0113,0.0,1.0,None,None,None,None,None,None,None,None,None,-0.0332,0.0,0.4237,1.5846
801220,2020-09-30 00:00:00,CNSESZ,0.0928,0.0653,1.9505,0.0,0.2592,0.0476,0.0691,0.0197,0.0424,0.0292,0.0205,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4548,1.6475
801220,2020-12-31 00:00:00,CNSESZ,-0.0258,-0.07,3.0121,0.0059,0.2579,-0.0085,0.0118,0.0004,0.0116,-0.0085,-0.023,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.308,1.6772
801220,2021-06-30 00:00:00,CNSESH,0.1795,0.1331,3.3041,0.0,0.2842,0.0543,0.0901,0.0142,0.0625,0.0377,0.0279,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0588,0.0,1.7506,1.9671
801220,2021-03-31 00:00:00,CNSESZ,0.0372,0.0268,0.6358,0.0,0.2568,0.0586,0.0746,0.0071,0.0154,0.0121,0.0087,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3376,1.7071
801220,2021-09-30 00:00:00,CNSESH,0.242,0.1856,4.9384,0.0,0.2741,0.049,0.0815,0.0187,0.0839,0.0504,0.0387,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7942,1.9671
801220,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
