指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801222,2018-09-30 00:00:00,CNSESZ,0.176,0.1232,2.9173,0.0,0.269,0.0603,0.0797,0.0329,0.0621,0.047,0.0329,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0258,0.0,0.9835,1.9522
801222,2017-09-30 00:00:00,CNSESH,0.1733,0.0991,3.2125,0.0,0.2758,0.0539,0.077,0.0312,0.0721,0.0505,0.0289,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1914,1.289
801222,2018-03-31 00:00:00,CNSESZ,0.042,0.0285,0.9271,0.0,0.2548,0.0453,0.064,0.0078,0.0151,0.0106,0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9894,2.1585
801222,2017-06-30 00:00:00,CNSESH,0.0992,0.0711,2.1493,0.0,0.2751,0.0461,0.0664,0.0189,0.0445,0.0309,0.0221,0.0,1.0,None,None,None,None,None,None,None,None,None,0.175,0.0,1.1233,1.1891
801222,2017-03-31 00:00:00,CNSESZ,0.047,0.0287,0.7954,0.0,0.2687,0.0591,0.0585,0.0094,0.0131,0.0132,0.0081,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0244,0.0,0.9062,2.31
801222,2018-12-31 00:00:00,CNSESZ,0.1728,0.0884,4.3722,0.0026,0.2699,0.0395,0.0573,0.0319,0.0652,0.0449,0.023,0.0097,0.9903,None,None,None,None,None,None,None,None,None,0.1489,0.0,0.9679,1.945
801222,2019-03-31 00:00:00,CNSESZ,0.04,0.0233,1.024,0.0,0.2464,0.0391,0.0587,0.0075,0.0155,0.0103,0.006,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0565,0.0,1.0049,1.9514
801222,2019-06-30 00:00:00,CNSESZ,0.1045,0.0694,1.9733,0.0,0.2619,0.0529,0.0715,0.0196,0.0384,0.0284,0.0189,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3066,0.0,0.9691,1.7949
801222,2019-09-30 00:00:00,CNSESZ,0.1583,0.1097,3.093,0.0,0.2603,0.0512,0.07,0.0295,0.0578,0.0422,0.0293,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0309,0.0,1.0055,1.8369
801222,2017-12-31 00:00:00,CNSESZ,0.3089,0.2284,3.9821,0.0035,0.2847,0.0775,0.0954,0.053,0.0991,0.0805,0.0595,0.004,0.996,None,None,None,None,None,None,None,None,None,0.2525,0.0,0.9628,2.0728
801222,2018-06-30 00:00:00,CNSESZ,0.1079,0.0795,1.8794,0.0,0.2671,0.0574,0.0762,0.0203,0.0385,0.029,0.0214,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0393,0.0,0.936,1.969
801222,2020-03-31 00:00:00,CNSESH,-0.0107,-0.015,0.6518,0.0,0.3251,-0.0165,0.0151,-0.0019,0.0025,-0.0027,-0.0038,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5922,1.1785
801222,2019-12-31 00:00:00,CNSESZ,0.0796,0.0154,4.5206,0.0092,0.269,0.0176,0.035,0.0172,0.0424,0.0213,0.0041,0.0041,0.9959,None,None,None,None,None,None,None,None,None,0.4764,0.0,0.9034,1.854
801222,2020-06-30 00:00:00,CNSESZ,0.0655,0.0442,1.9291,0.0,0.2478,0.0339,0.0526,0.0126,0.0272,0.0176,0.0118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1629,0.0,0.8548,1.8321
801222,2020-09-30 00:00:00,CNSESZ,0.1293,0.0903,3.0384,0.0,0.2525,0.0425,0.0607,0.0233,0.0491,0.0344,0.024,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8967,1.8888
801222,2020-12-31 00:00:00,CNSESZ,0.0861,0.0022,4.6697,0.0064,0.2572,0.0184,0.0341,0.0161,0.0426,0.023,0.0005,0.013,0.987,None,None,None,None,None,None,None,None,None,0.026,0.0,0.8203,1.9391
801222,2021-03-31 00:00:00,CNSESZ,0.0216,0.0119,1.002,0.0,0.2353,0.0216,0.0318,0.0039,0.0085,0.0058,0.0032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8281,1.982
801222,2021-06-30 00:00:00,CNSESH,0.118,0.0779,1.7436,0.0,0.3541,0.0677,0.0833,0.0161,0.0368,0.0299,0.0197,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0606,0.0,1.6464,1.3781
801222,2021-09-30 00:00:00,CNSESH,0.1626,0.1144,2.6589,0.0,0.3492,0.0611,0.0782,0.0219,0.0528,0.0413,0.029,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6366,1.3931
801222,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
