指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801300,2018-09-30 00:00:00,CNSESZ,0.5548,0.4845,5.4742,0.0,0.2653,0.1013,0.147,0.0246,0.1517,0.1045,0.0912,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2335,0.0,2.5278,1.5587
801300,2017-09-30 00:00:00,CNSESH,0.6467,0.6341,5.2809,0.0,0.2105,0.1224,0.1683,0.0108,0.1391,0.1012,0.0992,0.0,1.0,None,None,None,None,None,None,None,None,None,1.8547,0.0,2.9816,1.1168
801300,2018-03-31 00:00:00,CNSESZ,0.1876,0.1587,1.693,0.0,0.2719,0.1108,0.1547,0.0086,0.0494,0.0354,0.0299,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3156,0.0,2.4731,1.59
801300,2017-03-31 00:00:00,CNSESZ,0.1649,0.145,1.5049,0.0,0.2699,0.1095,0.1425,0.0079,0.044,0.0338,0.0297,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1955,0.0,2.1871,1.4928
801300,2018-12-31 00:00:00,CNSESZ,0.767,0.6515,7.7093,0.0145,0.2659,0.0994,0.1457,0.0325,0.2014,0.1375,0.1168,0.0083,0.9917,None,None,None,None,None,None,None,None,None,0.3812,0.0,2.6367,1.5646
801300,2019-03-31 00:00:00,CNSESZ,0.1919,0.1714,2.2757,0.0,0.2451,0.0843,0.1272,0.0078,0.0486,0.0322,0.0288,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3249,0.0,2.9494,1.6958
801300,2019-06-30 00:00:00,CNSESZ,0.4254,1.0111,4.6599,0.0,0.2487,0.0912,0.1327,0.0166,0.1063,0.0731,0.1738,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4898,0.0,2.8465,1.7526
801300,2019-09-30 00:00:00,CNSESZ,0.6707,0.5954,7.1374,0.0,0.248,0.0939,0.1332,0.0256,0.1584,0.1117,0.0991,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2797,0.0,2.9778,1.7606
801300,2017-12-31 00:00:00,CNSESZ,0.7576,0.6268,6.8595,0.0211,0.2643,0.1104,0.1545,0.0351,0.2074,0.1482,0.1226,0.0025,0.9975,None,None,None,None,None,None,None,None,None,0.5507,0.0,2.2719,1.5156
801300,2017-06-30 00:00:00,CNSESH,0.4189,0.3974,3.3937,0.0,0.2091,0.1234,0.1695,0.0072,0.0958,0.0697,0.0661,0.0,1.0,None,None,None,None,None,None,None,None,None,1.832,0.0,2.695,1.0775
801300,2018-06-30 00:00:00,CNSESZ,0.3563,0.3087,3.5186,0.0,0.2631,0.1012,0.1478,0.0159,0.1003,0.0687,0.0595,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4147,0.0,2.3612,1.5304
801300,2019-12-31 00:00:00,CNSESZ,0.7816,0.7363,9.6849,0.1451,0.2454,0.0807,0.1182,0.0294,0.1841,0.1256,0.1183,0.0463,0.9537,None,None,None,None,None,None,None,None,None,0.5422,0.0,2.9709,1.8341
801300,2020-03-31 00:00:00,CNSESH,0.189,0.1681,1.8766,0.0,0.1873,0.1007,0.1396,0.003,0.0353,0.0254,0.0226,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1482,0.0,3.6754,1.1484
801300,2020-06-30 00:00:00,CNSESZ,0.4789,0.4251,4.649,0.0,0.2393,0.103,0.1397,0.0171,0.1009,0.0743,0.066,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5184,0.0,2.9919,1.884
801300,2020-09-30 00:00:00,CNSESZ,0.7826,0.6636,7.3627,0.0,0.2463,0.1063,0.1435,0.0279,0.16,0.1185,0.1004,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1798,0.0,3.2974,2.1092
801300,2020-12-31 00:00:00,CNSESZ,1.0792,0.9189,10.4577,0.2264,0.241,0.1032,0.1392,0.0366,0.2097,0.1554,0.1323,0.0249,0.9751,None,None,None,None,None,None,None,None,None,0.4186,0.0,3.4088,2.2263
801300,2021-06-30 00:00:00,CNSESZ,0.6085,0.5373,5.8918,0.0,0.241,0.1032,0.1395,0.0191,0.112,0.0829,0.0732,0.0,1.0,None,None,None,None,None,None,None,None,None,0.445,0.0,3.7945,2.2779
801300,2021-03-31 00:00:00,CNSESZ,0.2949,0.2774,2.842,0.0,0.2414,0.1037,0.1391,0.0095,0.0543,0.0404,0.038,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3017,0.0,3.6791,2.3612
801300,2021-09-30 00:00:00,CNSESZ,0.8715,0.8143,8.989,0.0,0.2353,0.0969,0.1319,0.0269,0.1558,0.1144,0.1069,0.0,1.0,None,None,None,None,None,None,None,None,None,0.25,0.0,3.985,2.3011
801300,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
