指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801321,2018-09-30 00:00:00,CNSESZ,0.3547,0.3729,5.9346,0.0,0.2511,0.0597,0.1313,0.0325,0.1345,0.0612,0.0643,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4133,0.7711
801321,2017-09-30 00:00:00,CNSESH,0.2917,0.3101,7.8581,0.0,0.1479,0.0371,0.0803,0.0265,0.0883,0.0408,0.0433,0.0,1.0,None,None,None,None,None,None,None,None,None,3.6725,0.0,4.2126,0.9835
801321,2018-03-31 00:00:00,CNSESZ,0.1197,0.1243,1.8932,0.0,0.2568,0.0632,0.1325,0.0111,0.0451,0.0215,0.0223,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2501,0.7612
801321,2017-03-31 00:00:00,CNSESZ,0.1121,0.1168,1.7938,0.0,0.2793,0.0625,0.1376,0.0121,0.0466,0.0212,0.022,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9452,0.7612
801321,2018-12-31 00:00:00,CNSESZ,0.4,0.4022,8.0376,0.0,0.2603,0.0497,0.1207,0.0388,0.1687,0.0695,0.0699,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4244,0.7976
801321,2019-03-31 00:00:00,CNSESZ,0.1239,0.1156,2.1177,0.0,0.2243,0.0585,0.1228,0.0108,0.0438,0.0208,0.0194,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5483,0.7976
801321,2019-06-30 00:00:00,CNSESZ,0.2581,0.2537,4.2392,0.0,0.2468,0.0609,0.1286,0.0223,0.0913,0.0432,0.0424,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4871,0.7976
801321,2019-09-30 00:00:00,CNSESZ,0.3796,0.378,6.2258,0.0,0.2482,0.0609,0.1255,0.0332,0.1275,0.0619,0.0616,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6086,0.8237
801321,2017-12-31 00:00:00,CNSESZ,0.3939,0.3999,7.3356,0.0,0.2598,0.0537,0.1236,0.0416,0.1679,0.0729,0.074,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1303,0.7612
801321,2017-06-30 00:00:00,CNSESH,0.2019,0.2116,5.2437,0.0,0.146,0.0385,0.0803,0.0182,0.0593,0.0284,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,3.52,0.0,4.1816,0.9815
801321,2018-06-30 00:00:00,CNSESZ,0.2573,0.2708,3.8954,0.0,0.2558,0.066,0.1377,0.0233,0.0949,0.0455,0.0479,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.316,0.7612
801321,2020-03-31 00:00:00,CNSESH,-0.0156,-0.0568,2.7052,0.0,0.1086,-0.0057,0.0315,0.0013,0.0111,-0.002,-0.0074,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.7174,0.9773
801321,2019-12-31 00:00:00,CNSESZ,0.3906,0.393,8.182,0.0528,0.2487,0.0477,0.1186,0.0358,0.161,0.0648,0.0652,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5772,0.8202
801321,2020-06-30 00:00:00,CNSESZ,0.2224,0.2194,3.2192,0.0,0.2421,0.069,0.1344,0.0212,0.0794,0.0408,0.0402,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1449,0.7186
801321,2020-09-30 00:00:00,CNSESZ,0.3173,0.3247,4.9409,0.0,0.2516,0.0642,0.1276,0.0315,0.1135,0.0571,0.0584,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1834,0.7092
801321,2020-12-31 00:00:00,CNSESZ,0.3593,0.3233,7.1295,0.2389,0.2156,0.0504,0.1178,0.0367,0.1618,0.0692,0.0623,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0525,0.5953
801321,2021-03-31 00:00:00,CNSESZ,0.1403,0.1376,1.9966,0.0,0.2211,0.0702,0.148,0.0125,0.0552,0.0262,0.0257,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1928,0.5953
801321,2021-09-30 00:00:00,CNSESZ,0.5951,0.557,6.7721,0.0,0.2278,0.0878,0.1619,0.0493,0.198,0.1074,0.1005,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4087,0.5953
801321,2021-06-30 00:00:00,CNSESZ,0.3412,0.318,4.2194,0.0,0.2223,0.0808,0.1545,0.0289,0.1207,0.0631,0.0589,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2085,0.5953
801321,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
