指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801323,2018-09-30 00:00:00,CNSESZ,0.3403,0.3278,7.9239,0.0,0.1435,0.0429,0.1048,0.0373,0.1942,0.0795,0.0766,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1301,1.7619
801323,2017-09-30 00:00:00,CNSESZ,0.1999,0.1987,7.4695,0.0,0.116,0.0267,0.0714,0.0281,0.1426,0.0534,0.053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8883,1.7619
801323,2018-03-31 00:00:00,CNSESZ,0.0489,0.0473,2.2151,0.0,0.1217,0.022,0.0822,0.0086,0.0475,0.0127,0.0123,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9268,1.7619
801323,2017-12-31 00:00:00,CNSESZ,0.1966,0.1959,9.4654,0.0,0.1245,0.0207,0.0714,0.0315,0.1793,0.0521,0.0519,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8778,1.7619
801323,2017-03-31 00:00:00,CNSESZ,0.0589,0.0585,2.4349,0.0,0.1004,0.0242,0.0663,0.0091,0.0438,0.016,0.0159,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8136,1.7619
801323,2017-06-30 00:00:00,CNSESH,0.0998,0.0973,2.8227,0.0,0.098,0.0353,0.0631,0.0203,0.0666,0.0373,0.0364,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.786,0.7326
801323,2018-06-30 00:00:00,CNSESZ,0.1925,0.1821,4.9442,0.0,0.1476,0.0389,0.1014,0.0229,0.1263,0.0485,0.0459,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9875,1.7619
801323,2018-12-31 00:00:00,CNSESZ,0.3745,0.3589,10.5782,0.0051,0.1455,0.0354,0.0938,0.0438,0.2314,0.0872,0.0836,0.0341,0.9659,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1276,1.7619
801323,2019-03-31 00:00:00,CNSESZ,0.0366,0.0348,2.5138,0.0,0.1119,0.0145,0.0628,0.0075,0.0364,0.0084,0.008,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1643,1.7619
801323,2019-06-30 00:00:00,CNSESZ,0.1133,0.1069,5.351,0.0,0.1081,0.0211,0.0686,0.0166,0.0828,0.0255,0.024,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1368,1.7619
801323,2019-09-30 00:00:00,CNSESZ,0.1679,0.1588,8.1262,0.0,0.1009,0.0206,0.0641,0.0241,0.1104,0.0355,0.0336,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1891,1.7619
801323,2019-12-31 00:00:00,CNSESZ,0.2407,0.2279,10.5236,0.0,0.1223,0.0228,0.0683,0.0338,0.1507,0.0504,0.0477,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.249,1.7619
801323,2020-03-31 00:00:00,CNSESH,0.0178,0.0199,1.0785,0.0,0.102,0.0165,0.0469,0.0046,0.0148,0.0052,0.0058,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1565,0.7539
801323,2020-06-30 00:00:00,CNSESZ,0.0736,0.0666,4.4376,0.0,0.1192,0.0166,0.0733,0.0154,0.0682,0.0154,0.0139,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2878,1.7619
801323,2020-09-30 00:00:00,CNSESZ,0.1242,0.1136,7.1033,0.0,0.115,0.0174,0.0743,0.0232,0.1101,0.0259,0.0236,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3288,1.7609
801323,2020-12-31 00:00:00,CNSESZ,0.183,0.1683,9.5189,0.0827,0.1189,0.0192,0.0746,0.0309,0.1461,0.0376,0.0346,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3704,1.7625
801323,2021-03-31 00:00:00,CNSESZ,0.055,0.0519,2.8949,0.0,0.1148,0.019,0.0733,0.009,0.0433,0.0112,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4166,1.7645
801323,2021-06-30 00:00:00,CNSESZ,0.1611,0.1545,6.5739,0.0,0.1119,0.0245,0.0783,0.0214,0.1075,0.0336,0.0322,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4196,1.7645
801323,2021-09-30 00:00:00,CNSESZ,0.2491,0.2392,10.5892,0.0,0.1054,0.0235,0.0753,0.0327,0.1721,0.0537,0.0516,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5053,1.7645
801323,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
