指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801343,2018-09-30 00:00:00,CNSESZ,0.8418,0.6853,6.8598,0.0,0.2866,0.1227,0.2643,0.0201,0.2448,0.1136,0.0925,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.8324,0.9104
801343,2017-12-31 00:00:00,CNSESH,0.8842,0.7881,6.3673,0.0,0.239,0.1388,0.2381,0.0337,0.24,0.1399,0.1247,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2487,0.0,4.0086,1.0309
801343,2018-03-31 00:00:00,CNSESZ,0.2444,0.2213,1.6857,0.0,0.2821,0.1449,0.2488,0.0061,0.0537,0.0313,0.0283,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.9203,1.2079
801343,2017-03-31 00:00:00,CNSESZ,0.135,0.1332,1.2645,0.0,0.2293,0.1067,0.1958,0.0046,0.0371,0.0202,0.0199,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8542,1.2143
801343,2017-09-30 00:00:00,CNSESH,0.4181,0.3886,3.397,0.0,0.2615,0.1231,0.226,0.0178,0.1309,0.0713,0.0662,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6031,1.0123
801343,2017-06-30 00:00:00,CNSESH,0.3073,0.2788,2.5557,0.0,0.2494,0.1202,0.2224,0.0126,0.0934,0.0504,0.0458,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1675,0.0,3.7744,0.9265
801343,2018-06-30 00:00:00,CNSESZ,0.6061,0.4624,4.1044,0.0,0.286,0.1476,0.298,0.0149,0.1692,0.0838,0.0639,0.0,1.0,None,None,None,None,None,None,None,None,None,2.0366,0.0,4.6521,0.9052
801343,2018-12-31 00:00:00,CNSESH,0.9987,0.9298,8.3993,0.0,0.2643,0.1189,0.2286,0.0291,0.27,0.1404,0.1307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2725,0.0,4.6523,1.024
801343,2019-03-31 00:00:00,CNSESH,0.1829,0.1265,1.21,0.0,0.3249,0.1511,0.2909,0.0057,0.0485,0.0252,0.0174,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.9542,1.0254
801343,2019-06-30 00:00:00,CNSESZ,0.5624,0.5482,5.1992,0.0,0.2796,0.1081,0.2414,0.0112,0.1504,0.0674,0.0657,0.0,1.0,None,None,None,None,None,None,None,None,None,2.375,0.0,5.2982,1.021
801343,2019-09-30 00:00:00,CNSESZ,0.8378,0.8019,8.3537,0.0,0.2716,0.1002,0.2271,0.0163,0.222,0.098,0.0938,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.5562,1.0265
801343,2019-12-31 00:00:00,CNSESZ,1.8449,1.6552,15.4521,0.387,0.2649,0.1193,0.2359,0.0299,0.3836,0.1941,0.1741,0.0,1.0,None,None,None,None,None,None,None,None,None,2.7733,0.0,5.9528,1.024
801343,2020-06-30 00:00:00,CNSESH,0.4629,0.4331,3.0385,0.0,0.3042,0.1523,0.3002,0.012,0.1132,0.0574,0.0537,0.0,1.0,None,None,None,None,None,None,None,None,None,0.305,0.0,5.4945,1.0745
801343,2020-03-31 00:00:00,CNSESH,0.1416,0.1227,1.0972,0.0,0.331,0.1291,0.3214,0.0043,0.0432,0.0173,0.015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.6856,1.1023
801343,2020-12-31 00:00:00,CNSESZ,1.8432,1.5654,17.6729,0.501,0.2295,0.1042,0.2041,0.0248,0.3285,0.1678,0.1425,0.0,1.0,None,None,None,None,None,None,None,None,None,3.22,0.0,6.5425,1.1778
801343,2020-09-30 00:00:00,CNSESH,0.6507,0.5967,5.0351,0.0,0.2908,0.1292,0.2757,0.0165,0.1689,0.0791,0.0726,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.6727,1.0702
801343,2021-06-30 00:00:00,CNSESZ,0.4637,0.3948,6.8261,0.0,0.1846,0.0679,0.1522,0.0067,0.0945,0.0421,0.0359,None,None,None,None,None,None,None,None,None,None,None,3.1833,0.0,6.3638,1.1762
801343,2021-03-31 00:00:00,CNSESH,0.1398,0.148,1.1903,0.0,0.3234,0.1174,0.2528,0.0035,0.033,0.0153,0.0162,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.3509,1.032
801343,2021-09-30 00:00:00,CNSESZ,0.7088,0.6208,11.5299,0.0,0.1736,0.0614,0.1392,0.0102,0.1415,0.0624,0.0547,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.6007,1.1809
801343,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
