指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801724,2018-09-30 00:00:00,CNSESZ,0.2802,0.2532,3.9393,0.0,0.1629,0.0711,0.0815,0.0295,0.0792,0.0691,0.0624,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6285,1.4498
801724,2017-09-30 00:00:00,CNSESH,0.1939,0.1741,6.7126,0.0,0.1243,0.0288,0.0545,0.0183,0.1004,0.0532,0.0477,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.399,0.94
801724,2018-03-31 00:00:00,CNSESZ,0.071,0.0647,1.1097,0.0,0.1923,0.0639,0.1231,0.0129,0.0341,0.0177,0.0161,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.561,1.5458
801724,2017-06-30 00:00:00,CNSESH,0.1356,0.1235,4.4434,0.0,0.1244,0.0305,0.0557,0.0125,0.0698,0.0382,0.0348,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3431,0.9396
801724,2017-03-31 00:00:00,CNSESZ,0.0665,0.0597,1.1082,0.0,0.156,0.06,0.0831,0.0088,0.0246,0.0177,0.0159,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4355,1.6726
801724,2018-12-31 00:00:00,CNSESZ,0.4924,0.2699,5.844,0.0,0.1568,0.0842,0.1081,0.0534,0.1515,0.118,0.0647,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8003,1.3933
801724,2019-03-31 00:00:00,CNSESZ,0.0742,0.0647,1.3527,0.0,0.15,0.0548,0.0882,0.0104,0.0272,0.0169,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7156,1.578
801724,2019-06-30 00:00:00,CNSESZ,0.2297,0.1868,3.2248,0.0,0.1582,0.0712,0.092,0.0246,0.0679,0.0526,0.0427,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3194,0.0,1.7605,1.5813
801724,2019-09-30 00:00:00,CNSESZ,0.3166,0.2656,4.935,0.0,0.1513,0.0641,0.0792,0.0316,0.0878,0.071,0.0596,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8363,1.5826
801724,2017-12-31 00:00:00,CNSESZ,0.4155,0.3145,5.4045,0.019,0.1752,0.0768,0.105,0.0516,0.1449,0.106,0.0802,0.0079,0.9921,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4895,1.5443
801724,2018-06-30 00:00:00,CNSESZ,0.1907,0.1747,2.4267,0.0,0.1769,0.0785,0.1005,0.0226,0.0625,0.0488,0.0447,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5388,1.4542
801724,2020-03-31 00:00:00,CNSESH,0.0784,0.0687,2.6782,0.0,0.1138,0.0292,0.0494,0.0048,0.0297,0.0176,0.0154,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8466,0.9357
801724,2019-12-31 00:00:00,CNSESZ,0.393,0.3263,7.2869,0.0197,0.1533,0.0539,0.0703,0.0403,0.1126,0.0862,0.0716,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5672,0.0,1.9154,1.5834
801724,2020-06-30 00:00:00,CNSESZ,0.1383,0.1208,2.948,0.0,0.1425,0.0469,0.0647,0.0135,0.0404,0.0293,0.0255,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9933,1.592
801724,2020-09-30 00:00:00,CNSESZ,0.2405,0.2157,4.9451,0.0,0.1444,0.0486,0.0717,0.0253,0.0737,0.05,0.0448,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0735,1.6447
801724,2020-12-31 00:00:00,CNSESZ,0.3506,0.2349,7.556,0.0212,0.1342,0.0464,0.0686,0.0383,0.1054,0.0712,0.0477,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0933,1.7087
801724,2021-06-30 00:00:00,CNSESZ,0.2187,0.1642,3.7009,0.0,0.1331,0.0591,0.083,0.021,0.0623,0.0443,0.0332,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2114,1.6854
801724,2021-03-31 00:00:00,CNSESZ,0.0806,0.0679,1.5732,0.0,0.1339,0.0512,0.0679,0.0073,0.0215,0.0162,0.0137,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1728,1.7137
801724,2021-09-30 00:00:00,CNSESZ,0.336,0.2661,5.8253,0.0,0.1332,0.0576,0.0804,0.0311,0.0933,0.0669,0.053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2857,1.7322
801724,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
