指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801811,2018-09-30 00:00:00,CNSESZ,0.6829,0.6381,6.8408,0.0,0.2623,0.0998,0.147,0.0209,0.1617,0.1097,0.1025,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4413,0.0,3.0832,1.8019
801811,2017-09-30 00:00:00,CNSESH,0.6225,0.6093,5.2246,0.0,0.2084,0.1191,0.1675,0.0109,0.1401,0.0996,0.0975,0.0,1.0,None,None,None,None,None,None,None,None,None,2.2814,0.0,2.8829,1.116
801811,2018-03-31 00:00:00,CNSESZ,0.226,0.2069,2.0948,0.0,0.2722,0.1078,0.1525,0.0072,0.051,0.036,0.033,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6235,0.0,3.0203,1.824
801811,2017-03-31 00:00:00,CNSESZ,0.2014,0.1874,1.9215,0.0,0.2676,0.1048,0.1385,0.0069,0.0474,0.0359,0.0334,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4765,0.0,2.6692,1.7543
801811,2018-12-31 00:00:00,CNSESZ,0.9898,0.8983,9.8601,0.0176,0.2631,0.1003,0.1492,0.0291,0.2213,0.1488,0.1351,0.0111,0.9889,None,None,None,None,None,None,None,None,None,0.6482,0.0,3.2792,1.8161
801811,2019-03-31 00:00:00,CNSESZ,0.2101,0.1844,2.1169,0.0,0.2642,0.0992,0.1542,0.0069,0.0529,0.0341,0.0299,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5716,0.0,3.1415,1.5719
801811,2019-06-30 00:00:00,CNSESZ,0.4604,1.1243,4.4086,0.0,0.2645,0.1044,0.1564,0.0145,0.114,0.0761,0.1859,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8223,0.0,3.0497,1.6439
801811,2019-09-30 00:00:00,CNSESZ,0.7212,0.6511,6.8066,0.0,0.261,0.1059,0.1557,0.0226,0.1711,0.1164,0.1051,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4224,0.0,3.1525,1.6896
801811,2017-12-31 00:00:00,CNSESZ,0.9708,0.8747,8.8838,0.0269,0.2619,0.1092,0.1552,0.031,0.2255,0.1587,0.143,0.0017,0.9983,None,None,None,None,None,None,None,None,None,1.0035,0.0,2.8221,1.7632
801811,2017-06-30 00:00:00,CNSESH,0.4093,0.3967,3.4363,0.0,0.2067,0.1191,0.1679,0.0074,0.096,0.0681,0.066,0.0,1.0,None,None,None,None,None,None,None,None,None,2.2062,0.0,2.6627,1.0878
801811,2018-06-30 00:00:00,CNSESZ,0.4456,0.4117,4.453,0.0,0.2618,0.1,0.1488,0.0138,0.1072,0.0721,0.0666,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5663,0.0,2.911,1.786
801811,2020-03-31 00:00:00,CNSESH,0.1826,0.1633,1.8535,0.0,0.1822,0.0985,0.137,0.0028,0.0338,0.0243,0.0217,0.0,1.0,None,None,None,None,None,None,None,None,None,2.3487,0.0,3.6071,1.2508
801811,2019-12-31 00:00:00,CNSESZ,0.8596,0.8328,9.5054,0.1664,0.2583,0.0904,0.1392,0.0264,0.2038,0.1324,0.1282,0.0283,0.9717,None,None,None,None,None,None,None,None,None,1.1469,0.0,3.1815,1.7804
801811,2020-06-30 00:00:00,CNSESZ,0.5053,0.4541,4.4754,0.0,0.2506,0.1129,0.1626,0.0151,0.1098,0.0762,0.0685,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9497,0.0,3.1483,1.7817
801811,2020-09-30 00:00:00,CNSESZ,0.8213,0.6882,7.1145,0.0,0.2557,0.1154,0.1649,0.0242,0.1701,0.119,0.0997,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3163,0.0,3.4751,2.0834
801811,2020-12-31 00:00:00,CNSESZ,1.144,0.9768,10.2199,0.2367,0.2492,0.1119,0.1602,0.0318,0.2246,0.1569,0.1339,0.0226,0.9774,None,None,None,None,None,None,None,None,None,0.7365,0.0,3.6013,2.1911
801811,2021-06-30 00:00:00,CNSESZ,0.5808,0.5119,5.815,0.0,0.2395,0.0998,0.1447,0.0152,0.1099,0.0758,0.0668,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7721,0.0,3.9714,2.1889
801811,2021-03-31 00:00:00,CNSESZ,0.2853,0.2678,2.6919,0.0,0.2492,0.1059,0.151,0.0076,0.0534,0.0375,0.0351,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5604,0.0,3.8593,2.3114
801811,2021-09-30 00:00:00,CNSESH,0.7886,0.7722,6.5813,0.0,0.1991,0.1198,0.1623,0.0098,0.1214,0.0896,0.0877,0.0,1.0,None,None,None,None,None,None,None,None,None,1.8374,0.0,4.3111,1.3013
801811,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
