指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801812,2018-09-30 00:00:00,CNSESZ,0.4256,0.3492,4.8162,0.0,0.2161,0.0883,0.1376,0.0348,0.1482,0.0952,0.0781,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0728,0.0,1.7185,1.7621
801812,2018-03-31 00:00:00,CNSESZ,0.1375,0.1107,1.498,0.0,0.2142,0.0918,0.1391,0.0114,0.0463,0.0305,0.0245,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0227,0.0,1.6781,1.8722
801812,2017-06-30 00:00:00,CNSESH,0.1862,0.149,3.2148,0.0,0.1565,0.0579,0.0935,0.0184,0.0803,0.0497,0.0398,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2722,0.0,1.3421,1.3115
801812,2018-06-30 00:00:00,CNSESZ,0.2804,0.2273,3.056,0.0,0.2155,0.0917,0.1425,0.0216,0.0984,0.0633,0.0513,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1883,0.0,1.6192,1.7785
801812,2017-03-31 00:00:00,CNSESZ,0.1007,0.0879,1.3856,0.0,0.1916,0.0726,0.1075,0.0103,0.0365,0.0246,0.0215,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3999,1.7556
801812,2018-12-31 00:00:00,CNSESZ,0.5042,0.4087,6.5661,0.0091,0.2137,0.0767,0.1232,0.038,0.1721,0.1072,0.0869,0.0118,0.9882,None,None,None,None,None,None,None,None,None,0.3158,0.0,1.7392,1.8369
801812,2019-03-31 00:00:00,CNSESZ,0.1126,0.0919,1.6794,0.0,0.2058,0.067,0.1067,0.0121,0.0377,0.0237,0.0193,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7469,1.9942
801812,2019-06-30 00:00:00,CNSESZ,0.2498,0.2024,3.4755,0.0,0.2109,0.0719,0.1139,0.0258,0.0845,0.0533,0.0432,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1153,0.0,1.6966,1.9537
801812,2019-09-30 00:00:00,CNSESZ,0.4081,0.3148,5.2723,0.0,0.2114,0.0774,0.1202,0.0408,0.1336,0.086,0.0663,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0386,0.0,1.8159,1.9171
801812,2017-12-31 00:00:00,CNSESZ,0.5015,0.3957,5.9317,0.0211,0.2096,0.0845,0.1286,0.0402,0.1746,0.1147,0.0905,0.0128,0.9872,None,None,None,None,None,None,None,None,None,0.4347,0.0,1.5275,1.7611
801812,2017-09-30 00:00:00,CNSESH,0.303,0.2535,5.0845,0.0,0.1598,0.0596,0.0972,0.0288,0.1263,0.0774,0.0648,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2945,0.0,1.4534,1.3489
801812,2020-03-31 00:00:00,CNSESH,0.1577,0.1417,1.554,0.0,0.2068,0.1014,0.154,0.0042,0.0405,0.0267,0.024,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3515,0.0,2.7284,1.2307
801812,2019-12-31 00:00:00,CNSESZ,0.475,0.3314,6.9391,0.0484,0.2163,0.0684,0.1096,0.0481,0.1602,0.1,0.0698,0.0399,0.9601,None,None,None,None,None,None,None,None,None,0.1794,0.0,1.7938,1.9005
801812,2020-06-30 00:00:00,CNSESZ,0.2487,0.1993,3.2822,0.0,0.209,0.0757,0.1104,0.0242,0.0766,0.0525,0.0421,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0462,0.0,1.8344,1.9063
801812,2020-09-30 00:00:00,CNSESZ,0.4256,0.3659,5.1746,0.0,0.2183,0.0822,0.119,0.0402,0.1267,0.0875,0.0752,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9815,1.9649
801812,2020-12-31 00:00:00,CNSESZ,0.5375,0.4116,7.2694,0.0887,0.2104,0.0739,0.1096,0.0499,0.1588,0.107,0.0819,0.0272,0.9728,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0167,2.0694
801812,2021-03-31 00:00:00,CNSESZ,0.1703,0.1526,1.994,0.0,0.2119,0.0854,0.123,0.0146,0.0475,0.0329,0.0295,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1556,2.1173
801812,2021-09-30 00:00:00,CNSESZ,0.5448,0.4937,6.019,0.0,0.21,0.0905,0.1299,0.0335,0.1446,0.1007,0.0912,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0546,0.0,2.3276,2.0643
801812,2021-06-30 00:00:00,CNSESZ,0.3788,0.3353,3.9891,0.0,0.2143,0.0949,0.1359,0.0236,0.1038,0.0725,0.0642,0.0,1.0,None,None,None,None,None,None,None,None,None,0.088,0.0,2.1798,2.0412
801812,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
