指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801813,2018-09-30 00:00:00,CNSESZ,0.289,0.243,4.0728,0.0,0.2102,0.0709,0.1066,0.0394,0.1115,0.0742,0.0624,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0319,0.0,1.3807,1.5412
801813,2017-09-30 00:00:00,CNSESH,0.2702,0.2178,5.9618,0.0,0.1492,0.0453,0.0741,0.0304,0.1154,0.0705,0.0568,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0631,0.0,1.2907,1.4288
801813,2017-03-31 00:00:00,CNSESZ,0.0751,0.0682,1.1567,0.0,0.2086,0.065,0.0963,0.0118,0.0315,0.0212,0.0192,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0367,0.0,1.1627,1.6271
801813,2018-03-31 00:00:00,CNSESZ,0.0905,0.0763,1.2944,0.0,0.2122,0.0699,0.109,0.0132,0.0362,0.0232,0.0196,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0102,0.0,1.3411,1.6335
801813,2017-06-30 00:00:00,CNSESH,0.1787,0.1408,3.9392,0.0,0.1488,0.0453,0.0735,0.0203,0.0768,0.0473,0.0373,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1751,0.0,1.2409,1.448
801813,2018-12-31 00:00:00,CNSESZ,0.2682,0.1857,5.6161,0.0027,0.2106,0.0477,0.0822,0.0388,0.1164,0.0676,0.0468,0.0084,0.9916,None,None,None,None,None,None,None,None,None,0.1049,0.0,1.3336,1.549
801813,2019-03-31 00:00:00,CNSESZ,0.0965,0.0762,1.371,0.0,0.1985,0.0704,0.1171,0.009,0.0381,0.0229,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1053,0.0,1.5062,1.5855
801813,2019-06-30 00:00:00,CNSESZ,0.2052,0.1712,2.9347,0.0,0.2018,0.0699,0.1164,0.0185,0.0817,0.049,0.0409,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2172,0.0,1.4841,1.5473
801813,2019-09-30 00:00:00,CNSESZ,0.3122,0.2549,4.5642,0.0,0.1884,0.0684,0.1129,0.028,0.1225,0.0742,0.0605,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0822,0.0,1.5594,1.5379
801813,2017-12-31 00:00:00,CNSESZ,0.3717,0.295,5.252,0.0187,0.2105,0.0707,0.1066,0.0533,0.1488,0.0987,0.0783,0.0119,0.9881,None,None,None,None,None,None,None,None,None,0.1318,0.0,1.2616,1.5971
801813,2018-06-30 00:00:00,CNSESZ,0.1991,0.1652,2.6634,0.0,0.2122,0.0747,0.1121,0.0278,0.0788,0.0525,0.0435,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0831,0.0,1.3122,1.5508
801813,2019-12-31 00:00:00,CNSESZ,0.3238,0.2151,6.2759,0.0497,0.1994,0.0516,0.0939,0.0303,0.1392,0.0764,0.0508,0.0151,0.9849,None,None,None,None,None,None,None,None,None,0.4139,0.0,1.5236,1.5355
801813,2020-03-31 00:00:00,CNSESH,0.0652,0.0495,1.5603,0.0,0.1543,0.0418,0.0782,0.006,0.0274,0.0146,0.0111,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1271,0.0,1.6449,1.4575
801813,2020-06-30 00:00:00,CNSESZ,0.1751,0.1468,2.8352,0.0,0.1937,0.0617,0.1041,0.0151,0.0687,0.0408,0.0342,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2895,0.0,1.5619,1.539
801813,2020-09-30 00:00:00,CNSESZ,0.3011,0.2484,4.5508,0.0,0.1933,0.0661,0.1083,0.0245,0.1112,0.0679,0.056,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0724,0.0,1.665,1.5627
801813,2020-12-31 00:00:00,CNSESZ,0.3593,0.2507,6.6202,0.0565,0.1861,0.0542,0.094,0.0301,0.1398,0.0807,0.0563,0.0127,0.9873,None,None,None,None,None,None,None,None,None,0.2482,0.0,1.6648,1.6
801813,2021-06-30 00:00:00,CNSESH,0.2253,0.194,4.8735,0.0,0.1377,0.0462,0.08,0.0178,0.0862,0.0498,0.0428,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1431,0.0,1.6885,1.5235
801813,2021-03-31 00:00:00,CNSESZ,0.1105,0.0942,1.6994,0.0,0.184,0.065,0.1034,0.0085,0.039,0.0245,0.0209,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1499,0.0,1.7623,1.633
801813,2021-09-30 00:00:00,CNSESZ,0.3232,0.2684,5.6619,0.0,0.1777,0.057,0.0949,0.0315,0.1204,0.0724,0.0601,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0118,0.0,1.7355,1.6881
801813,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
