指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801821,2018-09-30 00:00:00,CNSESZ,0.1666,0.1111,3.0794,0.0,0.2128,0.0541,0.0781,0.0313,0.0733,0.0507,0.0338,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0171,0.0,0.9961,1.316
801821,2017-09-30 00:00:00,CNSESH,0.1222,0.0907,2.9908,0.0,0.1874,0.0408,0.0723,0.0237,0.0725,0.0409,0.0304,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0361,0.0,0.6569,1.5663
801821,2017-03-31 00:00:00,CNSESZ,0.0569,0.0481,0.9642,0.0,0.2122,0.0591,0.0677,0.0106,0.0199,0.0173,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1312,0.0,1.0436,1.521
801821,2018-03-31 00:00:00,CNSESZ,0.0738,0.0387,0.9906,0.0,0.209,0.0745,0.1026,0.0135,0.0298,0.0216,0.0113,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0216,0.0,1.0497,1.4027
801821,2018-12-31 00:00:00,CNSESZ,0.1331,0.0218,4.3571,0.0007,0.215,0.0305,0.0551,0.0282,0.072,0.0399,0.0065,0.0052,0.9948,None,None,None,None,None,None,None,None,None,0.097,0.0,0.9387,1.327
801821,2019-03-31 00:00:00,CNSESZ,0.0463,0.0266,0.9437,0.0,0.2281,0.0491,0.0842,0.0096,0.0233,0.0136,0.0078,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0294,0.0,0.8115,1.4593
801821,2019-06-30 00:00:00,CNSESZ,0.1096,0.0763,2.0471,0.0,0.225,0.0535,0.078,0.0195,0.0481,0.033,0.0229,0.0,1.0,None,None,None,None,None,None,None,None,None,0.329,0.0,0.8157,1.3769
801821,2017-06-30 00:00:00,CNSESH,0.0758,0.0523,1.8219,0.0,0.1929,0.0416,0.0726,0.0156,0.0482,0.0276,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4754,0.0,0.5721,1.3662
801821,2019-09-30 00:00:00,CNSESZ,0.1711,0.1165,3.1634,0.0,0.2229,0.0541,0.0778,0.0295,0.0733,0.0509,0.0347,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8548,1.3859
801821,2017-12-31 00:00:00,CNSESZ,0.2561,0.2041,4.3233,0.0066,0.2212,0.0592,0.0816,0.0468,0.1071,0.0777,0.0619,0.0142,0.9858,None,None,None,None,None,None,None,None,None,0.1741,0.0,0.983,1.3695
801821,2018-06-30 00:00:00,CNSESZ,0.1039,0.0647,1.992,0.0,0.206,0.0521,0.077,0.0206,0.0475,0.0321,0.02,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0982,0.0,0.9481,1.317
801821,2020-03-31 00:00:00,CNSESH,0.0022,-0.006,0.6061,0.0,0.1941,0.0037,0.0339,0.0021,0.0055,0.0006,-0.0016,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6424,1.9916
801821,2019-12-31 00:00:00,CNSESZ,0.0603,0.0147,4.4105,0.0081,0.2269,0.0136,0.0362,0.0168,0.0491,0.0185,0.0045,0.0714,0.9286,None,None,None,None,None,None,None,None,None,0.5525,0.0,0.7053,1.3953
801821,2020-06-30 00:00:00,CNSESZ,0.0927,0.0524,1.8654,0.0,0.2275,0.0496,0.0802,0.0177,0.0466,0.0288,0.0163,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3322,0.006,0.6946,1.3885
801821,2020-09-30 00:00:00,CNSESZ,0.1757,0.1184,3.254,0.0,0.2222,0.054,0.0847,0.032,0.0819,0.0521,0.0351,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1369,0.0,0.7719,1.4998
801821,2020-12-31 00:00:00,CNSESZ,0.1594,0.064,4.6573,0.0067,0.2266,0.0342,0.0624,0.0318,0.0869,0.0476,0.0191,0.0306,0.9694,None,None,None,None,None,None,None,None,None,0.1418,0.0,0.7295,1.5065
801821,2021-03-31 00:00:00,CNSESH,0.0336,0.0229,0.8726,0.0,0.1932,0.0385,0.0641,0.0057,0.0156,0.0094,0.0064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.548,2.1169
801821,2021-06-30 00:00:00,CNSESH,0.1396,0.1043,2.0101,0.0,0.2363,0.0694,0.0917,0.0195,0.0474,0.0359,0.0268,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0253,0.0,1.0365,2.0757
801821,2021-09-30 00:00:00,CNSESH,0.2295,0.1839,3.2495,0.0,0.2362,0.0706,0.092,0.0312,0.0762,0.0585,0.0468,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0875,2.0544
801821,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
