指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801822,2018-09-30 00:00:00,CNSESH,0.3764,0.3402,5.3695,0.0,0.1873,0.0701,0.1066,0.0414,0.1304,0.0857,0.0774,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0566,0.0,1.7339,1.6519
801822,2018-03-31 00:00:00,CNSESZ,0.1101,0.0995,1.4106,0.0,0.2211,0.0781,0.1167,0.0149,0.0393,0.0263,0.0238,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6281,1.5782
801822,2017-12-31 00:00:00,CNSESZ,0.3826,0.3083,5.5997,0.0135,0.2087,0.0683,0.1001,0.0524,0.1395,0.0952,0.0767,0.0113,0.9887,None,None,None,None,None,None,None,None,None,0.2101,0.0,1.5228,1.4829
801822,2017-03-31 00:00:00,CNSESZ,0.1032,0.0949,1.3074,0.0,0.2161,0.0789,0.1092,0.0143,0.0369,0.0266,0.0245,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0248,0.0,1.5442,1.4833
801822,2017-06-30 00:00:00,CNSESH,0.2509,0.2311,3.2396,0.0,0.19,0.0774,0.1118,0.0278,0.0883,0.0611,0.0563,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5308,0.0,1.4876,1.4744
801822,2018-06-30 00:00:00,CNSESZ,0.2013,0.182,2.9839,0.0,0.2129,0.0674,0.0993,0.0265,0.0722,0.049,0.0443,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1827,0.0,1.5434,1.5774
801822,2018-12-31 00:00:00,CNSESZ,0.3547,0.2965,6.345,0.0037,0.2127,0.0559,0.0885,0.0457,0.1305,0.0823,0.0688,0.0125,0.9875,None,None,None,None,None,None,None,None,None,0.2802,0.0,1.6373,1.5572
801822,2019-03-31 00:00:00,CNSESZ,0.1853,0.1546,1.6722,0.0,0.2669,0.1108,0.1588,0.022,0.0577,0.0402,0.0335,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0595,0.0,2.097,1.3538
801822,2019-06-30 00:00:00,CNSESZ,0.32,0.2596,3.2588,0.0,0.2503,0.0981,0.1382,0.0391,0.1015,0.072,0.0585,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3097,0.0,1.9811,1.3263
801822,2019-09-30 00:00:00,CNSESZ,0.4932,0.4086,5.2534,0.0,0.2376,0.0938,0.1314,0.0582,0.15,0.1071,0.0887,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1106,0.0,2.1291,1.344
801822,2017-09-30 00:00:00,CNSESZ,0.2807,0.2498,3.9833,0.0,0.2046,0.0704,0.101,0.0412,0.1069,0.0746,0.0664,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0968,0.0,1.4554,1.4186
801822,2019-12-31 00:00:00,CNSESZ,0.543,0.4194,7.5275,0.085,0.2286,0.0721,0.1058,0.0639,0.1757,0.1197,0.0925,0.0062,0.9938,None,None,None,None,None,None,None,None,None,1.1197,0.0,2.087,1.3395
801822,2020-06-30 00:00:00,CNSESZ,0.347,0.279,3.4911,0.0,0.2263,0.0994,0.1392,0.0387,0.1062,0.0758,0.061,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6584,0.0496,1.9434,1.3121
801822,2020-03-31 00:00:00,CNSESH,0.0674,0.0601,1.1665,0.0,0.262,0.0578,0.0907,0.0088,0.026,0.0165,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7824,1.2924
801822,2020-09-30 00:00:00,CNSESZ,0.541,0.4464,5.6431,0.0,0.2279,0.0958,0.1321,0.0595,0.1541,0.1118,0.0923,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.286,1.5789
801822,2020-12-31 00:00:00,CNSESZ,0.6833,0.5374,7.7871,0.1085,0.2205,0.0877,0.1225,0.0714,0.1904,0.1363,0.1072,0.0109,0.9891,None,None,None,None,None,None,None,None,None,0.6084,0.0,2.3357,1.7034
801822,2021-03-31 00:00:00,CNSESZ,0.2328,0.1896,2.2174,0.0,0.2292,0.105,0.1435,0.0229,0.0605,0.0443,0.0361,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1116,0.0,2.5568,1.8491
801822,2021-06-30 00:00:00,CNSESH,0.2657,0.2232,4.4263,0.0,0.1838,0.06,0.0908,0.0246,0.0834,0.0551,0.0463,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0462,0.0,1.8232,2.1721
801822,2021-09-30 00:00:00,CNSESH,0.3839,0.3292,6.6999,0.0,0.1788,0.0573,0.0872,0.0346,0.1179,0.0774,0.0664,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9115,2.1904
801822,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
