指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801823,2018-09-30 00:00:00,CNSESZ,0.6375,0.5714,6.0732,0.0,0.2215,0.1049,0.1632,0.0208,0.1753,0.1127,0.101,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3112,0.0,2.5181,1.7514
801823,2017-09-30 00:00:00,CNSESH,0.6776,0.6618,5.1706,0.0,0.2153,0.131,0.1796,0.0103,0.1467,0.107,0.1045,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4455,0.0,2.9482,1.0037
801823,2018-03-31 00:00:00,CNSESZ,0.1912,0.1769,1.8513,0.0,0.2191,0.1032,0.1567,0.0065,0.0515,0.0339,0.0314,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2486,0.0,2.3666,1.7681
801823,2017-03-31 00:00:00,CNSESZ,0.142,0.128,1.736,0.0,0.1947,0.0818,0.1286,0.0056,0.0445,0.0283,0.0255,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2473,0.0,1.969,1.8024
801823,2018-06-30 00:00:00,CNSESZ,0.4171,0.3728,3.9237,0.0,0.2195,0.1063,0.1652,0.0135,0.1158,0.0745,0.0666,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2556,0.0,2.3707,1.734
801823,2018-12-31 00:00:00,CNSESZ,0.7744,0.7186,8.467,0.0139,0.2201,0.0914,0.1489,0.0245,0.2103,0.1291,0.1198,0.0187,0.9813,None,None,None,None,None,None,None,None,None,0.3807,0.0,2.5953,1.8121
801823,2017-06-30 00:00:00,CNSESH,0.4612,0.4494,3.4475,0.0,0.2185,0.1337,0.1844,0.0071,0.1037,0.0752,0.0733,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2444,0.0,2.761,1.0017
801823,2019-03-31 00:00:00,CNSESZ,0.1534,0.1375,2.1213,0.0,0.1826,0.0723,0.1175,0.0053,0.0419,0.0258,0.0231,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3127,0.0,2.5656,1.7062
801823,2019-06-30 00:00:00,CNSESZ,0.3637,1.2285,4.5087,0.0,0.1923,0.0806,0.1306,0.012,0.1013,0.0625,0.2113,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5079,0.0,2.4707,1.6363
801823,2019-09-30 00:00:00,CNSESZ,0.5392,0.4822,6.9205,0.0,0.1868,0.0779,0.1255,0.0176,0.1462,0.0907,0.0811,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3789,0.0,2.6135,1.7184
801823,2017-12-31 00:00:00,CNSESZ,0.697,0.6055,7.5433,0.035,0.2073,0.0924,0.1451,0.0241,0.2005,0.1276,0.1109,0.0256,0.9744,None,None,None,None,None,None,None,None,None,0.3024,0.0,2.1829,1.7642
801823,2020-03-31 00:00:00,CNSESH,0.2225,0.2057,1.7927,0.0,0.1936,0.1241,0.1658,0.0028,0.0382,0.0286,0.0264,0.0,1.0,None,None,None,None,None,None,None,None,None,1.6622,0.0,3.7244,1.1232
801823,2019-12-31 00:00:00,CNSESZ,0.7058,0.6106,9.5332,0.1489,0.1861,0.074,0.1211,0.0223,0.1877,0.1147,0.0992,0.0346,0.9654,None,None,None,None,None,None,None,None,None,0.7908,0.0,2.6074,1.7089
801823,2020-09-30 00:00:00,CNSESZ,0.5395,0.4671,7.1962,0.0,0.1748,0.0749,0.1176,0.0161,0.1308,0.0833,0.0722,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3185,0.0,2.864,1.7591
801823,2020-06-30 00:00:00,CNSESZ,0.3252,0.2941,4.5403,0.0,0.1719,0.0716,0.1143,0.0101,0.0829,0.0519,0.0469,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6615,0.0,2.6883,1.7249
801823,2020-12-31 00:00:00,CNSESZ,0.7997,0.7073,10.4165,0.2535,0.1733,0.0767,0.1212,0.023,0.1886,0.1193,0.1056,0.0408,0.9592,None,None,None,None,None,None,None,None,None,0.7032,0.0,2.9212,1.7848
801823,2021-06-30 00:00:00,CNSESZ,0.5548,0.4766,5.3756,0.0,0.1958,0.1032,0.1552,0.0209,0.1449,0.0963,0.0827,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2939,0.0,2.6842,1.7457
801823,2021-03-31 00:00:00,CNSESZ,0.2518,0.2318,2.8999,0.0,0.1802,0.0868,0.1276,0.0068,0.0533,0.0362,0.0334,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4639,0.0,3.1589,1.8168
801823,2021-09-30 00:00:00,CNSESH,0.7736,0.756,7.3408,0.0,0.1738,0.1053,0.1452,0.0095,0.1236,0.0896,0.0876,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4911,0.0,4.2823,1.0807
801823,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
