指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801831,2018-09-30 00:00:00,CNSESZ,0.4934,0.4883,5.0224,0.0,0.3307,0.0982,0.1378,0.0648,0.1725,0.1229,0.1217,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0437,0.0,1.8706,1.2324
801831,2017-09-30 00:00:00,CNSESH,0.9727,0.9171,5.5811,0.0,0.436,0.1742,0.2308,0.1189,0.2548,0.1923,0.1813,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2688,0.0,3.1898,1.0894
801831,2018-03-31 00:00:00,CNSESZ,0.2063,0.1865,1.7139,0.0,0.3436,0.1203,0.1669,0.0289,0.069,0.0498,0.045,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1218,0.0,2.0012,1.3065
801831,2017-06-30 00:00:00,CNSESH,0.604,0.5591,3.5573,0.0,0.4285,0.1697,0.2234,0.079,0.171,0.1299,0.1203,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4263,0.0,2.7716,0.9736
801831,2018-06-30 00:00:00,CNSESZ,0.2718,0.2992,3.1895,0.0,0.3305,0.0852,0.1337,0.0378,0.1108,0.0706,0.0777,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2571,0.0,1.6572,1.1131
801831,2017-03-31 00:00:00,CNSESZ,0.1585,0.1463,1.524,0.0,0.3209,0.104,0.1134,0.0222,0.0455,0.0417,0.0385,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1504,0.0,1.8005,1.0589
801831,2018-12-31 00:00:00,CNSESZ,0.6977,0.6592,6.7185,0.0075,0.3375,0.1038,0.1398,0.0873,0.2202,0.1635,0.1545,0.0055,0.9945,None,None,None,None,None,None,None,None,None,0.4652,0.0,1.9432,1.2488
801831,2019-03-31 00:00:00,CNSESZ,0.2063,0.1859,1.6342,0.0,0.3449,0.1262,0.1867,0.0215,0.058,0.0392,0.0353,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0925,0.0,2.2583,2.012
801831,2019-06-30 00:00:00,CNSESZ,0.3896,0.3565,3.2382,0.0,0.3313,0.1203,0.1668,0.0404,0.1083,0.0781,0.0715,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3333,0.0,2.0701,1.9273
801831,2019-09-30 00:00:00,CNSESZ,0.6396,0.5797,5.2696,0.0,0.3146,0.1213,0.1619,0.0624,0.1635,0.1225,0.1111,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0231,0.0,2.2783,1.9047
801831,2017-12-31 00:00:00,CNSESZ,0.6831,0.5547,6.1418,0.0426,0.3215,0.1112,0.1386,0.0944,0.2188,0.1755,0.1425,0.0063,0.9937,None,None,None,None,None,None,None,None,None,0.5208,0.0,1.7231,1.2103
801831,2020-03-31 00:00:00,CNSESH,0.3296,0.317,1.9165,0.0,0.3997,0.172,0.2313,0.0296,0.0657,0.0488,0.0469,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0438,0.0,4.507,1.4141
801831,2019-12-31 00:00:00,CNSESZ,0.3246,0.5965,6.9644,0.1105,0.3201,0.0466,0.0851,0.0357,0.1184,0.0648,0.1191,0.0495,0.9505,None,None,None,None,None,None,None,None,None,0.8192,0.0,1.8095,1.9976
801831,2020-06-30 00:00:00,CNSESZ,0.4301,0.3863,3.2497,0.0,0.3287,0.1323,0.1769,0.043,0.1162,0.0869,0.0781,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4334,0.0,1.8318,2.057
801831,2020-09-30 00:00:00,CNSESZ,0.744,0.6664,5.4186,0.0,0.3231,0.1373,0.1809,0.0695,0.1782,0.1352,0.1211,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0126,0.0,2.1135,2.5535
801831,2020-12-31 00:00:00,CNSESZ,1.0174,0.8491,7.6503,0.1268,0.316,0.1329,0.1744,0.0909,0.2363,0.1801,0.1503,0.0183,0.9817,None,None,None,None,None,None,None,None,None,0.2442,0.0,2.2893,2.6546
801831,2021-03-31 00:00:00,CNSESZ,0.3117,0.2894,2.153,0.0,0.3248,0.1447,0.1892,0.0257,0.0682,0.0522,0.0485,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0388,0.0,2.5955,2.9336
801831,2021-06-30 00:00:00,CNSESZ,0.6916,0.6312,3.9743,0.0,0.3724,0.174,0.2165,0.0624,0.1476,0.1186,0.1083,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2153,2.2173
801831,2021-09-30 00:00:00,CNSESZ,1.0644,0.9849,6.3176,0.0,0.3648,0.1684,0.2093,0.0884,0.2072,0.1667,0.1543,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5226,2.3797
801831,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
