指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801832,2018-09-30 00:00:00,CNSESZ,0.298,0.2359,5.0683,0.0,0.1964,0.0587,0.0959,0.0324,0.112,0.0686,0.0543,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6087,1.6386
801832,2017-09-30 00:00:00,CNSESH,0.3815,0.3366,4.3587,0.0,0.2492,0.0875,0.1327,0.0412,0.1472,0.0971,0.0856,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1792,0.0,1.5512,1.6423
801832,2017-03-31 00:00:00,CNSESZ,0.0963,0.0837,1.4828,0.0,0.2027,0.0649,0.0951,0.0109,0.0327,0.0223,0.0194,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0851,0.0,1.5493,1.99
801832,2018-03-31 00:00:00,CNSESZ,0.1161,0.0939,1.5758,0.0,0.2003,0.0736,0.11,0.0128,0.039,0.0261,0.0211,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6273,1.7915
801832,2018-12-31 00:00:00,CNSESZ,0.3815,0.2867,7.4883,0.007,0.2019,0.0509,0.091,0.0413,0.1518,0.0849,0.0638,0.0226,0.9774,None,None,None,None,None,None,None,None,None,0.0406,0.0,1.6735,1.6565
801832,2019-03-31 00:00:00,CNSESZ,0.0706,0.057,1.0925,0.0,0.2443,0.0646,0.0923,0.0126,0.0263,0.0184,0.0149,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2964,1.4836
801832,2019-06-30 00:00:00,CNSESZ,0.1279,0.1197,2.2113,0.0,0.243,0.0578,0.0901,0.0231,0.0542,0.0348,0.0326,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5226,0.0,1.2141,1.3701
801832,2019-09-30 00:00:00,CNSESZ,0.2172,0.1923,3.4929,0.0,0.2384,0.0622,0.0899,0.0377,0.0843,0.0583,0.0516,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2696,1.3735
801832,2017-06-30 00:00:00,CNSESZ,0.1811,0.1502,2.9099,0.0,0.198,0.0622,0.0943,0.0222,0.0692,0.0456,0.0378,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1368,0.0,1.3776,1.6781
801832,2017-12-31 00:00:00,CNSESZ,0.3674,0.2988,6.9039,0.0051,0.2012,0.0532,0.0901,0.042,0.1416,0.0836,0.068,0.0058,0.9942,None,None,None,None,None,None,None,None,None,0.0912,0.0,1.5249,1.7758
801832,2018-06-30 00:00:00,CNSESZ,0.2104,0.1627,3.332,0.0,0.1959,0.0631,0.1009,0.023,0.0778,0.0487,0.0376,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5593,1.6634
801832,2019-12-31 00:00:00,CNSESZ,0.1593,0.0989,4.7357,0.0243,0.2391,0.0336,0.0609,0.0314,0.0796,0.0439,0.0273,0.0272,0.9728,None,None,None,None,None,None,None,None,None,1.0958,0.0408,1.1847,1.3696
801832,2020-03-31 00:00:00,CNSESH,0.0804,0.0733,1.888,0.0,0.1804,0.0426,0.0848,0.0107,0.036,0.0181,0.0165,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0717,0.0,1.3786,1.8467
801832,2020-09-30 00:00:00,CNSESZ,0.2561,0.2065,3.472,0.0,0.231,0.0737,0.0992,0.0431,0.0932,0.0693,0.0559,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0414,0.0,1.2787,1.3889
801832,2020-06-30 00:00:00,CNSESZ,0.1497,0.1196,2.1293,0.0,0.2353,0.0703,0.0958,0.0256,0.0568,0.0417,0.0333,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5112,0.0,1.1897,1.3534
801832,2020-12-31 00:00:00,CNSESZ,0.2003,0.1256,4.9946,0.0312,0.2152,0.0401,0.0658,0.0377,0.0905,0.0551,0.0345,0.0011,0.9989,None,None,None,None,None,None,None,None,None,0.2836,0.0,1.1849,1.4968
801832,2021-06-30 00:00:00,CNSESH,0.2244,0.2027,3.7116,0.0,0.1488,0.0604,0.0891,0.0299,0.0844,0.0572,0.0517,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5357,1.4373
801832,2021-03-31 00:00:00,CNSESH,0.2457,0.2239,2.3913,0.0,0.2128,0.1027,0.1445,0.023,0.0727,0.0517,0.0471,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.849,1.9927
801832,2021-09-30 00:00:00,CNSESZ,0.2539,0.2211,4.4531,0.0,0.1834,0.057,0.0841,0.0408,0.1003,0.0679,0.0592,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1458,1.7028
801832,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
