指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801833,2018-09-30 00:00:00,CNSESZ,0.3456,0.2922,5.2807,0.0,0.1852,0.0654,0.1246,0.0291,0.1234,0.0648,0.0548,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0417,0.0,1.6558,2.3572
801833,2017-09-30 00:00:00,CNSESH,0.5331,0.5188,4.5636,0.0,0.2,0.1168,0.1616,0.0095,0.1265,0.0914,0.0889,0.0,1.0,None,None,None,None,None,None,None,None,None,1.0157,0.0,2.6311,0.9168
801833,2018-03-31 00:00:00,CNSESZ,0.1054,0.0921,1.6064,0.0,0.1853,0.0656,0.1239,0.0092,0.0383,0.0202,0.0177,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6065,2.3942
801833,2018-06-30 00:00:00,CNSESZ,0.2288,0.2047,3.3736,0.0,0.1885,0.0678,0.1279,0.0183,0.083,0.044,0.0393,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0376,0.0,1.5854,2.3275
801833,2017-03-31 00:00:00,CNSESZ,0.0807,0.0674,1.5629,0.0,0.1617,0.0516,0.0987,0.0086,0.0327,0.0171,0.0143,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3762,2.3309
801833,2018-12-31 00:00:00,CNSESZ,0.3138,0.2327,7.0807,0.0027,0.1808,0.0443,0.1025,0.0287,0.1329,0.0574,0.0426,0.0613,0.9387,None,None,None,None,None,None,None,None,None,0.1396,0.0,1.6047,2.4174
801833,2019-03-31 00:00:00,CNSESZ,0.1563,0.123,1.7406,0.0,0.2008,0.0897,0.1582,0.005,0.0417,0.0236,0.0186,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2455,0.0,2.6015,2.476
801833,2019-06-30 00:00:00,CNSESZ,0.321,0.2648,3.7566,0.0,0.2003,0.0854,0.1553,0.0102,0.0899,0.0494,0.0408,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2009,0.0,2.5262,2.3751
801833,2019-09-30 00:00:00,CNSESZ,0.4907,0.3965,5.6804,0.0,0.1981,0.0863,0.1574,0.0157,0.1357,0.0745,0.0602,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3211,0.0,2.6584,2.4427
801833,2017-06-30 00:00:00,CNSESZ,0.1821,0.1512,3.1176,0.0,0.1701,0.0584,0.1085,0.0164,0.0715,0.0385,0.0319,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.334,2.2695
801833,2017-12-31 00:00:00,CNSESZ,0.4141,0.3618,6.6041,0.0106,0.18,0.0627,0.1168,0.0344,0.1521,0.0816,0.0713,0.0184,0.9816,None,None,None,None,None,None,None,None,None,0.0957,0.0,1.5006,2.3717
801833,2019-12-31 00:00:00,CNSESZ,0.6351,0.4837,8.2689,0.0878,0.1961,0.0768,0.145,0.0195,0.175,0.0926,0.0705,0.0175,0.9825,None,None,None,None,None,None,None,None,None,0.2505,0.0,2.722,2.4435
801833,2020-03-31 00:00:00,CNSESH,0.1706,0.1576,1.5095,0.0,0.2013,0.113,0.1563,0.0025,0.0328,0.0237,0.0219,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2311,0.0,3.3872,0.9577
801833,2020-09-30 00:00:00,CNSESZ,0.3422,0.2925,5.3886,0.0,0.1838,0.0635,0.1225,0.0107,0.0925,0.0479,0.041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2505,0.0,2.8435,2.404
801833,2020-06-30 00:00:00,CNSESZ,0.2076,0.1772,3.4075,0.0,0.1841,0.0609,0.1211,0.0069,0.0595,0.0299,0.0255,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2455,0.0,2.7248,2.3874
801833,2020-12-31 00:00:00,CNSESZ,0.4475,0.3407,8.1818,0.1003,0.1776,0.0547,0.1135,0.0135,0.127,0.0611,0.0465,0.1244,0.8756,None,None,None,None,None,None,None,None,None,0.3284,0.0,2.8839,2.4038
801833,2021-06-30 00:00:00,CNSESH,0.4224,0.3947,4.0594,0.0,0.1811,0.104,0.1471,0.0057,0.0756,0.0535,0.05,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2093,0.0,3.6395,0.9764
801833,2021-03-31 00:00:00,CNSESZ,0.1241,0.1103,1.8829,0.0,0.1796,0.0659,0.1237,0.0036,0.0312,0.0166,0.0147,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3931,0.0,2.9889,2.4093
801833,2021-09-30 00:00:00,CNSESZ,0.2208,0.1715,5.4729,0.0,0.1593,0.0403,0.1049,0.0107,0.0873,0.0335,0.026,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0883,0.0,2.5001,2.3125
801833,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
