指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801841,2018-09-30 00:00:00,CNSESZ,1.1377,1.0654,11.9269,0.0,0.2845,0.0953,0.1255,0.066,0.1945,0.1477,0.1384,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0878,0.0,4.6461,2.5065
801841,2017-09-30 00:00:00,CNSESH,1.8371,1.8018,16.6772,0.0,0.1777,0.1101,0.1555,0.0149,0.1936,0.1371,0.1344,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1421,0.0,7.3783,3.2958
801841,2018-03-31 00:00:00,CNSESH,0.7463,0.7368,7.3426,0.0,0.1667,0.1016,0.1471,0.0057,0.0745,0.0515,0.0508,0.0,1.0,None,None,None,None,None,None,None,None,None,1.286,0.0,8.5518,3.3939
801841,2019-03-31 00:00:00,CNSESZ,0.449,0.411,4.2366,0.0,0.2877,0.1059,0.1435,0.0256,0.0689,0.0509,0.0466,0.0,1.0,None,None,None,None,None,None,None,None,None,0.133,0.0,5.2582,3.1622
801841,2018-12-31 00:00:00,CNSESZ,1.4395,1.3548,15.4504,0.0426,0.2865,0.0931,0.1211,0.0808,0.229,0.176,0.1656,0.0091,0.9909,None,None,None,None,None,None,None,None,None,1.4493,0.0,4.7791,2.5496
801841,2019-06-30 00:00:00,CNSESZ,0.8755,0.7882,8.1371,0.0,0.2879,0.1075,0.1382,0.0493,0.1308,0.1018,0.0916,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9615,0.0,4.9576,3.361
801841,2019-09-30 00:00:00,CNSESZ,1.5075,1.302,13.992,0.0,0.2758,0.1077,0.1359,0.0799,0.2036,0.1614,0.1394,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0609,0.0,5.3065,3.3365
801841,2017-03-31 00:00:00,CNSESZ,0.3731,0.3474,3.8081,0.0,0.291,0.0979,0.1139,0.024,0.0617,0.0531,0.0494,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2822,0.0,4.3733,2.0371
801841,2017-12-31 00:00:00,CNSESH,2.3633,2.3105,21.272,0.0918,0.1846,0.1111,0.1593,0.019,0.2475,0.1726,0.1687,0.0103,0.9897,None,None,None,None,None,None,None,None,None,2.0126,0.0,7.5589,3.2763
801841,2017-06-30 00:00:00,CNSESH,1.1403,1.1141,11.5248,0.0,0.1623,0.0989,0.1413,0.0094,0.1276,0.0893,0.0872,0.0,1.0,None,None,None,None,None,None,None,None,None,1.6002,0.0,6.7488,3.2521
801841,2018-06-30 00:00:00,CNSESZ,0.6921,0.691,7.8167,0.0,0.2838,0.0885,0.1227,0.0416,0.1272,0.0917,0.0916,0.0,1.0,None,None,None,None,None,None,None,None,None,1.0281,0.0,4.3466,2.4025
801841,2020-03-31 00:00:00,CNSESH,0.5595,0.5158,3.2388,0.0,0.3704,0.1727,0.2262,0.0294,0.0663,0.0507,0.0467,0.0,1.0,None,None,None,None,None,None,None,None,None,0.043,0.0,7.6069,2.9736
801841,2019-12-31 00:00:00,CNSESZ,1.5724,1.3124,15.6867,0.2009,0.2858,0.1002,0.1289,0.0813,0.2182,0.1697,0.1416,0.0185,0.9815,None,None,None,None,None,None,None,None,None,2.7402,0.0,5.1635,3.4311
801841,2020-09-30 00:00:00,CNSESZ,1.9306,1.7756,13.7353,0.0,0.2921,0.1405,0.1736,0.0922,0.2264,0.1833,0.1686,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1238,0.0,6.2978,4.5198
801841,2020-06-30 00:00:00,CNSESZ,1.1672,1.0562,8.6966,0.0,0.2784,0.1342,0.1696,0.0543,0.1443,0.1142,0.1033,0.0,1.0,None,None,None,None,None,None,None,None,None,1.7271,0.0,5.3198,3.4643
801841,2020-12-31 00:00:00,CNSESZ,2.4167,2.1281,18.0637,0.2357,0.2878,0.1337,0.1665,0.1055,0.2646,0.2125,0.1872,0.011,0.989,None,None,None,None,None,None,None,None,None,1.2601,0.0,6.4442,4.7976
801841,2021-06-30 00:00:00,CNSESH,1.7618,1.2427,11.3755,0.0,0.2532,0.1548,0.2018,0.0119,0.1292,0.0992,0.0699,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2509,0.0,11.3733,4.0843
801841,2021-03-31 00:00:00,CNSESH,1.2987,1.2145,8.0467,0.0,0.3159,0.1613,0.206,0.0568,0.1291,0.1011,0.0946,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2446,0.0,8.7181,4.1595
801841,2021-09-30 00:00:00,CNSESH,2.633,2.5597,16.9487,0.0,0.2563,0.1553,0.203,0.0175,0.185,0.1415,0.1376,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2636,0.0,12.0256,4.14
801841,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
