指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801842,2017-09-30 00:00:00,CNSESZ,0.3651,0.2965,3.7738,0.0,0.2202,0.0967,0.1279,0.0367,0.1125,0.085,0.0691,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6021,1.8044
801842,2018-03-31 00:00:00,CNSESZ,0.1325,0.1033,1.3296,0.0,0.2312,0.0997,0.1403,0.0117,0.0386,0.0274,0.0213,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8191,2.0972
801842,2018-09-30 00:00:00,CNSESZ,0.3658,0.3032,4.0188,0.0,0.2333,0.091,0.1274,0.0311,0.1087,0.0777,0.0644,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8176,1.9762
801842,2017-03-31 00:00:00,CNSESZ,0.1122,0.0978,1.1874,0.0,0.2119,0.0945,0.1203,0.0109,0.0323,0.0254,0.0221,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6661,2.0412
801842,2018-06-30 00:00:00,CNSESZ,0.2493,0.2007,2.5655,0.0,0.2347,0.0972,0.1354,0.0205,0.0746,0.0535,0.0431,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6926,1.9546
801842,2018-12-31 00:00:00,CNSESZ,0.4189,0.3108,5.522,0.0101,0.2318,0.0758,0.1089,0.033,0.1218,0.0848,0.0629,0.0242,0.9758,None,None,None,None,None,None,None,None,None,0.0085,0.0,1.8009,1.9435
801842,2019-03-31 00:00:00,CNSESZ,0.056,0.0331,1.8632,0.0,0.1615,0.03,0.0576,0.0082,0.0233,0.0122,0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0224,0.0,1.6808,1.8325
801842,2019-06-30 00:00:00,CNSESZ,0.1652,0.1222,3.9657,0.0,0.1742,0.0416,0.071,0.0216,0.0623,0.0365,0.027,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1079,0.0,1.6575,1.7705
801842,2019-09-30 00:00:00,CNSESZ,0.2729,0.2108,6.2793,0.0,0.1734,0.0434,0.072,0.0336,0.0986,0.0595,0.0459,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0436,0.0,1.7262,1.7608
801842,2017-06-30 00:00:00,CNSESH,0.3626,0.2887,4.2944,0.0,0.1905,0.0844,0.1222,0.0105,0.0884,0.061,0.0486,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5085,0.0,2.5988,1.6555
801842,2017-12-31 00:00:00,CNSESZ,0.4707,0.3891,5.1947,0.0124,0.2232,0.0906,0.1231,0.0397,0.1376,0.1012,0.0837,0.0034,0.9966,None,None,None,None,None,None,None,None,None,0.0481,0.0,1.6562,2.012
801842,2019-12-31 00:00:00,CNSESZ,0.2918,0.2007,8.4079,0.035,0.178,0.0347,0.0617,0.0378,0.1138,0.064,0.044,0.0339,0.9661,None,None,None,None,None,None,None,None,None,0.2173,0.0,1.7116,1.7333
801842,2020-03-31 00:00:00,CNSESH,0.0971,0.0732,2.0544,0.0,0.1638,0.0473,0.0865,0.0057,0.0272,0.0149,0.0112,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9637,2.0956
801842,2020-06-30 00:00:00,CNSESZ,0.1828,0.1053,4.029,0.0,0.1613,0.0453,0.0724,0.0219,0.0635,0.0398,0.0229,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1148,0.0,1.7652,1.7521
801842,2020-09-30 00:00:00,CNSESZ,0.3159,0.213,6.4664,0.0,0.1658,0.0488,0.0767,0.0365,0.1048,0.0667,0.045,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0143,0.0,1.8566,1.8624
801842,2020-12-31 00:00:00,CNSESZ,0.3521,0.1971,8.9743,0.0505,0.1638,0.0392,0.0671,0.0426,0.1269,0.0742,0.0415,0.0229,0.9771,None,None,None,None,None,None,None,None,None,0.0512,0.0,1.8284,1.9361
801842,2021-03-31 00:00:00,CNSESZ,0.1097,0.0872,2.5199,0.0,0.1471,0.0435,0.0657,0.0118,0.0342,0.0227,0.018,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9352,1.9731
801842,2021-09-30 00:00:00,CNSESZ,0.3617,0.3295,7.2727,0.0,0.1381,0.0497,0.0732,0.0346,0.1096,0.0744,0.0678,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9434,1.681
801842,2021-06-30 00:00:00,CNSESZ,0.2726,0.2452,4.8912,0.0,0.1421,0.0557,0.0809,0.0264,0.0849,0.0585,0.0526,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8895,1.6636
801842,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
