指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801843,2018-09-30 00:00:00,CNSESZ,0.098,0.0428,2.5849,0.0,0.1502,0.0379,0.0862,0.0272,0.0841,0.0369,0.0161,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4292,1.1453
801843,2017-03-31 00:00:00,CNSESZ,0.0355,0.0303,0.8552,0.0,0.1496,0.0416,0.0755,0.0089,0.0252,0.0138,0.0118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4525,1.2882
801843,2018-03-31 00:00:00,CNSESZ,0.0296,0.0236,0.8246,0.0,0.1535,0.0359,0.0805,0.0081,0.0249,0.0111,0.0088,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4525,1.2184
801843,2017-06-30 00:00:00,CNSESH,0.0568,0.0417,1.8727,0.0,0.1256,0.0303,0.0726,0.0158,0.0635,0.0266,0.0195,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0521,0.0,0.2493,0.8022
801843,2019-03-31 00:00:00,CNSESZ,0.0358,0.0095,0.7526,0.0,0.2046,0.0476,0.1216,0.0058,0.0303,0.0118,0.0031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0311,0.0,0.6037,1.1816
801843,2018-12-31 00:00:00,CNSESZ,-0.1931,-0.2333,3.3686,0.001,0.1491,-0.0573,-0.0049,-0.0104,-0.0066,-0.0764,-0.0923,-0.0025,1.0025,None,None,None,None,None,None,None,None,None,0.0445,0.0,0.1374,1.1443
801843,2019-06-30 00:00:00,CNSESZ,0.0618,0.0161,1.5959,0.0,0.1932,0.0387,0.1079,0.011,0.0572,0.0205,0.0053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0317,0.0,0.5848,1.1636
801843,2019-09-30 00:00:00,CNSESZ,0.1018,0.0418,2.3479,0.0,0.1954,0.0433,0.1209,0.017,0.0936,0.0336,0.0138,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0329,0.0,0.6157,1.1628
801843,2017-12-31 00:00:00,CNSESZ,0.0902,0.0484,3.5891,0.0058,0.1495,0.0251,0.0638,0.0278,0.0875,0.0345,0.0185,0.104,0.896,None,None,None,None,None,None,None,None,None,0.0429,0.0,0.4249,1.215
801843,2017-09-30 00:00:00,CNSESH,0.0847,0.0679,2.8344,0.0,0.1293,0.0298,0.0738,0.0237,0.0962,0.0389,0.0312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1017,0.0,0.2652,0.8071
801843,2018-06-30 00:00:00,CNSESZ,0.0808,0.0408,1.7264,0.0,0.1506,0.0468,0.0966,0.0204,0.0632,0.0306,0.0154,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4492,1.1451
801843,2019-12-31 00:00:00,CNSESZ,-0.1245,-0.1955,3.2228,0.0069,0.1858,-0.0386,0.0361,0.0023,0.0417,-0.0446,-0.07,-0.0006,1.0006,None,None,None,None,None,None,None,None,None,0.0695,0.0,0.3564,1.1466
801843,2020-06-30 00:00:00,CNSESZ,0.0022,-0.0028,1.2787,0.0,0.1861,0.0017,0.0793,0.0064,0.0366,0.0008,-0.001,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0578,0.0,0.2755,1.1503
801843,2020-03-31 00:00:00,CNSESH,0.1008,0.0998,0.7066,0.0,0.2558,0.1427,0.214,0.0024,0.0343,0.0229,0.0226,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1986,0.0,1.6272,0.6361
801843,2020-09-30 00:00:00,CNSESZ,0.0174,-0.008,1.9958,0.0,0.1828,0.0087,0.0862,0.0106,0.0613,0.0062,-0.0028,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0597,0.0,0.2851,1.1483
801843,2020-12-31 00:00:00,CNSESZ,-0.1244,-0.2124,3.0522,0.0115,0.154,-0.0407,0.0236,0.0024,0.0283,-0.0489,-0.0835,-0.0154,1.0154,None,None,None,None,None,None,None,None,None,0.0642,0.0,0.1285,1.1148
801843,2021-03-31 00:00:00,CNSESZ,0.0071,0.0,0.6791,0.0,0.1726,0.0104,0.0791,0.0034,0.0211,0.0028,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0761,0.0,0.1309,1.1161
801843,2021-06-30 00:00:00,CNSESH,0.2405,0.2276,1.6489,0.0,0.2404,0.1458,0.2084,0.0048,0.069,0.0483,0.0457,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1391,0.0,1.729,0.6492
801843,2021-09-30 00:00:00,CNSESH,0.3495,0.3356,2.4394,0.0,0.2346,0.1432,0.2027,0.007,0.0968,0.0684,0.0657,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0974,0.0,1.8304,0.6457
801843,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
