指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801851,2018-09-30 00:00:00,CNSESZ,0.0124,-0.0565,2.8029,0.0,0.1655,0.0044,0.0415,0.0126,0.0346,0.0036,-0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6602,1.5515
801851,2017-03-31 00:00:00,CNSESZ,0.0297,0.0222,0.8603,0.0,0.1764,0.0345,0.0621,0.0068,0.0164,0.0091,0.0068,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0149,0.0,0.8161,1.6556
801851,2018-03-31 00:00:00,CNSESZ,0.0191,0.0048,0.8976,0.0,0.1702,0.0213,0.0612,0.006,0.0161,0.0056,0.0014,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7574,1.6154
801851,2017-06-30 00:00:00,CNSESZ,0.0812,0.0552,1.863,0.0,0.1741,0.0435,0.0729,0.0169,0.0429,0.0256,0.0174,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0738,0.0,0.7564,1.5999
801851,2018-12-31 00:00:00,CNSESZ,-0.4589,-0.5448,3.6631,0.0,0.1616,-0.1252,-0.0803,-0.0414,-0.0931,-0.1452,-0.1724,-0.0002,1.0002,None,None,None,None,None,None,None,None,None,0.0222,0.0,0.1811,1.5567
801851,2019-03-31 00:00:00,CNSESZ,0.0355,0.0123,1.0685,0.0,0.1816,0.0332,0.0813,0.0061,0.0226,0.0092,0.0032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9005,1.7398
801851,2019-06-30 00:00:00,CNSESZ,0.0793,0.0385,2.2912,0.0,0.1825,0.0346,0.0821,0.0131,0.0492,0.0207,0.01,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0846,0.0,0.8869,1.7102
801851,2019-09-30 00:00:00,CNSESZ,0.1561,0.0837,3.5158,0.0,0.1885,0.0444,0.0949,0.0225,0.0864,0.0404,0.0216,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0102,0.0,0.9534,1.6988
801851,2017-12-31 00:00:00,CNSESZ,0.1105,0.0068,4.0176,0.0072,0.1833,0.0275,0.0653,0.027,0.0787,0.0331,0.002,0.02,0.98,None,None,None,None,None,None,None,None,None,0.0185,0.0,0.7411,1.615
801851,2017-09-30 00:00:00,CNSESH,0.0875,0.0063,3.6981,0.0,0.1466,0.0236,0.0593,0.0183,0.0736,0.0293,0.0021,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0726,0.0,0.3623,1.5639
801851,2018-06-30 00:00:00,CNSESZ,0.0274,-0.0141,1.9192,0.0,0.1651,0.0143,0.0512,0.0107,0.029,0.0081,-0.0041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.693,1.5865
801851,2019-12-31 00:00:00,CNSESZ,-0.0589,-0.1685,4.9636,0.0166,0.1875,-0.0118,0.0366,0.0077,0.05,-0.0162,-0.0463,-0.0065,1.0065,None,None,None,None,None,None,None,None,None,0.0839,0.0,0.7065,1.6947
801851,2020-03-31 00:00:00,CNSESH,-0.0279,-0.0393,1.248,0.0,0.1365,-0.0224,0.0409,0.0028,0.0123,-0.0067,-0.0095,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0531,0.0,1.1201,1.5176
801851,2020-09-30 00:00:00,CNSESZ,0.0841,0.0271,3.1948,0.0,0.1819,0.0263,0.0744,0.0165,0.0647,0.0229,0.0074,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6885,1.7016
801851,2020-06-30 00:00:00,CNSESZ,0.0281,0.011,2.0163,0.0,0.1801,0.0139,0.062,0.0087,0.0345,0.0077,0.003,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6452,1.6842
801851,2020-12-31 00:00:00,CNSESZ,-0.1494,-0.2316,4.5866,0.0192,0.1648,-0.0325,0.0115,0.0001,0.0154,-0.0437,-0.0677,-0.0128,1.0128,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4277,1.7133
801851,2021-06-30 00:00:00,CNSESH,-0.2502,-0.2806,2.1974,0.0,0.0547,-0.1138,-0.0841,-0.0104,-0.058,-0.0785,-0.0881,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0006,0.0,-0.1457,1.6831
801851,2021-03-31 00:00:00,CNSESZ,0.0018,-0.0045,1.0187,0.0,0.16,0.0017,0.0489,0.0033,0.0146,0.0005,-0.0013,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4214,1.7244
801851,2021-09-30 00:00:00,CNSESZ,-0.2882,-0.2978,2.8378,0.0,0.1002,-0.1015,-0.0576,-0.0178,-0.0561,-0.099,-0.1023,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3765,1.8967
801851,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
