指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801852,2018-09-30 00:00:00,CNSESZ,0.2186,0.0148,6.1807,0.0,0.1668,0.0353,0.0604,0.0247,0.0799,0.0467,0.0031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4566,2.008
801852,2017-09-30 00:00:00,CNSESH,0.0991,0.0243,4.2255,0.0,0.1451,0.0234,0.0512,0.0162,0.0542,0.0248,0.0061,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0798,1.5603
801852,2018-03-31 00:00:00,CNSESZ,0.0482,0.009,1.8622,0.0,0.1764,0.0259,0.0503,0.0069,0.0199,0.0102,0.0019,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2217,0.0,1.436,2.0624
801852,2017-03-31 00:00:00,CNSESZ,0.0432,0.031,1.5911,0.0,0.1953,0.0271,0.0545,0.0067,0.0221,0.011,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2385,1.796
801852,2018-12-31 00:00:00,CNSESZ,0.1989,-0.2947,8.8392,0.0,0.1646,0.0225,0.0491,0.0266,0.0929,0.0425,-0.063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0838,0.0,1.4191,1.9884
801852,2019-03-31 00:00:00,CNSESZ,0.0372,0.0062,1.2108,0.0,0.1885,0.0307,0.0667,0.0072,0.0222,0.0102,0.0017,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7244,1.6951
801852,2019-06-30 00:00:00,CNSESZ,0.0625,0.0034,2.589,0.0,0.1815,0.0241,0.0598,0.013,0.043,0.0173,0.0009,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6909,1.6532
801852,2017-06-30 00:00:00,CNSESH,0.0721,0.0219,2.7619,0.0,0.1421,0.0261,0.0509,0.011,0.0352,0.018,0.0054,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1625,0.0,1.1077,1.6149
801852,2019-09-30 00:00:00,CNSESZ,0.0564,-0.0266,3.9764,0.0,0.1734,0.0141,0.0482,0.0151,0.0532,0.0156,-0.0073,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6854,1.648
801852,2017-12-31 00:00:00,CNSESZ,0.3908,0.1288,7.9924,0.0562,0.1865,0.0488,0.0828,0.0407,0.1445,0.0852,0.0281,0.0084,0.9916,None,None,None,None,None,None,None,None,None,0.2984,0.0,1.4494,1.8211
801852,2018-06-30 00:00:00,CNSESZ,0.2,0.0165,4.0273,0.0,0.1684,0.0496,0.0752,0.0206,0.0653,0.0431,0.0035,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4699,1.9856
801852,2020-03-31 00:00:00,CNSESH,-0.0161,-0.0252,0.9096,0.0,0.1078,-0.0177,0.0042,-0.0001,0.001,-0.0046,-0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6902,1.7956
801852,2019-12-31 00:00:00,CNSESH,0.0602,-0.0939,5.069,0.0132,0.1271,0.0118,0.0365,0.0146,0.0537,0.0174,-0.0272,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7673,1.5127
801852,2020-06-30 00:00:00,CNSESZ,0.0024,-0.0525,2.0324,0.0,0.18,0.0012,0.042,0.0066,0.0257,0.0007,-0.0158,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4708,1.6615
801852,2020-09-30 00:00:00,CNSESZ,0.0263,-0.093,3.2102,0.0,0.1759,0.0082,0.0486,0.0121,0.0469,0.0079,-0.0279,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4909,1.6747
801852,2020-12-31 00:00:00,CNSESZ,-0.2292,-0.3158,4.7077,0.0083,0.1622,-0.0486,-0.0124,-0.0097,-0.0189,-0.0743,-0.1024,-0.0041,1.0041,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2163,1.6974
801852,2021-06-30 00:00:00,CNSESZ,0.0884,-0.0553,3.4229,0.0,0.1374,0.0258,0.0564,0.0137,0.0524,0.024,-0.015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7576,1.7762
801852,2021-03-31 00:00:00,CNSESZ,0.0411,-0.0225,0.9741,0.0,0.1757,0.0422,0.087,0.0069,0.0273,0.0132,-0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2565,1.7021
801852,2021-09-30 00:00:00,CNSESZ,0.0801,-0.0941,5.0026,0.0,0.1367,0.016,0.0451,0.0156,0.0607,0.0215,-0.0253,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7391,1.8102
801852,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
