指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801853,2018-09-30 00:00:00,CNSESZ,1.5053,1.4529,10.8208,0.0,0.3203,0.1391,0.1736,0.0985,0.3109,0.2491,0.2404,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.3042,1.0752
801853,2017-12-31 00:00:00,CNSESZ,1.4421,1.3534,12.4737,0.081,0.2951,0.1156,0.1507,0.109,0.3445,0.2641,0.2479,0.0064,0.9936,None,None,None,None,None,None,None,None,None,0.645,0.0,3.3903,1.1449
801853,2018-03-31 00:00:00,CNSESZ,0.5226,0.4796,3.5726,0.0,0.3245,0.1462,0.1874,0.0364,0.1146,0.0894,0.0821,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1836,0.0,3.9083,1.1141
801853,2017-06-30 00:00:00,CNSESH,1.3467,1.3088,10.544,0.0,0.2259,0.1277,0.1965,0.0146,0.1861,0.1209,0.1175,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7048,0.0,6.7314,2.6508
801853,2018-06-30 00:00:00,CNSESZ,1.0234,0.986,7.2114,0.0,0.3206,0.1419,0.1777,0.0708,0.2258,0.1803,0.1737,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2311,0.0,3.8401,1.0735
801853,2018-12-31 00:00:00,CNSESZ,1.8554,1.7942,14.1473,0.0624,0.3238,0.1311,0.1635,0.1167,0.3609,0.2893,0.2798,0.0119,0.9881,None,None,None,None,None,None,None,None,None,0.7872,0.0,4.4791,1.16
801853,2019-03-31 00:00:00,CNSESZ,0.1962,0.1724,2.0614,0.0,0.2627,0.0952,0.1506,0.0167,0.061,0.0385,0.0339,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3119,1.8064
801853,2019-06-30 00:00:00,CNSESZ,0.4221,0.372,4.4417,0.0,0.2581,0.095,0.1453,0.0354,0.1301,0.085,0.0749,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1824,0.0,2.1939,1.787
801853,2017-03-31 00:00:00,CNSESZ,0.3508,0.3346,3.0753,0.0,0.2932,0.114,0.1439,0.0263,0.084,0.0665,0.0635,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.107,1.0408
801853,2019-09-30 00:00:00,CNSESZ,0.7725,0.6059,7.1384,0.0,0.2464,0.1082,0.1568,0.0583,0.2118,0.1461,0.1146,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4698,1.7765
801853,2017-09-30 00:00:00,CNSESZ,1.0954,1.0274,9.5063,0.0,0.2923,0.1152,0.1484,0.0826,0.2692,0.2089,0.1959,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0621,0.0,3.1538,1.0785
801853,2020-03-31 00:00:00,CNSESH,0.4074,0.3932,3.0562,0.0,0.3086,0.1333,0.2056,0.0241,0.0842,0.0546,0.0527,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.7294,1.6936
801853,2019-12-31 00:00:00,CNSESZ,-0.3119,0.6074,8.4726,0.1285,0.2604,-0.0368,0.0045,-0.0113,0.009,-0.0735,0.1432,0.0395,0.9605,None,None,None,None,None,None,None,None,None,2.2008,0.0,1.1386,1.5904
801853,2020-06-30 00:00:00,CNSESZ,0.6088,0.5701,4.1476,0.0,0.3209,0.1467,0.2177,0.0528,0.2145,0.1446,0.1354,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2626,0.0,1.3298,1.9464
801853,2020-09-30 00:00:00,CNSESZ,1.2137,1.1473,7.2972,0.0,0.318,0.1663,0.2329,0.0892,0.332,0.237,0.224,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3961,0.0,1.7153,2.5467
801853,2020-12-31 00:00:00,CNSESZ,1.5433,1.4306,9.1597,0.1619,0.3214,0.1684,0.2391,0.1149,0.457,0.322,0.2985,0.0179,0.9821,None,None,None,None,None,None,None,None,None,2.0766,0.0,2.0202,2.5508
801853,2021-06-30 00:00:00,CNSESH,1.4185,1.3848,10.6933,0.0,0.2456,0.1326,0.1853,0.085,0.3665,0.2622,0.256,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4747,1.6332
801853,2021-03-31 00:00:00,CNSESZ,0.6546,0.6319,3.0254,0.0,0.371,0.2163,0.3051,0.0446,0.1708,0.1211,0.1169,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0345,0.0,2.6726,2.6676
801853,2021-09-30 00:00:00,CNSESZ,1.488,1.4525,9.4438,0.0,0.3019,0.1575,0.2282,0.1027,0.4167,0.2877,0.2808,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8948,2.0806
801853,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
