指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801862,2018-09-30 00:00:00,CNSESZ,0.4367,0.3745,3.5851,0.0,0.2732,0.1218,0.1667,0.0655,0.1569,0.1146,0.0982,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3539,1.6554
801862,2017-09-30 00:00:00,CNSESH,0.1663,0.1317,2.5011,0.0,0.2301,0.0665,0.0971,0.0335,0.0885,0.0606,0.0479,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1488,0.0,0.6226,1.4534
801862,2018-03-31 00:00:00,CNSESZ,0.0798,0.0717,0.9861,0.0,0.2429,0.0809,0.1233,0.0133,0.0322,0.0211,0.019,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1845,1.7912
801862,2017-12-31 00:00:00,CNSESZ,0.4372,0.3667,4.4414,0.002,0.259,0.0984,0.1401,0.0718,0.1738,0.122,0.1023,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1019,1.7475
801862,2017-06-30 00:00:00,CNSESZ,0.1525,0.1309,2.029,0.0,0.2216,0.0751,0.1035,0.0278,0.0658,0.0477,0.041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8842,1.6523
801862,2017-03-31 00:00:00,CNSESZ,0.0426,0.0344,0.9783,0.0,0.2031,0.0435,0.0679,0.0083,0.0196,0.0125,0.0101,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9422,1.9563
801862,2018-12-31 00:00:00,CNSESZ,0.541,0.4622,4.8692,0.0062,0.2968,0.1111,0.1538,0.0823,0.1945,0.1405,0.12,0.0197,0.9803,None,None,None,None,None,None,None,None,None,0.0361,0.0,1.3898,1.5814
801862,2019-03-31 00:00:00,CNSESZ,0.1091,0.0925,1.107,0.0,0.2724,0.0986,0.1372,0.0169,0.0383,0.0275,0.0233,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5039,1.5796
801862,2019-06-30 00:00:00,CNSESZ,0.2637,0.2321,2.4134,0.0,0.2757,0.1092,0.1448,0.04,0.0914,0.069,0.0607,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4051,1.4497
801862,2019-09-30 00:00:00,CNSESZ,0.4041,0.3685,3.819,0.0,0.2687,0.1058,0.1407,0.0595,0.1374,0.1033,0.0942,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.514,1.421
801862,2018-06-30 00:00:00,CNSESZ,0.2619,0.2108,2.2962,0.0,0.2624,0.114,0.157,0.0419,0.0997,0.0724,0.0582,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1968,1.6612
801862,2019-12-31 00:00:00,CNSESZ,0.4633,0.3884,5.3817,0.034,0.2606,0.086,0.1177,0.0683,0.1578,0.1153,0.0967,0.0227,0.9773,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5397,1.4526
801862,2020-03-31 00:00:00,CNSESH,0.0331,0.0258,0.8447,0.0,0.1916,0.0392,0.0609,0.0054,0.0145,0.0093,0.0073,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0282,0.0,0.8269,1.4742
801862,2020-09-30 00:00:00,CNSESZ,0.339,0.2991,3.8314,0.0,0.2471,0.0884,0.1206,0.0481,0.1135,0.0832,0.0734,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7009,1.3694
801862,2020-06-30 00:00:00,CNSESZ,0.1899,0.1612,2.3741,0.0,0.2337,0.0799,0.1102,0.0281,0.0664,0.0482,0.0409,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5659,1.3463
801862,2020-12-31 00:00:00,CNSESZ,0.4508,0.3533,5.3117,0.0383,0.2422,0.0848,0.1171,0.0635,0.15,0.1087,0.0852,0.0165,0.9835,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7723,1.3734
801862,2021-06-30 00:00:00,CNSESH,0.1567,0.1371,2.0506,0.0,0.2138,0.0764,0.1038,0.0212,0.0588,0.0433,0.0378,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0709,0.0,0.9472,1.7327
801862,2021-03-31 00:00:00,CNSESZ,0.1045,0.0841,1.3264,0.0,0.2267,0.0787,0.108,0.0143,0.0337,0.0246,0.0198,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8744,1.3867
801862,2021-09-30 00:00:00,CNSESZ,0.414,0.3648,4.6438,0.0,0.226,0.0891,0.1194,0.0519,0.1266,0.0945,0.0833,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0071,1.4036
801862,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
