指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801863,2018-09-30 00:00:00,CNSESZ,0.3551,0.0833,2.011,0.0,0.3892,0.1766,0.2938,0.0355,0.3392,0.2039,0.0478,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0915,0.0,0.5932,0.2936
801863,2017-09-30 00:00:00,CNSESH,0.524,0.0,1.5036,0.0,0.4873,0.3485,0.4677,0.0197,0.2891,0.2154,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4958,0.7101
801863,2018-03-31 00:00:00,CNSESZ,0.0973,0.0186,0.458,0.0,0.4268,0.2125,0.3582,0.0102,0.0986,0.0585,0.0111,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0562,0.0,0.5279,0.2937
801863,2018-12-31 00:00:00,CNSESZ,0.3707,0.1827,2.293,0.0,0.3734,0.1617,0.2656,0.0299,0.2557,0.1556,0.0767,0.0,1.0,None,None,None,None,None,None,None,None,None,5.259,0.0,0.8171,0.4163
801863,2017-03-31 00:00:00,CNSESZ,0.074,0.0,0.2239,0.0,0.4912,0.3304,0.6127,0.0175,0.107,0.0577,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2237,0.0,0.2191,0.025
801863,2019-03-31 00:00:00,CNSESZ,0.2309,0.0117,0.9179,0.0,0.3783,0.2515,0.4083,0.0178,0.0616,0.0379,0.0019,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7561,1.7746
801863,2019-06-30 00:00:00,CNSESZ,0.3991,0.1052,2.5635,0.0,0.2723,0.1556,0.2523,0.0377,0.1228,0.0757,0.0199,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5079,0.0,2.47,1.5791
801863,2019-09-30 00:00:00,CNSESZ,1.2184,0.6553,12.6936,0.0,0.0767,0.0959,0.136,0.0865,0.2766,0.1952,0.1049,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0357,0.0,2.847,1.8095
801863,2017-06-30 00:00:00,CNSESH,0.3037,0.0103,1.223,0.0,0.312,0.2483,0.2982,0.0068,0.153,0.1274,0.0043,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9133,0.0,1.0553,0.8539
801863,2017-12-31 00:00:00,CNSESZ,0.3423,0.1426,1.931,0.0037,0.3835,0.1773,0.2886,0.0323,0.27,0.1658,0.0691,0.0354,0.9646,None,None,None,None,None,None,None,None,None,3.9259,0.0,0.5623,0.4087
801863,2018-06-30 00:00:00,CNSESZ,0.1824,0.0625,1.0594,0.0,0.3912,0.1721,0.2906,0.0151,0.1503,0.089,0.0305,0.0,1.0,None,None,None,None,None,None,None,None,None,2.5148,0.0,0.5608,0.3513
801863,2019-12-31 00:00:00,CNSESZ,0.5924,0.4304,6.0886,0.0128,0.2392,0.0973,0.1348,0.0459,0.1976,0.1426,0.1036,0.0126,0.9874,None,None,None,None,None,None,None,None,None,4.4159,0.0,1.5651,1.5087
801863,2020-03-31 00:00:00,CNSESH,0.0793,0.0184,1.0636,0.0,0.2764,0.0745,0.1202,0.0069,0.0376,0.0233,0.0054,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5615,0.4406
801863,2020-12-31 00:00:00,CNSESZ,0.8768,0.6519,7.686,0.0085,0.2056,0.114,0.1515,0.053,0.2129,0.1603,0.1192,0.0126,0.9874,None,None,None,None,None,None,None,None,None,4.0607,0.0,2.0278,1.6302
801863,2020-09-30 00:00:00,CNSESZ,1.5421,0.9387,13.2539,0.0,0.1106,0.1163,0.141,0.0648,0.2765,0.2281,0.1388,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3809,0.0,2.6441,1.622
801863,2020-06-30 00:00:00,CNSESZ,0.365,0.2634,3.3097,0.0,0.1788,0.1103,0.1529,0.0519,0.1605,0.1157,0.0835,0.0,1.0,None,None,None,None,None,None,None,None,None,4.0157,0.1318,0.9943,1.2265
801863,2021-03-31 00:00:00,CNSESZ,0.4771,0.2855,3.9087,0.0,0.1282,0.122,0.1579,0.0232,0.0893,0.069,0.0413,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3413,0.0,2.4347,1.6572
801863,2021-06-30 00:00:00,CNSESH,0.2453,0.1943,2.8999,0.0,0.2346,0.0846,0.1254,0.0143,0.0902,0.0608,0.0481,0.0,1.0,None,None,None,None,None,None,None,None,None,0.816,0.0,1.7535,0.8499
801863,2021-09-30 00:00:00,CNSESH,0.3049,0.293,3.8974,0.0,0.2293,0.0782,0.1177,0.0195,0.1231,0.0818,0.0786,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5173,0.0,1.624,1.0737
801863,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
