指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801890,2018-09-30 00:00:00,CNSESZ,0.1632,0.1184,3.0222,0.0,0.2211,0.054,0.0841,0.026,0.0695,0.0446,0.0323,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0494,0.0,1.1077,1.5113
801890,2018-03-31 00:00:00,CNSESZ,0.0496,0.0383,0.9421,0.0,0.2103,0.0527,0.0899,0.0093,0.0226,0.0132,0.0102,0.0,1.0,None,None,None,None,None,None,None,None,None,0.018,0.0,1.1488,1.6166
801890,2017-12-31 00:00:00,CNSESZ,0.2321,0.0664,3.6843,0.005,0.2339,0.063,0.0982,0.0407,0.0979,0.0627,0.0179,0.0147,0.9853,None,None,None,None,None,None,None,None,None,0.4874,0.0,1.1236,1.5827
801890,2017-03-31 00:00:00,CNSESZ,0.0364,0.0276,0.7634,0.0,0.2255,0.0476,0.0759,0.0071,0.0161,0.0101,0.0077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1232,0.0,1.06,1.5671
801890,2017-06-30 00:00:00,CNSESZ,0.1003,-0.0002,1.6457,0.0,0.2268,0.0609,0.0905,0.019,0.0431,0.029,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3728,0.0,1.0283,1.4609
801890,2018-06-30 00:00:00,CNSESZ,0.1001,0.0762,2.0596,0.0,0.2144,0.0486,0.0793,0.017,0.0451,0.0276,0.021,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4275,0.0,1.0884,1.5415
801890,2017-09-30 00:00:00,CNSESZ,0.1522,0.0436,2.5671,0.0,0.2272,0.0593,0.0923,0.0288,0.067,0.043,0.0123,0.0,1.0,None,None,None,None,None,None,None,None,None,0.066,0.0,1.0532,1.5247
801890,2018-12-31 00:00:00,CNSESZ,0.116,0.0724,4.091,0.0068,0.2223,0.0283,0.0632,0.0226,0.0693,0.0311,0.0194,0.0279,0.9721,None,None,None,None,None,None,None,None,None,0.4581,0.0,1.056,1.5125
801890,2019-03-31 00:00:00,CNSESZ,0.0543,0.0396,0.9861,0.0,0.2148,0.055,0.0889,0.0091,0.0236,0.0146,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0326,0.0,1.0359,1.482
801890,2019-06-30 00:00:00,CNSESZ,0.1202,0.095,2.0934,0.0,0.2239,0.0574,0.0893,0.0187,0.0515,0.0331,0.0261,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5639,0.0,1.0243,1.4332
801890,2019-09-30 00:00:00,CNSESZ,0.1887,0.1145,3.214,0.0,0.2237,0.0587,0.0876,0.0284,0.0772,0.0517,0.0314,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0497,0.0,1.0659,1.4161
801890,2020-03-31 00:00:00,CNSESH,0.0529,0.0436,1.092,0.0,0.2224,0.0485,0.0797,0.0068,0.0211,0.0128,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1692,0.0,1.5427,1.4628
801890,2019-12-31 00:00:00,CNSESZ,0.1407,0.0692,4.3257,0.0162,0.2332,0.0325,0.0663,0.0249,0.0788,0.0386,0.019,0.0107,0.9893,None,None,None,None,None,None,None,None,None,1.2593,0.0,1.0194,1.442
801890,2020-06-30 00:00:00,CNSESZ,0.1513,0.1113,2.0741,0.0,0.2303,0.0729,0.1022,0.0218,0.0582,0.0415,0.0305,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6537,0.0473,1.0315,1.4705
801890,2020-09-30 00:00:00,CNSESZ,0.2437,0.1853,3.3423,0.0,0.2274,0.0729,0.1033,0.035,0.092,0.0649,0.0494,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0872,0.0,1.0989,1.5078
801890,2020-12-31 00:00:00,CNSESZ,0.2632,0.1507,4.8349,0.054,0.2167,0.0544,0.0838,0.0411,0.1099,0.0713,0.0408,0.0308,0.9692,None,None,None,None,None,None,None,None,None,0.4319,0.0,1.0799,1.4805
801890,2021-03-31 00:00:00,CNSESZ,0.0973,0.0851,1.3235,0.0,0.2108,0.0735,0.1001,0.0131,0.0356,0.0261,0.0229,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0849,0.0,1.1567,1.5372
801890,2021-06-30 00:00:00,CNSESH,0.2403,0.2051,3.0773,0.0,0.2237,0.078,0.102,0.0239,0.0747,0.0571,0.0487,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6445,1.5598
801890,2021-09-30 00:00:00,CNSESH,0.3384,0.2883,4.535,0.0,0.2188,0.0746,0.0965,0.0331,0.102,0.0788,0.0672,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7294,1.5803
801890,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
