指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801901,2018-09-30 00:00:00,CNSESZ,0.3451,0.2947,4.5601,0.0,0.2249,0.0756,0.1182,0.0272,0.1203,0.077,0.0658,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0259,0.0,1.7008,1.6299
801901,2017-09-30 00:00:00,CNSESH,0.5327,0.5139,5.1987,0.0,0.1977,0.1024,0.1471,0.012,0.1331,0.0927,0.0894,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3976,0.0,2.5474,1.1994
801901,2018-03-31 00:00:00,CNSESZ,0.1128,0.0968,1.4211,0.0,0.2293,0.0794,0.1224,0.0093,0.0386,0.025,0.0214,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0263,0.0,1.6881,1.7132
801901,2018-06-30 00:00:00,CNSESZ,0.2343,0.1977,2.9799,0.0,0.2255,0.0786,0.1226,0.0188,0.0834,0.0535,0.0451,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0415,0.0,1.6275,1.6466
801901,2018-12-31 00:00:00,CNSESZ,0.3263,0.2454,6.4053,0.0084,0.2239,0.0509,0.0934,0.0272,0.1317,0.0718,0.054,0.0367,0.9633,None,None,None,None,None,None,None,None,None,0.0687,0.0,1.6387,1.6391
801901,2017-03-31 00:00:00,CNSESZ,0.1016,0.0921,1.3273,0.0,0.2245,0.0765,0.1089,0.0087,0.0342,0.024,0.0218,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0253,0.0,1.5499,1.725
801901,2019-03-31 00:00:00,CNSESZ,0.1019,0.0843,1.4932,0.0,0.2214,0.0682,0.1133,0.0081,0.0362,0.0218,0.018,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0282,0.0,1.7291,1.6545
801901,2019-06-30 00:00:00,CNSESZ,0.213,0.3551,3.1201,0.0,0.223,0.0682,0.1147,0.0164,0.0778,0.0463,0.0772,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0639,0.0,1.6721,1.6459
801901,2019-09-30 00:00:00,CNSESZ,0.333,0.2853,4.7502,0.0,0.2183,0.0701,0.115,0.025,0.1169,0.0713,0.061,0.0,1.0,None,None,None,None,None,None,None,None,None,0.037,0.0,1.7689,1.6524
801901,2017-06-30 00:00:00,CNSESZ,0.2163,0.1868,2.7075,0.0,0.2232,0.0799,0.1172,0.0191,0.0784,0.0534,0.0461,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0653,0.0,1.4425,1.5973
801901,2017-12-31 00:00:00,CNSESZ,0.4513,0.3722,5.9449,0.0191,0.2262,0.0759,0.1163,0.037,0.158,0.1031,0.085,0.0096,0.9904,None,None,None,None,None,None,None,None,None,0.071,0.0,1.5892,1.6728
801901,2019-12-31 00:00:00,CNSESZ,0.276,0.2209,6.6956,0.0688,0.2187,0.0412,0.0853,0.0229,0.1235,0.0596,0.0477,0.0627,0.9373,None,None,None,None,None,None,None,None,None,0.0835,0.0,1.6457,1.6603
801901,2020-03-31 00:00:00,CNSESH,0.1567,0.1406,1.8131,0.0,0.179,0.0864,0.1272,0.0031,0.0328,0.0223,0.02,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4159,0.0,3.2875,1.2887
801901,2020-09-30 00:00:00,CNSESZ,0.3466,0.2795,4.8009,0.0,0.217,0.0722,0.1146,0.0244,0.1146,0.0722,0.0582,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0211,0.0,1.7853,1.7361
801901,2020-06-30 00:00:00,CNSESZ,0.2065,0.1709,3.0134,0.0,0.2149,0.0685,0.1103,0.0151,0.0714,0.0443,0.0367,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0738,0.0,1.6666,1.6743
801901,2020-12-31 00:00:00,CNSESZ,0.3818,0.2687,6.9349,0.0991,0.2086,0.055,0.0961,0.0275,0.1396,0.0799,0.0562,0.0438,0.9562,None,None,None,None,None,None,None,None,None,0.0695,0.0,1.7289,1.7729
801901,2021-06-30 00:00:00,CNSESH,0.4479,0.4038,4.6626,0.0,0.1807,0.096,0.1372,0.0077,0.0848,0.0593,0.0535,0.0,1.0,None,None,None,None,None,None,None,None,None,0.398,0.0,3.5248,1.341
801901,2021-03-31 00:00:00,CNSESZ,0.1285,0.1132,1.7941,0.0,0.207,0.0716,0.1101,0.0083,0.0402,0.0262,0.023,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0354,0.0,1.8409,1.8256
801901,2021-09-30 00:00:00,CNSESH,0.6614,0.6363,7.0274,0.0,0.1789,0.0941,0.1342,0.0113,0.1218,0.0854,0.0821,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2584,0.0,3.7005,1.3434
801901,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
