指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801903,2017-09-30 00:00:00,CNSESH,0.6884,0.6737,5.0177,0.0,0.2264,0.1371,0.1858,0.0106,0.1442,0.1064,0.1041,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3883,0.0,2.9785,1.143
801903,2018-09-30 00:00:00,CNSESZ,0.497,0.4534,5.5073,0.0,0.2459,0.0902,0.1318,0.0236,0.1353,0.0926,0.0845,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1141,0.0,2.4683,1.5876
801903,2017-12-31 00:00:00,CNSESZ,0.7107,0.6243,7.1905,0.0208,0.2493,0.0988,0.1384,0.035,0.1904,0.136,0.1194,0.0018,0.9982,None,None,None,None,None,None,None,None,None,0.2597,0.0,2.2868,1.6384
801903,2018-03-31 00:00:00,CNSESZ,0.1681,0.1496,1.6968,0.0,0.2544,0.0991,0.1394,0.0083,0.0439,0.0312,0.0277,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1158,0.0,2.4303,1.6737
801903,2017-06-30 00:00:00,CNSESH,0.4614,0.4517,3.3585,0.0,0.2257,0.1373,0.1871,0.0071,0.1008,0.074,0.0724,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3222,0.0,2.7769,1.1313
801903,2018-06-30 00:00:00,CNSESZ,0.3307,0.2993,3.5723,0.0,0.2466,0.0925,0.1359,0.0159,0.0927,0.0631,0.0571,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1571,0.0,2.3477,1.6081
801903,2017-03-31 00:00:00,CNSESZ,0.1601,0.1497,1.5688,0.0,0.2589,0.102,0.1314,0.0079,0.0404,0.0314,0.0294,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1122,0.0,2.2212,1.7624
801903,2018-12-31 00:00:00,CNSESZ,0.5973,0.5062,7.852,0.0092,0.2457,0.076,0.1191,0.028,0.1694,0.1082,0.0917,0.0125,0.9875,None,None,None,None,None,None,None,None,None,0.2276,0.0,2.4844,1.6025
801903,2019-03-31 00:00:00,CNSESH,0.2676,0.2609,1.9777,0.0,0.2191,0.1353,0.1819,0.0037,0.0491,0.0365,0.0356,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4852,0.0,3.5602,1.2121
801903,2019-06-30 00:00:00,CNSESZ,0.3118,0.2933,3.8376,0.0,0.2446,0.0812,0.1302,0.0142,0.0896,0.0559,0.0526,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2388,0.0,2.521,1.6406
801903,2019-09-30 00:00:00,CNSESZ,0.5086,0.4606,5.8319,0.0,0.244,0.0872,0.1339,0.0225,0.1367,0.089,0.0806,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1333,0.0,2.6799,1.6907
801903,2019-12-31 00:00:00,CNSESZ,0.5814,0.467,8.349,0.1198,0.2408,0.0696,0.1149,0.0253,0.1642,0.0994,0.0799,0.0489,0.9511,None,None,None,None,None,None,None,None,None,0.2818,0.0,2.6452,1.7164
801903,2020-06-30 00:00:00,CNSESZ,0.332,0.2811,3.6104,0.0,0.2396,0.0919,0.1334,0.0137,0.0814,0.0561,0.0475,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2955,0.0,2.6608,1.7383
801903,2020-03-31 00:00:00,CNSESH,0.2242,0.2055,1.8064,0.0,0.2067,0.1241,0.1659,0.0029,0.0368,0.0275,0.0252,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4413,0.0,3.9908,1.2384
801903,2020-12-31 00:00:00,CNSESH,0.9114,0.873,7.8845,0.0893,0.2015,0.1155,0.1563,0.0114,0.1415,0.1046,0.1002,0.0311,0.9689,None,None,None,None,None,None,None,None,None,2.1036,0.0,4.1496,1.2856
801903,2020-09-30 00:00:00,CNSESH,0.6986,0.627,5.7034,0.0,0.2022,0.1224,0.1633,0.0088,0.1098,0.0824,0.0739,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4386,0.0,4.0908,1.2743
801903,2021-06-30 00:00:00,CNSESH,0.5314,0.478,4.2959,0.0,0.2065,0.1237,0.1677,0.0062,0.0802,0.0592,0.0532,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4177,0.0,4.3185,1.2957
801903,2021-03-31 00:00:00,CNSESZ,0.1894,0.1712,2.0434,0.0,0.2387,0.0926,0.1296,0.0069,0.0408,0.0291,0.0263,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1675,0.0,3.0031,1.9501
801903,2021-09-30 00:00:00,CNSESH,0.7947,0.7768,6.4411,0.0,0.2065,0.1233,0.1667,0.0091,0.1161,0.0859,0.084,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9696,0.0,4.5545,1.2937
801903,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
