指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801905,2017-09-30 00:00:00,CNSESZ,0.5725,0.5019,6.0969,0.0,0.2445,0.0939,0.1328,0.0249,0.1413,0.0999,0.0876,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1545,0.0,2.7179,1.5707
801905,2018-03-31 00:00:00,CNSESZ,0.1946,0.1737,2.105,0.0,0.2568,0.0924,0.1358,0.008,0.0468,0.0318,0.0284,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1646,0.0,3.0249,1.6162
801905,2018-09-30 00:00:00,CNSESZ,0.6102,0.559,6.874,0.0,0.2516,0.0887,0.1343,0.0238,0.1499,0.099,0.0907,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1622,0.0,3.0939,1.5824
801905,2017-03-31 00:00:00,CNSESZ,0.1778,0.1664,1.9382,0.0,0.2536,0.0917,0.1245,0.0075,0.0414,0.0305,0.0285,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1596,0.0,2.795,1.6674
801905,2018-06-30 00:00:00,CNSESZ,0.3925,0.3609,4.4322,0.0,0.2504,0.0885,0.1351,0.0158,0.1008,0.066,0.0607,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2789,0.0,2.9104,1.5737
801905,2018-12-31 00:00:00,CNSESZ,0.8005,0.6991,9.6903,0.0159,0.2511,0.0826,0.1279,0.0304,0.1952,0.126,0.1101,0.0155,0.9845,None,None,None,None,None,None,None,None,None,0.3111,0.0,3.1916,1.6041
801905,2019-06-30 00:00:00,CNSESH,0.4939,0.4543,3.959,0.0,0.2126,0.1247,0.1719,0.0079,0.097,0.0704,0.0647,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3476,0.0,3.4041,1.117
801905,2019-03-31 00:00:00,CNSESZ,0.1901,0.1707,2.2804,0.0,0.2564,0.0833,0.13,0.0072,0.0453,0.029,0.0261,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1774,0.0,3.3629,1.6121
801905,2019-09-30 00:00:00,CNSESZ,0.6619,0.6073,7.3977,0.0,0.2554,0.0894,0.1414,0.0233,0.1569,0.0992,0.091,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2207,0.0,3.4874,1.7434
801905,2017-06-30 00:00:00,CNSESZ,0.377,0.3222,4.0212,0.0,0.2461,0.0937,0.132,0.0163,0.095,0.0674,0.0576,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2585,0.0,2.6088,1.5749
801905,2017-12-31 00:00:00,CNSESZ,0.7792,0.6627,8.7796,0.0319,0.2461,0.0887,0.1298,0.0324,0.1925,0.1315,0.1118,0.003,0.997,None,None,None,None,None,None,None,None,None,0.2839,0.0,2.8485,1.6044
801905,2019-12-31 00:00:00,CNSESZ,0.7103,0.7043,10.3569,0.172,0.2525,0.0685,0.1188,0.0247,0.1805,0.1042,0.1033,0.02,0.98,None,None,None,None,None,None,None,None,None,0.358,0.0,3.3977,1.7453
801905,2020-03-31 00:00:00,CNSESH,0.1918,0.174,1.8103,0.0,0.194,0.1059,0.1493,0.0029,0.0349,0.0248,0.0225,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4323,0.0,3.8339,1.13
801905,2020-12-31 00:00:00,CNSESZ,0.9757,0.768,10.7698,0.2593,0.2405,0.0905,0.1355,0.0299,0.198,0.1324,0.1042,0.0281,0.9719,None,None,None,None,None,None,None,None,None,0.3965,0.0,3.7736,1.9308
801905,2020-09-30 00:00:00,CNSESZ,0.7355,0.6173,7.5086,0.0,0.2489,0.0979,0.1449,0.0234,0.1494,0.101,0.0848,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1295,0.0,3.7395,1.9158
801905,2020-06-30 00:00:00,CNSESZ,0.448,0.3866,4.6384,0.0,0.2482,0.0965,0.1435,0.0147,0.0957,0.0644,0.0556,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4172,0.0,3.4574,1.8351
801905,2021-03-31 00:00:00,CNSESZ,0.2569,0.2356,2.668,0.0,0.2425,0.0962,0.1383,0.0076,0.0481,0.0335,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2355,0.0,4.0037,2.0476
801905,2021-09-30 00:00:00,CNSESZ,0.7566,0.6728,8.5959,0.0,0.2319,0.088,0.1299,0.0221,0.1458,0.0988,0.0878,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1946,0.0,4.0022,2.087
801905,2021-06-30 00:00:00,CNSESZ,0.5115,0.444,5.6461,0.0,0.2334,0.0905,0.1324,0.0148,0.0994,0.068,0.059,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3938,0.0,3.8099,2.0739
801905,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
