指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801950,2020-12-31 00:00:00,CNSESZ,0.3239,0.2075,5.3289,0.1188,0.2213,0.0607,0.131,0.0419,0.1618,0.075,0.048,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3467,0.6746
801950,2020-06-30 00:00:00,CNSESZ,0.1978,0.1989,2.4563,0.0,0.2351,0.0805,0.1474,0.0247,0.083,0.0454,0.0456,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3499,0.6706
801950,2019-06-30 00:00:00,CNSESZ,0.25,0.2474,3.0836,0.0,0.2355,0.081,0.1439,0.0308,0.0989,0.0557,0.0551,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4843,0.6254
801950,2021-03-31 00:00:00,CNSESZ,0.1644,0.1039,1.5113,0.0,0.2606,0.1088,0.2019,0.0177,0.0681,0.0367,0.0232,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5111,0.6746
801950,2020-09-30 00:00:00,CNSESZ,0.3048,0.3088,3.8013,0.0,0.2419,0.0802,0.1501,0.0381,0.1273,0.068,0.0689,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4336,0.6667
801950,2019-09-30 00:00:00,CNSESZ,0.3554,0.3541,4.4681,0.0,0.2371,0.0795,0.1423,0.0437,0.1411,0.0788,0.0785,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5211,0.6893
801950,2021-06-30 00:00:00,CNSESZ,0.3031,0.3043,3.0821,0.0,0.252,0.0983,0.1834,0.0338,0.1276,0.0684,0.0686,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.376,0.7076
801950,2019-12-31 00:00:00,CNSESZ,0.3761,0.2277,5.9111,0.0368,0.2355,0.0636,0.131,0.048,0.1734,0.0841,0.0509,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5215,0.6904
801950,2019-03-31 00:00:00,CNSESZ,0.1366,0.1328,1.4467,0.0,0.2461,0.0944,0.1565,0.0165,0.0509,0.0307,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4534,0.6136
801950,2021-09-30 00:00:00,CNSESZ,0.5173,0.5113,5.0022,0.0,0.2531,0.1034,0.1887,0.0559,0.2064,0.1131,0.1118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5683,0.7076
801950,2020-03-31 00:00:00,CNSESH,0.1821,0.0792,2.2133,0.0,0.2242,0.0823,0.1543,0.0124,0.0424,0.0226,0.0098,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.4999,1.8746
801950,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
