指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801952,2021-03-31 00:00:00,CNSESZ,0.1489,0.1483,0.8788,0.0,0.3244,0.1694,0.2729,0.0306,0.1092,0.0677,0.0675,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1224,0.295
801952,2020-06-30 00:00:00,CNSESZ,0.0156,0.0195,1.2795,0.0,0.1613,0.0122,0.052,0.0096,0.0341,0.008,0.01,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8781,0.0976
801952,2020-09-30 00:00:00,CNSESZ,0.1127,0.1195,2.2009,0.0,0.1727,0.0512,0.1058,0.0319,0.1142,0.0552,0.0585,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9798,0.0865
801952,2019-09-30 00:00:00,CNSESZ,0.2012,0.203,2.6345,0.0,0.2242,0.0763,0.1334,0.0547,0.1983,0.1135,0.1145,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.832,0.0874
801952,2021-06-30 00:00:00,CNSESH,0.4279,0.4197,3.5946,0.0,0.1632,0.119,0.1654,0.056,0.1378,0.0992,0.0973,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.229,2.0992
801952,2020-12-31 00:00:00,CNSESZ,0.1648,0.2159,3.0055,0.0,0.1969,0.0548,0.1116,0.0427,0.1578,0.0775,0.1015,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9735,0.295
801952,2019-12-31 00:00:00,CNSESZ,0.2331,0.2348,3.4372,0.0,0.2174,0.0678,0.1239,0.063,0.2286,0.125,0.1259,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8625,0.0976
801952,2019-03-31 00:00:00,CNSESZ,0.0914,0.0918,1.0548,0.0,0.2279,0.0866,0.1469,0.027,0.0816,0.0481,0.0483,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7234,0.0777
801952,2021-09-30 00:00:00,CNSESZ,0.4741,0.508,3.6931,0.0,0.2768,0.1283,0.2186,0.0869,0.3365,0.1976,0.2117,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.438,0.256
801952,2020-03-31 00:00:00,CNSESH,0.0593,0.0563,1.2628,0.0,0.1025,0.0469,0.0754,0.009,0.022,0.0137,0.013,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8179,2.2929
801952,2019-06-30 00:00:00,CNSESH,0.2078,0.204,3.1925,0.0,0.1032,0.065,0.0945,0.0306,0.0751,0.0517,0.0508,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6921,2.2922
801952,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
