指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801963,2020-12-31 00:00:00,CNSESZ,0.4943,0.4182,11.5724,0.0653,0.11,0.0427,0.0948,0.0427,0.2647,0.1192,0.1009,0.1057,0.8943,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7473,1.6619
801963,2020-06-30 00:00:00,CNSESZ,0.2025,0.1802,5.3723,0.0,0.1165,0.0376,0.0927,0.0229,0.1288,0.0523,0.0466,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5189,1.4268
801963,2021-03-31 00:00:00,CNSESH,0.161,0.16,3.6718,0.0,0.1298,0.0438,0.0762,0.013,0.0446,0.0256,0.0255,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.3537,0.8598
801963,2020-09-30 00:00:00,CNSESZ,0.3869,0.3527,8.2511,0.0,0.1262,0.0469,0.1053,0.0386,0.2143,0.0953,0.0869,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6572,1.6605
801963,2019-09-30 00:00:00,CNSESZ,0.3134,0.2539,9.6896,0.0,0.0696,0.0323,0.0548,0.034,0.1412,0.0833,0.0675,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4348,1.3966
801963,2021-06-30 00:00:00,CNSESZ,0.4231,0.3943,7.0681,0.0,0.1457,0.0598,0.1256,0.0325,0.2207,0.1052,0.098,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8944,1.4167
801963,2019-12-31 00:00:00,CNSESZ,0.3746,0.3128,12.7696,0.0774,0.0714,0.0293,0.0514,0.0392,0.1699,0.0968,0.0808,0.053,0.947,None,None,None,None,None,None,None,None,None,0.9494,0.0,1.5065,1.3945
801963,2019-03-31 00:00:00,CNSESZ,0.0927,0.0771,3.0008,0.0,0.0646,0.0308,0.0485,0.0114,0.0436,0.0277,0.0231,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3748,1.3653
801963,2021-09-30 00:00:00,CNSESH,0.477,0.4504,12.5355,0.0,0.11,0.038,0.0661,0.0386,0.1308,0.0753,0.0711,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4222,0.8595
801963,2019-06-30 00:00:00,CNSESZ,0.1931,0.163,6.4424,0.0,0.0667,0.0299,0.0508,0.0243,0.0943,0.0555,0.0468,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2933,0.0,1.346,1.3966
801963,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
801963,2020-03-31 00:00:00,CNSESH,-0.1035,-0.1022,3.3859,0.0,0.0456,-0.0305,-0.0215,-0.0048,-0.0118,-0.0168,-0.0165,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1015,0.8405
