指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
802601,2019-03-31 00:00:00,CNSESZ,0.0685,0.0404,1.5827,0.0,0.1742,0.0432,0.0985,0.0093,0.0377,0.0166,0.0097,0.0,1.0,None,None,None,None,None,None,None,None,None,0.156,0.0,1.2953,1.65
802601,2019-06-30 00:00:00,CNSESZ,0.1625,0.1071,3.2576,0.0,0.1776,0.0498,0.1009,0.0202,0.081,0.04,0.0264,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1407,0.0,1.2567,1.6283
802601,2019-09-30 00:00:00,CNSESZ,0.2371,0.2042,4.7897,0.0,0.177,0.0495,0.0998,0.0302,0.1203,0.0596,0.0513,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1431,0.0,1.2592,1.5735
802601,2019-12-31 00:00:00,CNSESZ,0.0121,0.2101,6.4634,0.0189,0.1801,0.0018,0.0507,0.0154,0.0858,0.0031,0.055,0.0604,0.9396,None,None,None,None,None,None,None,None,None,0.2327,0.0,0.9928,1.5853
802601,2020-03-31 00:00:00,CNSESH,-0.0322,-0.0351,2.5693,0.0,0.0766,-0.0125,0.0065,0.0002,0.0028,-0.0055,-0.0059,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0812,0.0,2.8388,1.0873
802601,2020-06-30 00:00:00,CNSESZ,0.2059,0.1332,3.175,0.0,0.1806,0.0648,0.113,0.023,0.0908,0.0521,0.0337,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3446,1.5536
802601,2020-12-31 00:00:00,CNSESZ,0.4249,0.2876,7.1569,0.0601,0.175,0.0593,0.1021,0.0438,0.1679,0.0976,0.066,0.0004,0.9996,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5258,1.8378
802601,2021-03-31 00:00:00,CNSESZ,0.132,0.1202,2.1339,0.0,0.1611,0.0618,0.1019,0.012,0.0476,0.0289,0.0263,0.0,1.0,None,None,None,None,None,None,None,None,None,0.06,0.0,1.6426,2.0217
802601,2020-09-30 00:00:00,CNSESZ,0.3345,0.2533,5.0844,0.0,0.1828,0.0657,0.1143,0.0355,0.1385,0.0797,0.0603,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4705,1.7565
802601,2021-06-30 00:00:00,CNSESH,0.3494,0.314,6.7749,0.0,0.1345,0.0515,0.0916,0.024,0.0975,0.0548,0.0493,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0708,0.0,3.1766,1.2176
802601,2021-09-30 00:00:00,CNSESH,0.5095,0.4661,10.6565,0.0,0.1286,0.0478,0.0843,0.0347,0.1377,0.0781,0.0714,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2288,1.2219
802601,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
