指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803611,2018-09-30 00:00:00,CNSESZ,0.6718,0.6443,7.8536,0.0,0.2581,0.0855,0.1404,0.0338,0.1668,0.1016,0.0974,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0677,0.0,3.5449,1.5788
803611,2017-09-30 00:00:00,CNSESH,0.6074,0.5981,4.738,0.0,0.2194,0.1282,0.1803,0.0105,0.1346,0.0957,0.0942,0.0,1.0,None,None,None,None,None,None,None,None,None,1.226,0.0,2.993,0.9758
803611,2018-03-31 00:00:00,CNSESZ,0.2298,0.2068,2.4224,0.0,0.2617,0.0948,0.1429,0.0123,0.0532,0.0353,0.0318,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0956,0.0,3.4747,1.5791
803611,2017-03-31 00:00:00,CNSESZ,0.1953,0.1867,2.2067,0.0,0.2475,0.0885,0.1238,0.0116,0.0445,0.0318,0.0304,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0823,0.0,3.053,1.5954
803611,2018-12-31 00:00:00,CNSESZ,0.8884,0.8294,10.9505,0.0268,0.2605,0.0811,0.136,0.0428,0.2182,0.1301,0.1215,0.0204,0.9796,None,None,None,None,None,None,None,None,None,0.3343,0.0,3.657,1.5706
803611,2019-03-31 00:00:00,CNSESZ,0.2264,0.205,2.6609,0.0,0.2615,0.085,0.1402,0.0108,0.0529,0.0321,0.029,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0707,0.0,3.8681,1.5558
803611,2019-06-30 00:00:00,CNSESZ,0.4981,0.4599,5.569,0.0,0.26,0.0894,0.1439,0.0227,0.1164,0.0723,0.0668,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2512,0.0,3.731,1.5668
803611,2017-06-30 00:00:00,CNSESZ,0.426,0.3998,4.6412,0.0,0.2473,0.0917,0.1342,0.025,0.1034,0.0707,0.0663,0.0,1.0,None,None,None,None,None,None,None,None,None,0.214,0.0,2.9692,1.5845
803611,2019-09-30 00:00:00,CNSESZ,0.7501,0.682,8.5095,0.0,0.2538,0.0881,0.1407,0.0335,0.1702,0.1066,0.0969,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1543,0.0,3.9316,1.6084
803611,2017-12-31 00:00:00,CNSESZ,0.8933,0.807,9.9576,0.0208,0.2485,0.0897,0.1368,0.0494,0.2166,0.142,0.1282,0.0052,0.9948,None,None,None,None,None,None,None,None,None,0.331,0.0,3.2444,1.5776
803611,2018-06-30 00:00:00,CNSESZ,0.4384,0.4334,5.1068,0.0,0.2576,0.0858,0.1421,0.0229,0.1136,0.0686,0.0678,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2185,0.0,3.3814,1.5629
803611,2019-12-31 00:00:00,CNSESZ,0.7753,0.8539,11.8459,0.2419,0.2521,0.0654,0.1171,0.0345,0.1937,0.1082,0.1191,0.0537,0.9463,None,None,None,None,None,None,None,None,None,0.2932,0.0,3.7803,1.6064
803611,2020-03-31 00:00:00,CNSESH,0.1901,0.1711,1.6586,0.0,0.2029,0.1146,0.1603,0.0027,0.0338,0.0241,0.0217,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2659,0.0,3.9288,1.0306
803611,2020-09-30 00:00:00,CNSESZ,0.7531,0.6623,8.4039,0.0,0.2347,0.0896,0.1367,0.0312,0.1529,0.1002,0.0881,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1135,0.0,4.0361,1.802
803611,2020-06-30 00:00:00,CNSESZ,0.4726,0.4029,5.21,0.0,0.2359,0.0907,0.1382,0.0202,0.0999,0.0655,0.0559,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4761,0.0,3.7786,1.7234
803611,2020-12-31 00:00:00,CNSESZ,1.0766,0.8577,11.8781,0.3802,0.2339,0.0906,0.1389,0.0431,0.2165,0.1412,0.1125,0.0774,0.9226,None,None,None,None,None,None,None,None,None,0.3588,0.0,4.1049,1.8113
803611,2021-06-30 00:00:00,CNSESH,0.5085,0.4525,4.0511,0.0,0.2085,0.1255,0.1746,0.0065,0.0821,0.059,0.0525,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2242,0.0,4.2606,1.0594
803611,2021-03-31 00:00:00,CNSESZ,0.2777,0.2585,3.1243,0.0,0.233,0.0889,0.1318,0.0107,0.0522,0.0352,0.0327,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1241,0.0,4.3617,1.8337
803611,2021-09-30 00:00:00,CNSESH,0.7515,0.7323,6.1501,0.0,0.205,0.1222,0.1696,0.0094,0.118,0.085,0.0828,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9421,0.0,4.4512,1.0623
803611,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
