指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803612,2018-09-30 00:00:00,CNSESZ,0.4549,0.4169,6.5888,0.0,0.2133,0.069,0.1222,0.0204,0.1317,0.0743,0.0681,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0974,1.4292
803612,2018-03-31 00:00:00,CNSESZ,0.1301,0.1181,1.9763,0.0,0.2036,0.0658,0.1108,0.0065,0.0358,0.0213,0.0193,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0803,1.4755
803612,2017-03-31 00:00:00,CNSESZ,0.1305,0.1219,1.8163,0.0,0.1978,0.0718,0.1052,0.0065,0.0314,0.0214,0.02,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9518,1.5349
803612,2018-12-31 00:00:00,CNSESZ,0.6782,0.5855,9.5032,0.0162,0.2187,0.0713,0.129,0.0287,0.1923,0.1064,0.0918,0.0213,0.9787,None,None,None,None,None,None,None,None,None,0.3167,0.0,3.202,1.4103
803612,2019-06-30 00:00:00,CNSESH,0.5391,0.5078,3.6005,0.0,0.2302,0.1497,0.202,0.0073,0.0973,0.0721,0.0679,0.0,1.0,None,None,None,None,None,None,None,None,None,1.5564,0.0,3.6077,1.1255
803612,2019-03-31 00:00:00,CNSESZ,0.1321,0.1216,2.1735,0.0,0.2151,0.0607,0.1184,0.0058,0.0394,0.0202,0.0186,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.3196,1.4141
803612,2019-09-30 00:00:00,CNSESZ,0.4663,0.4281,6.8056,0.0,0.2183,0.0685,0.1295,0.0194,0.1382,0.073,0.0671,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2935,1.3802
803612,2017-12-31 00:00:00,CNSESZ,0.7224,0.6336,8.8334,0.0263,0.2093,0.0817,0.1309,0.0339,0.1938,0.121,0.1061,0.0064,0.9936,None,None,None,None,None,None,None,None,None,0.2726,0.0,2.9383,1.4759
803612,2017-09-30 00:00:00,CNSESH,0.6689,0.6541,4.4077,0.0,0.2411,0.1517,0.2096,0.0101,0.1406,0.1017,0.0995,0.0,1.0,None,None,None,None,None,None,None,None,None,1.363,0.0,3.0314,1.082
803612,2017-06-30 00:00:00,CNSESZ,0.3118,0.2872,3.9252,0.0,0.2046,0.0794,0.1225,0.0155,0.0825,0.0535,0.0492,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2405,0.0,2.807,1.4586
803612,2018-06-30 00:00:00,CNSESZ,0.3167,0.2929,4.358,0.0,0.21,0.0726,0.1236,0.0144,0.0902,0.053,0.049,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2677,0.0,2.9969,1.4354
803612,2019-12-31 00:00:00,CNSESZ,0.6809,0.6063,10.1017,0.1799,0.2171,0.0674,0.1293,0.0267,0.1983,0.1033,0.092,0.1141,0.8859,None,None,None,None,None,None,None,None,None,0.3284,0.0,3.2803,1.3806
803612,2020-03-31 00:00:00,CNSESH,0.2167,0.1972,1.6085,0.0,0.2137,0.1347,0.1808,0.0027,0.0353,0.0263,0.0239,0.0,1.0,None,None,None,None,None,None,None,None,None,1.586,0.0,4.0399,1.133
803612,2020-12-31 00:00:00,CNSESZ,0.8008,0.5519,10.1058,0.2366,0.1967,0.0792,0.1331,0.0299,0.2005,0.1193,0.0822,0.0845,0.9155,None,None,None,None,None,None,None,None,None,0.3757,0.0,3.3776,1.4847
803612,2020-09-30 00:00:00,CNSESZ,0.5164,0.4394,7.0296,0.0,0.1997,0.0734,0.1303,0.0201,0.1382,0.0779,0.0662,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.413,1.4191
803612,2020-06-30 00:00:00,CNSESZ,0.3239,0.2623,4.3896,0.0,0.2002,0.0737,0.1318,0.0128,0.0891,0.0498,0.0403,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4815,0.0,3.2547,1.4237
803612,2021-06-30 00:00:00,CNSESH,0.5247,0.4812,3.9726,0.0,0.2096,0.132,0.1789,0.0059,0.0789,0.0582,0.0534,0.0,1.0,None,None,None,None,None,None,None,None,None,1.5621,0.0,4.3667,1.1503
803612,2021-03-31 00:00:00,CNSESZ,0.146,0.1287,2.4641,0.0,0.1787,0.0592,0.1006,0.0056,0.0362,0.0213,0.0188,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5118,1.5171
803612,2021-09-30 00:00:00,CNSESH,0.7693,0.7528,5.9583,0.0,0.2061,0.1291,0.1747,0.0086,0.1125,0.0831,0.0813,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9844,0.0,4.573,1.1567
803612,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
