指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803613,2018-09-30 00:00:00,CNSESZ,0.4729,0.4634,6.2828,0.0,0.2386,0.0752,0.1316,0.0238,0.1432,0.0819,0.0802,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0742,0.0,2.8648,1.3424
803613,2017-12-31 00:00:00,CNSESH,0.8266,0.8055,7.1798,0.0267,0.2052,0.1151,0.1645,0.0134,0.1702,0.1191,0.1161,0.0143,0.9857,None,None,None,None,None,None,None,None,None,1.4519,0.0,3.3197,1.1562
803613,2017-09-30 00:00:00,CNSESZ,0.5031,0.459,5.6161,0.0,0.232,0.0895,0.1327,0.0286,0.1395,0.0941,0.0859,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1008,0.0,2.4668,1.3287
803613,2018-03-31 00:00:00,CNSESZ,0.159,0.1358,1.9073,0.0,0.235,0.0833,0.1266,0.0085,0.0427,0.0281,0.024,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1047,0.0,2.79,1.3601
803613,2017-03-31 00:00:00,CNSESZ,0.1434,0.1326,1.7589,0.0,0.2296,0.0815,0.113,0.0084,0.0369,0.0266,0.0246,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0902,0.0,2.4649,1.3479
803613,2017-06-30 00:00:00,CNSESH,0.4379,0.4297,3.4622,0.0,0.215,0.1264,0.1797,0.0073,0.0948,0.0667,0.0655,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3305,0.0,3.0591,1.1518
803613,2018-06-30 00:00:00,CNSESZ,0.2971,0.2952,4.0657,0.0,0.2351,0.073,0.1307,0.0156,0.0954,0.0533,0.0529,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2394,0.0,2.7215,1.3493
803613,2018-12-31 00:00:00,CNSESZ,0.6926,0.6427,9.0558,0.0317,0.2455,0.0764,0.133,0.0327,0.2011,0.1156,0.1072,0.0368,0.9632,None,None,None,None,None,None,None,None,None,0.268,0.0,2.986,1.3331
803613,2019-03-31 00:00:00,CNSESZ,0.1534,0.1348,2.1019,0.0,0.2414,0.0729,0.1292,0.0074,0.0441,0.0249,0.0219,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0775,0.0,3.1159,1.3338
803613,2019-06-30 00:00:00,CNSESZ,0.3663,0.3354,4.5201,0.0,0.2452,0.081,0.139,0.0162,0.1034,0.0603,0.0552,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2753,0.0,3.05,1.3507
803613,2019-09-30 00:00:00,CNSESZ,0.5694,0.5091,6.8988,0.0,0.2422,0.0825,0.1388,0.0245,0.1534,0.0912,0.0815,0.0,1.0,None,None,None,None,None,None,None,None,None,0.09,0.0,3.2289,1.3556
803613,2020-03-31 00:00:00,CNSESH,0.2043,0.1804,1.8308,0.0,0.1988,0.1115,0.1598,0.0028,0.0345,0.024,0.0212,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3488,0.0,4.318,1.188
803613,2019-12-31 00:00:00,CNSESZ,0.8122,0.7005,9.6714,0.2107,0.2428,0.0839,0.1387,0.0337,0.2116,0.1281,0.1105,0.0957,0.9043,None,None,None,None,None,None,None,None,None,0.4509,0.0,3.2151,1.3453
803613,2020-06-30 00:00:00,CNSESZ,0.3478,0.2777,4.1489,0.0,0.2258,0.0838,0.1354,0.0142,0.0873,0.054,0.0431,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5217,0.0,3.2683,1.4435
803613,2020-12-31 00:00:00,CNSESZ,0.8589,0.6731,9.7248,0.3633,0.231,0.0883,0.1425,0.0326,0.2004,0.1241,0.0973,0.1584,0.8416,None,None,None,None,None,None,None,None,None,0.3932,0.0,3.4848,1.5561
803613,2020-09-30 00:00:00,CNSESZ,0.5709,0.4534,6.6753,0.0,0.2277,0.0855,0.1375,0.0228,0.1387,0.0862,0.0684,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1243,0.0,3.4447,1.4897
803613,2021-06-30 00:00:00,CNSESZ,0.4645,0.3882,5.2437,0.0,0.2254,0.0885,0.1384,0.0166,0.1032,0.066,0.0551,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4352,0.0,3.5024,1.63
803613,2021-03-31 00:00:00,CNSESH,0.2604,0.2555,2.2663,0.0,0.1927,0.1149,0.1598,0.0032,0.0393,0.0282,0.0277,0.0,1.0,None,None,None,None,None,None,None,None,None,1.8925,0.0,4.6841,1.2377
803613,2021-09-30 00:00:00,CNSESZ,0.6492,0.5918,7.7623,0.0,0.2237,0.0836,0.1328,0.0237,0.1456,0.0916,0.0835,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.585,1.6603
803613,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
