指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803811,2018-09-30 00:00:00,CNSESZ,0.4621,0.4061,6.4438,0.0,0.1933,0.0717,0.1121,0.0147,0.1142,0.073,0.0641,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1741,0.0,2.8606,1.7021
803811,2017-09-30 00:00:00,CNSESZ,0.4571,0.408,5.9486,0.0,0.1901,0.0768,0.1152,0.0157,0.1161,0.0774,0.0691,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1602,0.0,2.5532,1.7024
803811,2018-03-31 00:00:00,CNSESZ,0.1506,0.1363,2.0814,0.0,0.1908,0.0723,0.1139,0.005,0.0384,0.0244,0.022,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1645,0.0,2.753,1.7119
803811,2017-03-31 00:00:00,CNSESZ,0.1501,0.1392,1.9758,0.0,0.1888,0.0759,0.1105,0.0049,0.0362,0.0249,0.0231,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1519,0.0,2.6132,1.763
803811,2018-12-31 00:00:00,CNSESZ,0.572,0.4384,8.8193,0.0109,0.1886,0.0648,0.1021,0.0182,0.1394,0.0885,0.0678,0.0065,0.9935,None,None,None,None,None,None,None,None,None,0.3516,0.0,2.9175,1.7508
803811,2019-03-31 00:00:00,CNSESZ,0.1348,0.1129,2.1702,0.0,0.1822,0.0621,0.1043,0.0043,0.0342,0.0204,0.0171,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1868,0.0,3.0491,1.7626
803811,2019-06-30 00:00:00,CNSESZ,0.2966,0.2546,4.4778,0.0,0.1862,0.0662,0.1077,0.0092,0.0732,0.045,0.0386,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3913,0.0,3.0662,1.7443
803811,2019-09-30 00:00:00,CNSESZ,0.4505,0.3906,6.7513,0.0,0.1881,0.0667,0.1075,0.0142,0.1099,0.0682,0.0591,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1919,0.0,3.1086,1.9406
803811,2017-06-30 00:00:00,CNSESH,0.4269,0.4165,3.2954,0.0,0.226,0.1295,0.1804,0.007,0.093,0.0668,0.0651,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1076,0.0,2.9962,0.9826
803811,2017-12-31 00:00:00,CNSESZ,0.6384,0.5062,8.3904,0.0249,0.188,0.076,0.1163,0.0211,0.1612,0.1054,0.0836,0.0048,0.9952,None,None,None,None,None,None,None,None,None,0.3145,0.0,2.6655,1.7115
803811,2018-06-30 00:00:00,CNSESZ,0.3212,0.2863,4.3261,0.0,0.1936,0.0742,0.1154,0.0101,0.0805,0.0517,0.0461,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3111,0.0,2.7653,1.7028
803811,2019-12-31 00:00:00,CNSESZ,0.5154,0.4071,9.3111,0.128,0.1863,0.0553,0.0941,0.0161,0.1284,0.0755,0.0596,0.1159,0.8841,None,None,None,None,None,None,None,None,None,0.3475,0.0,3.0983,1.9402
803811,2020-03-31 00:00:00,CNSESH,0.1938,0.1729,1.7434,0.0,0.2025,0.1112,0.1538,0.0027,0.0331,0.0239,0.0213,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2801,0.0,4.0766,1.0251
803811,2020-09-30 00:00:00,CNSESZ,0.4597,0.3611,6.8209,0.0,0.1742,0.0674,0.1014,0.0131,0.0955,0.0634,0.0498,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2066,0.0,3.2974,1.9175
803811,2020-06-30 00:00:00,CNSESZ,0.2741,0.1967,4.3241,0.0,0.1687,0.0634,0.0963,0.0082,0.0599,0.0394,0.0283,0.0,1.0,None,None,None,None,None,None,None,None,None,0.358,0.0,3.1438,1.8839
803811,2020-12-31 00:00:00,CNSESZ,0.5076,0.2823,9.6459,0.1501,0.168,0.0526,0.0839,0.0143,0.11,0.0689,0.0383,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3805,0.0,3.2458,1.973
803811,2021-06-30 00:00:00,CNSESZ,0.3716,0.2995,5.8948,0.0,0.1671,0.063,0.0997,0.0095,0.0773,0.0488,0.0393,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4011,0.0,3.3787,2.0579
803811,2021-03-31 00:00:00,CNSESZ,0.1985,0.1832,2.8078,0.0,0.1753,0.0707,0.1077,0.0051,0.0398,0.0261,0.0241,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2166,0.0,3.3931,1.9757
803811,2021-09-30 00:00:00,CNSESZ,0.53,0.4899,8.613,0.0,0.1659,0.0615,0.097,0.0134,0.109,0.0691,0.0639,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2281,0.0,3.4691,2.0266
803811,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
