指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803812,2018-09-30 00:00:00,CNSESZ,0.3487,0.3226,4.4676,0.0,0.1958,0.078,0.1064,0.0188,0.0981,0.0719,0.0665,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1338,0.0,2.0321,1.4717
803812,2017-09-30 00:00:00,CNSESZ,0.3934,0.3559,4.24,0.0,0.1859,0.0927,0.1196,0.0223,0.1122,0.087,0.0787,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1076,0.0,1.854,1.3641
803812,2018-03-31 00:00:00,CNSESZ,0.1127,0.1061,1.411,0.0,0.1902,0.0798,0.1053,0.0061,0.0306,0.0232,0.0218,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1217,0.0,2.0398,1.4949
803812,2017-12-31 00:00:00,CNSESZ,0.5254,0.472,6.0506,0.0548,0.1884,0.0868,0.1151,0.0287,0.1484,0.112,0.1006,0.002,0.998,None,None,None,None,None,None,None,None,None,0.1145,0.0,1.9317,1.401
803812,2017-06-30 00:00:00,CNSESH,0.4839,0.4718,3.262,0.0,0.2213,0.1483,0.2028,0.0066,0.0992,0.0726,0.0708,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3927,0.0,2.7596,1.3631
803812,2018-06-30 00:00:00,CNSESZ,0.2443,0.2265,2.9715,0.0,0.1956,0.0822,0.1099,0.0132,0.0686,0.0513,0.0475,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1303,0.0,1.9775,1.4495
803812,2017-03-31 00:00:00,CNSESZ,0.1234,0.116,1.2907,0.0,0.1915,0.0956,0.12,0.007,0.0338,0.0269,0.0253,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1333,0.0,1.8273,1.421
803812,2018-12-31 00:00:00,CNSESZ,0.4148,0.3488,6.2877,0.0011,0.1903,0.0659,0.093,0.0219,0.1171,0.083,0.0698,0.0009,0.9991,None,None,None,None,None,None,None,None,None,0.1408,0.0,2.0284,1.4762
803812,2019-03-31 00:00:00,CNSESZ,0.1198,0.1012,1.4876,0.0,0.1924,0.0805,0.1146,0.0061,0.0329,0.0231,0.0195,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1523,0.0,2.1438,1.4784
803812,2019-06-30 00:00:00,CNSESZ,0.2361,0.2027,3.1012,0.0,0.1846,0.0761,0.1096,0.012,0.0664,0.0461,0.0396,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1586,0.0,2.1176,1.4837
803812,2019-09-30 00:00:00,CNSESZ,0.3503,0.2844,4.7271,0.0,0.1847,0.0741,0.1061,0.0175,0.0956,0.0667,0.0542,0.0,1.0,None,None,None,None,None,None,None,None,None,0.163,0.0,2.2068,1.5177
803812,2020-03-31 00:00:00,CNSESH,0.2543,0.2367,1.88,0.0,0.1993,0.1352,0.1785,0.0029,0.0383,0.029,0.027,0.0,1.0,None,None,None,None,None,None,None,None,None,1.7149,0.0,4.1061,1.3891
803812,2019-12-31 00:00:00,CNSESZ,0.4522,0.3437,6.6465,0.0696,0.1864,0.068,0.0988,0.0227,0.1254,0.0863,0.0656,0.0372,0.9628,None,None,None,None,None,None,None,None,None,0.1687,0.0,2.1943,1.4879
803812,2020-06-30 00:00:00,CNSESZ,0.2737,0.214,3.1795,0.0,0.1816,0.086,0.1192,0.0127,0.0706,0.051,0.0398,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3257,0.0,2.2676,1.6123
803812,2020-09-30 00:00:00,CNSESZ,0.4186,0.2628,5.0165,0.0,0.1806,0.0834,0.1155,0.0193,0.1058,0.0764,0.048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.368,1.6957
803812,2020-12-31 00:00:00,CNSESZ,0.524,0.4059,7.2155,0.127,0.1771,0.0726,0.1035,0.0237,0.1342,0.0941,0.0729,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1917,0.0,2.3749,1.7655
803812,2021-03-31 00:00:00,CNSESZ,0.1568,0.1353,1.9496,0.0,0.1741,0.0804,0.1095,0.0064,0.0371,0.0272,0.0235,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2005,0.0,2.526,1.779
803812,2021-06-30 00:00:00,CNSESZ,0.3375,0.2753,4.1592,0.0,0.1764,0.0811,0.1098,0.0134,0.0791,0.0584,0.0476,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2108,0.0,2.502,1.7617
803812,2021-09-30 00:00:00,CNSESZ,0.5123,0.4427,6.088,0.0,0.1782,0.0841,0.1133,0.0201,0.1177,0.0873,0.0755,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2175,0.0,2.6156,1.7386
803812,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
